Unnamed: 0,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry,Longitude,Latitude,X1,Y1
0,Z513243,2,1,1,1,100,476565834,123904284,0,1,0,0,,132.37939833333334,34.417856666666665,-2394.0748354207026,4900.054958454159
1,Z513243,7,1,1,1,60,476788183,123849857,1,0,0,0,,132.44116194444445,34.40273805555555,3194.120548785664,2876.6422042887716
2,Z513243,8,1,1,1,60,476787717,123849229,1,0,0,0,,132.4410325,34.40256361111111,3181.0327929561026,2857.9689622484148
3,Z513243,174,1,1,1,60,476989288,123649608,0,0,0,0,,132.49702444444443,34.34711333333333,7973.245357052656,-3612.677733974444
4,Z513243,175,1,1,1,60,476985843,123632708,0,0,0,0,,132.4960675,34.342418888888886,7854.072824196424,-4129.183546010958
5,Z513243,17981,1,2,1,60,476754433,123880764,1,0,0,0,,132.43178694444444,34.411323333333335,2387.7775734468596,3882.686209310923
6,Z513243,17981,1,2,2,60,476753083,123904400,1,0,0,0,,132.43141194444445,34.41788888888889,2397.0827503305627,4614.487313240563
7,Z513243,18814,1,1,1,40,476983105,123685463,0,0,0,0,,132.49530694444445,34.35707305555555,7880.625171406195,-2496.359700630943
8,Z513243,19047,1,1,1,60,476988975,123662722,0,0,0,0,,132.4969375,34.35075611111111,7989.253102246206,-3207.344476769329
9,Z513243,19061,1,1,1,60,476929386,123686791,0,0,0,0,,132.480385,34.357441944444446,6507.680396146141,-2373.610149681568
10,Z513243,19234,1,1,1,50,476988888,123677453,0,0,0,0,,132.49691333333334,34.35484805555556,8014.012782461825,-2752.4342815486016
11,Z513243,19360,1,1,1,40,476891893,123678591,0,0,0,0,,132.46997027777778,34.35516416666667,5532.639293043059,-2569.586870329891
12,Z513243,19361,1,2,1,50,476976483,123684027,0,0,0,0,,132.4934675,34.356674166666664,7708.448158227839,-2530.6258144573367
13,Z513243,19361,1,2,2,50,476986095,123683395,0,0,0,0,,132.4961375,34.356498611111114,7953.3892222585855,-2564.7476113642915
14,Z513243,19395,1,1,1,40,476685493,123753206,0,0,1,20041,,132.41263694444444,34.37589055555556,386.5101593394065,50.62559484841768
15,Z513243,19490,1,1,1,60,476990194,123688305,0,0,0,0,,132.49727611111112,34.3578625,8067.332959255436,-2419.3938885587268
16,Z513243,19583,1,1,1,40,476892031,123677410,0,0,0,0,,132.4700086111111,34.35483611111111,5533.999141649576,-2606.25819691614
17,Z513243,19584,1,1,1,60,476909620,123685841,0,0,0,0,,132.47489444444443,34.35717805555556,5999.856929274276,-2372.8069727339316
18,Z513243,19587,1,1,1,60,476989562,123699434,0,0,0,0,,132.49710055555556,34.360953888888886,8071.543137631961,-2074.8572414538357
19,Z513243,19611,1,1,1,60,476682495,123754166,0,0,1,19693,,132.41180416666666,34.376157222222226,311.5499656772008,84.88620948203607
