,meshcode,grno,grnode1,grnode2,grnode3,grnode4,grnode5,geometry
0,513243,1,67,13462,0,0,0,
1,513243,2,78,14036,0,0,0,
2,513243,3,80,14247,0,0,0,
3,513243,4,82,13744,0,0,0,
4,513243,5,103,107,0,0,0,
5,513243,6,105,242,0,0,0,
6,513243,7,118,211,0,0,0,
7,513243,8,137,174,0,0,0,
8,513243,9,175,176,0,0,0,
9,513243,10,196,13873,0,0,0,
10,513243,11,254,13641,0,0,0,
11,513243,12,265,12552,0,0,0,
12,513243,13,358,359,0,0,0,
13,513243,14,513,514,0,0,0,
14,513243,15,613,1260,0,0,0,
15,513243,16,625,626,0,0,0,
16,513243,17,660,13210,0,0,0,
17,513243,18,667,668,0,0,0,
18,513243,19,836,12133,0,0,0,
19,513243,20,858,12601,0,0,0,
20,513243,21,934,12537,0,0,0,
21,513243,22,935,12545,0,0,0,
22,513243,23,936,12508,0,0,0,
23,513243,24,1168,12782,0,0,0,
24,513243,25,1231,7597,0,0,0,
25,513243,26,1235,12830,0,0,0,
26,513243,27,1501,13561,0,0,0,
27,513243,28,1506,14065,0,0,0,
28,513243,29,2318,13831,0,0,0,
29,513243,30,2323,14028,0,0,0,
30,513243,31,2339,14311,0,0,0,
31,513243,32,2724,13585,0,0,0,
32,513243,33,2854,5428,0,0,0,
33,513243,34,4100,4149,0,0,0,
34,513243,35,4140,14148,0,0,0,
35,513243,36,6361,13840,0,0,0,
36,513243,37,6523,13406,0,0,0,
37,513243,38,7244,7327,0,0,0,
38,513243,39,7436,13771,0,0,0,
39,513243,40,8264,8276,0,0,0,
40,513243,41,8266,8280,0,0,0,
41,513243,42,11554,11560,0,0,0,
42,513243,43,12339,12345,0,0,0,
43,513243,44,13959,14037,0,0,0,
44,513243,45,64,14032,14096,0,0,
45,513243,46,72,13772,14039,0,0,
46,513243,47,76,13440,13632,0,0,
47,513243,48,90,13770,13871,0,0,
48,513243,49,91,13870,14204,0,0,
49,513243,50,92,14038,14153,0,0,
50,513243,51,95,12334,12400,0,0,
51,513243,52,102,106,12113,0,0,
52,513243,53,104,243,12156,0,0,
53,513243,54,152,153,11523,0,0,
54,513243,55,183,13441,13761,0,0,
55,513243,56,190,13859,14151,0,0,
56,513243,57,193,13434,13858,0,0,
57,513243,58,201,12351,12406,0,0,
58,513243,59,262,13405,14282,0,0,
59,513243,60,277,12503,12561,0,0,
60,513243,61,302,8267,12169,0,0,
61,513243,62,311,312,12135,0,0,
62,513243,63,315,13414,14284,0,0,
63,513243,64,387,13174,13483,0,0,
64,513243,65,481,14090,14145,0,0,
65,513243,66,548,1541,12276,0,0,
66,513243,67,666,7298,7652,0,0,
67,513243,68,681,12176,12189,0,0,
68,513243,69,704,13737,14280,0,0,
69,513243,70,707,13431,13624,0,0,
70,513243,71,708,13754,13857,0,0,
71,513243,72,711,13622,14031,0,0,
72,513243,73,712,13753,13952,0,0,
73,513243,74,713,13430,13623,0,0,
74,513243,75,791,13605,14146,0,0,
75,513243,76,837,14200,14310,0,0,
76,513243,77,864,14074,14229,0,0,
77,513243,78,865,13326,13707,0,0,
78,513243,79,883,11558,12311,0,0,
79,513243,80,933,12523,12530,0,0,
80,513243,81,1088,13398,14198,0,0,
81,513243,82,1438,13363,13580,0,0,
82,513243,83,1500,13347,14183,0,0,
83,513243,84,1532,12182,12196,0,0,
84,513243,85,1650,11559,12303,0,0,
85,513243,86,1739,14131,14269,0,0,
86,513243,87,1741,13369,13933,0,0,
87,513243,88,1992,13600,13941,0,0,
88,513243,89,2131,13394,13839,0,0,
89,513243,90,2319,2320,14149,0,0,
90,513243,91,2712,13579,14016,0,0,
91,513243,92,2782,13776,13874,0,0,
92,513243,93,2783,13175,13655,0,0,
93,513243,94,2785,13645,13876,0,0,
94,513243,95,2791,13439,13628,0,0,
95,513243,96,2793,13862,13956,0,0,
96,513243,97,2795,13438,14097,0,0,
97,513243,98,2807,13775,13962,0,0,
98,513243,99,2865,13366,13582,0,0,
99,513243,100,4083,12877,13306,0,0,
100,513243,101,5576,14025,14091,0,0,
101,513243,102,5634,14026,14309,0,0,
102,513243,103,6521,8523,13164,0,0,
103,513243,104,6767,13603,13841,0,0,
104,513243,105,7819,8263,12180,0,0,
105,513243,106,8265,8279,12174,0,0,
106,513243,107,8645,13410,14408,0,0,
107,513243,108,12054,13401,14244,0,0,
108,513243,109,12058,12897,13304,0,0,
109,513243,110,12416,12876,13550,0,0,
110,513243,111,13388,13595,13731,0,0,
111,513243,112,13704,13812,13996,0,0,
112,513243,113,13746,13850,13853,0,0,
113,513243,114,13940,14023,14457,0,0,
114,513243,115,14189,14496,14549,0,0,
115,513243,116,14321,14364,14380,0,0,
116,513243,117,14328,14350,14543,0,0,
117,513243,118,14431,14443,14546,0,0,
118,513243,119,83,13436,13757,14203,0,
119,513243,120,276,8476,12889,13307,0,
120,513243,121,597,600,1254,6511,0,
121,513243,122,11455,13743,13848,14390,0,
122,513243,123,13310,13701,13911,13994,0,
