,meshcode,elcode,attrnmno,objectid,geometry
0,513243,44C000,0,4-32-26-5-1628851,"LINESTRING (476894337 123866205, 476898142 123868005, 476901087 123869472, 476901373 123869605, 476901863 123869738, 476904195 123870538)"
1,513243,44C000,0,4-32-26-5-1628854,"LINESTRING (476912218 123720355, 476912014 123717989, 476917618 123711923)"
2,513243,44C000,0,4-32-26-5-1628863,"LINESTRING (476599076 123741348, 476604967 123731283, 476610817 123721350, 476611799 123719517, 476612290 123718384, 476612576 123717450, 476612863 123716318, 476614499 123705019)"
3,513243,44C000,0,4-32-26-5-1628866,"LINESTRING (476657492 123765646, 476657860 123764880, 476661418 123759314, 476661950 123758547)"
4,513243,44C000,0,4-32-26-5-1628869,"LINESTRING (476678068 123735049, 476677004 123737949, 476676350 123739483, 476675409 123741216, 476674386 123742816, 476672995 123744948, 476671645 123746682, 476668536 123750548)"
5,513243,44C000,0,4-32-26-5-1628872,"LINESTRING (476540950 123875532, 476541645 123875099, 476541931 123874899, 476542095 123874666, 476542218 123874499, 476542380 123874332, 476542667 123874066, 476542912 123873832, 476543076 123873632, 476543239 123873366, 476543321 123873266, 476543485 123873166, 476543730 123873099, 476543976 123873066, 476544180 123873066, 476544630 123873166, 476545980 123873599, 476546717 123873766, 476547535 123873766, 476548067 123873766, 476548271 123873766, 476548435 123873699, 476548639 123873632, 476548885 123873532, 476549089 123873432, 476549294 123873332, 476549499 123873232, 476549662 123873099, 476549867 123872899, 476550030 123872732, 476550194 123872432, 476550276 123872099, 476550194 123871466, 476550030 123870399, 476549867 123869566, 476549703 123868800, 476549580 123868400, 476549499 123867900, 476549499 123867467, 476549458 123867133, 476549376 123866767, 476549253 123866400, 476548967 123865867, 476548517 123865233, 476546676 123863300, 476542831 123859267, 476541890 123858267, 476541522 123857934, 476540950 123857468)"
6,513243,44C000,0,4-32-26-5-1628875,"LINESTRING (476594984 123911663, 476594862 123911329, 476594698 123910829, 476594575 123910263, 476594453 123909397, 476594289 123908797, 476594044 123907930, 476593921 123907697, 476593757 123907330, 476593471 123906830, 476593144 123906330, 476592898 123905964, 476591998 123904964, 476590608 123903430, 476590240 123903030, 476589954 123902697, 476588317 123901297, 476587213 123900230, 476586108 123899130, 476585413 123898430, 476585045 123898030, 476584799 123897664, 476584431 123897131, 476584022 123896265, 476583531 123894765, 476583572 123893765, 476583490 123893098, 476583204 123892465, 476583040 123892265, 476582836 123892065, 476581814 123891465, 476580832 123890898, 476580668 123890798, 476580423 123890731, 476580136 123890698, 476579891 123890665, 476579482 123890731, 476577641 123890898, 476576496 123890998, 476575923 123891031, 476575391 123891031, 476574614 123890965, 476574246 123890831, 476573755 123890531, 476573223 123890298, 476572732 123890031, 476572242 123889865, 476571669 123889698, 476571137 123889598, 476569869 123889465, 476569133 123889365, 476568560 123889298, 476567906 123889198, 476567374 123888998, 476566965 123888798, 476566556 123888531, 476566310 123888331, 476566024 123888031, 476565615 123887498, 476565206 123886931, 476564715 123886431, 476564347 123886165, 476564101 123886031, 476563774 123885965, 476563365 123885965, 476562915 123885998, 476562302 123886031, 476561688 123886065, 476561034 123886031, 476560257 123885898, 476559479 123885798, 476558784 123885598, 476558334 123885431, 476557966 123885131, 476557761 123884798, 476557557 123884431, 476557475 123884031, 476557393 123883598, 476557352 123883231, 476557229 123882865, 476557025 123882598, 476556738 123882198, 476556248 123881431, 476556043 123880965, 476555838 123880431, 476555634 123879631, 476555552 123879099, 476555388 123878666, 476555266 123878232, 476555184 123877766, 476555429 123876399, 476555470 123875266, 476555307 123874166, 476555143 123873766, 476554898 123873466, 476554611 123873099, 476554243 123872832, 476553753 123872666, 476553221 123872299, 476552526 123871766, 476550439 123869866, 476550194 123869699, 476549867 123869566)"
7,513243,44C000,0,4-32-26-5-1628878,"LINESTRING (476585290 123911663, 476584840 123911296, 476584717 123911096, 476584635 123910929, 476584635 123910796, 476584717 123910529, 476584881 123910129, 476585045 123909663, 476585085 123909429, 476585085 123909129, 476585045 123908763, 476584922 123908429, 476584799 123907996, 476584717 123907796, 476584595 123907629, 476584390 123907430, 476584063 123907230, 476583817 123906997, 476583572 123906764, 476583408 123906564, 476583326 123906330, 476583245 123906097, 476583204 123905564, 476583204 123905164, 476583204 123904897, 476583122 123904530, 476582999 123904230, 476582795 123903664, 476582631 123903430, 476582426 123903197, 476582058 123903030, 476581526 123902797, 476581076 123902597, 476580831 123902430, 476580464 123902130, 476580136 123901864, 476579891 123901564, 476579646 123901164, 476579523 123900864, 476579441 123900497, 476579400 123900197, 476579359 123899664, 476579236 123898364, 476579114 123896964, 476578909 123895531, 476578664 123894131, 476578541 123893498, 476578418 123893231, 476578255 123892931, 476578009 123892731, 476577723 123892531, 476577355 123892298, 476576782 123892065, 476575882 123891665, 476575432 123891431, 476575064 123891231, 476574614 123890965)"
8,513243,44C000,0,4-32-26-5-1628881,"LINESTRING (476607339 123855302, 476607216 123855502, 476607134 123855669, 476607094 123855902, 476607094 123856135, 476607134 123856435, 476607380 123856702, 476607625 123856969, 476607953 123857202, 476608403 123857469, 476608812 123857702, 476608975 123857835, 476609139 123858102, 476609998 123859902, 476611225 123862935, 476611389 123863302, 476611553 123863369, 476612207 123863502, 476612944 123863602, 476613107 123863635, 476613353 123863802, 476613516 123863902, 476614130 123864434, 476614375 123864668, 476614539 123864768, 476615438 123864868, 476615683 123864934, 476616174 123865334, 476616624 123865534, 476616788 123865634, 476616788 123865801, 476616665 123866101, 476616706 123866534, 476616665 123866734, 476616624 123866868, 476616543 123867001, 476616215 123867201, 476616052 123867301, 476616011 123867501, 476616133 123867701, 476616502 123868301, 476616788 123868668, 476617033 123868934, 476617443 123869168, 476617361 123869701, 476617361 123870001, 476617483 123870168, 476617933 123870401, 476618506 123870501, 476619243 123870901, 476619733 123871234, 476619856 123871768, 476620143 123872334, 476621533 123875633, 476621656 123875900, 476621697 123876167, 476621697 123876367, 476621615 123876600, 476621452 123876800, 476621206 123877167, 476620879 123877700, 476620756 123877867, 476620593 123878000, 476620388 123878067, 476620020 123878100, 476619652 123878100, 476619365 123878067, 476619120 123878000, 476618915 123877933, 476618670 123878000, 476618547 123878100, 476618383 123878400, 476618343 123878567, 476618343 123878700, 476618670 123878967, 476619161 123879167, 476619488 123879367, 476620061 123879800, 476620265 123880000, 476620347 123880267, 476620511 123880367, 476621165 123880533, 476621411 123880600, 476621533 123880533, 476621861 123880267, 476622065 123880200, 476622269 123880200, 476622596 123880267, 476623046 123880333, 476623251 123880367, 476623332 123880500, 476623414 123880833, 476623619 123881467, 476623864 123881800, 476624028 123882233, 476623946 123882533, 476623946 123882767, 476623987 123882933, 476624192 123883300, 476624314 123883433, 476624478 123883667, 476624805 123883967, 476624887 123884133, 476625010 123884500, 476625010 123884733, 476625010 123884967, 476624928 123885200, 476624928 123885367, 476625214 123886200, 476625214 123886466, 476625092 123887032, 476625051 123887266, 476625051 123888266, 476624969 123888666, 476624887 123888832, 476624764 123889032, 476624723 123889199, 476624805 123889432, 476624928 123889499, 476625214 123889532, 476626073 123889432, 476626278 123889466, 476626769 123889732, 476627055 123889966, 476627178 123890199, 476627178 123890432, 476627055 123890599, 476626564 123890966, 476626442 123891199, 476626523 123891432, 476626728 123891699, 476626973 123891766, 476627423 123891666, 476627832 123891632, 476628282 123891632, 476628732 123891666, 476629305 123891766, 476630042 123892099, 476630246 123892332, 476630410 123892599, 476630614 123893099, 476630859 123893599, 476631513 123894499, 476631636 123894766, 476631677 123895099, 476631595 123895399, 476630777 123896166, 476630695 123896366, 476632454 123900198, 476632536 123900598, 476632536 123900798, 476632495 123900931, 476632209 123901198, 476632168 123901331, 476632209 123901431, 476632372 123901565, 476632904 123901931, 476633068 123902065, 476633150 123902165, 476633191 123902298, 476633150 123902431, 476633068 123902631, 476633027 123902931, 476632986 123903098, 476632986 123903265, 476633027 123903431, 476633068 123903598, 476633191 123903865, 476633313 123904065, 476633477 123904231, 476633600 123904365, 476633763 123904431, 476633968 123904565, 476634172 123904798, 476634336 123904931, 476634663 123905065, 476635318 123905298, 476635563 123905465, 476635645 123905631, 476635645 123907198, 476635563 123907865, 476635522 123908298, 476635481 123908598, 476635277 123909197, 476635195 123909397, 476635031 123909530, 476633763 123909864, 476633518 123909930, 476633231 123910097, 476632986 123910297, 476632822 123910530, 476632700 123910797, 476632577 123911097, 476632495 123911664)"
9,513243,44C000,0,4-32-26-5-1628884,"LINESTRING (476633968 123904565, 476634131 123904365, 476634581 123904131, 476635031 123903898, 476635236 123903698, 476635400 123903398, 476635604 123903098, 476636177 123902098, 476636341 123901965, 476636504 123901865, 476637200 123901298, 476637445 123901131, 476637650 123901131, 476638100 123901198, 476638304 123901198, 476638427 123901165, 476638509 123900998, 476638550 123900698, 476638713 123899332, 476638631 123899232, 476638304 123899066, 476638222 123898999, 476638181 123898832, 476638263 123898632, 476638631 123898032, 476639000 123897432, 476639491 123896766, 476639613 123896666, 476639777 123896632, 476639941 123896666, 476640677 123896899, 476640922 123896966, 476641577 123896799, 476641741 123896732, 476641904 123896632, 476642231 123896266, 476642436 123896132, 476642641 123895999, 476643090 123895832, 476643826 123895666, 476644235 123895599, 476644440 123895599, 476644562 123895666, 476644562 123895832, 476644480 123896266, 476644562 123896399, 476644930 123896932, 476645217 123897132, 476645421 123897266, 476645667 123897366, 476646076 123897432, 476646526 123897499, 476647876 123897499, 476648940 123897666, 476649635 123897799, 476650044 123897899)"
