,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
0,513243,10,1,2,1,2,60,0,4978,
1,513243,10,1,2,2,0,60,4978,10000,
2,513243,11,1,1,1,0,30,0,10000,
3,513243,13,1,1,1,0,50,0,10000,
4,513243,14,1,1,1,0,50,0,10000,
5,513243,15,1,1,1,1,60,0,10000,
6,513243,16,2,1,1,1,60,0,10000,
7,513243,18,1,2,1,2,60,0,4531,
8,513243,18,1,2,2,0,60,4531,10000,
9,513243,25,1,2,1,2,60,0,5868,
10,513243,25,1,2,2,0,60,5868,10000,
11,513243,26,1,2,1,2,60,0,4078,
12,513243,26,1,2,2,0,60,4078,10000,
13,513243,28,1,2,1,2,60,0,5315,
14,513243,28,1,2,2,0,60,5315,10000,
15,513243,29,2,1,1,1,60,0,10000,
16,513243,34,1,1,1,0,50,0,10000,
17,513243,37,1,1,1,1,40,0,10000,
18,513243,37,2,1,1,1,40,0,10000,
19,513243,38,1,1,1,1,40,0,10000,
20,513243,38,2,1,1,1,40,0,10000,
21,513243,39,1,1,1,1,50,0,10000,
22,513243,40,1,1,1,0,50,0,10000,
23,513243,41,1,1,1,0,50,0,10000,
24,513243,42,1,1,1,0,50,0,10000,
25,513243,43,1,1,1,0,50,0,10000,
26,513243,47,1,1,1,1,40,0,10000,
27,513243,47,2,1,1,1,40,0,10000,
28,513243,48,1,1,1,1,40,0,10000,
29,513243,48,2,1,1,1,40,0,10000,
30,513243,49,1,1,1,1,40,0,10000,
31,513243,49,2,1,1,1,40,0,10000,
32,513243,50,1,1,1,1,40,0,10000,
33,513243,50,2,1,1,1,40,0,10000,
34,513243,51,1,1,1,1,40,0,10000,
35,513243,51,2,1,1,1,40,0,10000,
36,513243,54,1,1,1,0,50,0,10000,
37,513243,55,1,1,1,1,50,0,10000,
38,513243,56,1,1,1,1,50,0,10000,
39,513243,57,1,1,1,1,50,0,10000,
40,513243,58,1,1,1,0,50,0,10000,
41,513243,60,1,1,1,1,40,0,10000,
42,513243,60,2,1,1,1,40,0,10000,
43,513243,61,1,1,1,1,40,0,10000,
44,513243,61,2,1,1,1,40,0,10000,
45,513243,62,2,1,1,1,40,0,10000,
