,Unnamed: 0,meshcode,nodeno,x,y,crosskind,tollgate,objectid,meshno,linkno,geometry
0,0,513243,1,132.44914138888888,34.33658305555556,3,0,4-33-18-5-725365,5,18083,
1,1,513243,2,132.45660694444445,34.33658305555556,3,0,4-33-18-499-14415011,5,18133,
2,2,513243,3,132.4565613888889,34.33658305555556,3,0,4-33-18-470-30730665,5,18123,
3,3,513243,4,132.4565386111111,34.33658305555556,3,0,4-33-18-470-30730678,5,18110,
4,4,513243,5,132.37248583333334,34.41511,3,0,4-33-18-5-1009152,5,6,
5,5,513243,6,132.37248583333334,34.41486027777778,3,0,4-33-18-5-1009166,5,5,
6,6,513243,7,132.37248555555556,34.36706916666667,3,0,4-33-18-5-1009674,5,91,
7,7,513243,8,132.37248583333334,34.3767625,3,0,4-33-18-5-1009692,5,232,
8,8,513243,9,132.3724861111111,34.408721944444444,3,0,4-33-18-5-1011434,5,8023,
9,9,513243,10,132.3724861111111,34.40915722222222,3,0,4-33-18-5-1011441,5,669,
10,10,513243,11,132.37248583333334,34.377901111111115,3,0,4-33-18-5-1012257,5,2489,
11,11,513243,12,132.3724861111111,34.391038611111114,3,0,4-33-18-5-1012361,5,9072,
12,12,513243,13,132.3724861111111,34.40401888888889,3,0,4-33-18-5-1014671,5,768,
13,13,513243,14,132.37248583333334,34.378280833333335,3,0,4-33-18-5-1020953,5,14707,
14,14,513243,15,132.37248583333334,34.377540277777776,3,0,4-33-18-5-1020958,5,6917,
15,15,513243,16,132.37248583333334,34.37584583333334,3,0,4-33-18-5-1020963,5,6918,
16,16,513243,17,132.37248555555556,34.37117972222222,3,0,4-33-18-5-1020973,5,14706,
17,17,513243,18,132.37248555555556,34.364125,3,0,4-33-18-5-1020978,5,14705,
18,18,513243,19,132.37248555555556,34.36529138888889,3,0,4-33-18-5-1020983,5,15167,
19,19,513243,20,132.3724861111111,34.391844166666665,3,0,4-33-18-5-1021002,5,16593,
20,20,513243,21,132.37248583333334,34.377021944444444,3,0,4-33-18-5-1021007,5,8036,
21,21,513243,22,132.37248555555556,34.36910611111111,3,0,4-33-18-5-1021017,5,14620,
22,22,513243,23,132.37248583333334,34.37648472222222,3,0,4-33-18-5-1021022,5,2542,
23,23,513243,24,132.37248583333334,34.37547555555555,3,0,4-33-18-5-1021034,5,14005,
24,24,513243,25,132.37248555555556,34.363912222222226,3,0,4-33-18-5-1024541,5,10394,
25,25,513243,26,132.37248555555556,34.36320833333333,3,0,4-33-18-5-1024546,5,14002,
26,26,513243,27,132.37248555555556,34.36230138888889,3,0,4-33-18-5-1024551,5,14701,
27,27,513243,28,132.37248555555556,34.36276388888889,3,0,4-33-18-5-1024561,5,10926,
28,28,513243,29,132.37248555555556,34.36990222222222,3,0,4-33-18-5-1025290,5,15377,
29,29,513243,30,132.37248583333334,34.376151388888886,3,0,4-33-18-5-1025415,5,6669,
30,30,513243,31,132.37248583333334,34.38095638888889,3,0,4-33-18-5-1025920,5,2541,
31,31,513243,32,132.37248555555556,34.37392944444444,3,0,4-33-18-5-1026402,5,14700,
32,32,513243,33,132.37248555555556,34.37405916666667,3,0,4-33-18-5-1026407,5,10389,
33,33,513243,34,132.37248555555556,34.36610638888889,3,0,4-33-18-5-1026412,5,14704,
34,34,513243,35,132.37248555555556,34.365384166666665,3,0,4-33-18-5-1026422,5,10928,
35,35,513243,36,132.37248555555556,34.365069444444444,3,0,4-33-18-5-1026442,5,2518,
36,36,513243,37,132.37248555555556,34.36431944444445,3,0,4-33-18-5-1026449,5,2540,
37,37,513243,38,132.37248555555556,34.36568027777778,3,0,4-33-18-5-1026456,5,14703,
38,38,513243,39,132.37249666666668,34.363458333333334,2,0,4-33-18-5-1026461,5,14702,
39,39,513243,39,132.37249666666668,34.363458333333334,2,0,4-33-18-5-1026461,5,21095,
40,40,513243,40,132.37253083333334,34.3635325,2,0,4-33-18-5-1026466,5,10398,
41,41,513243,40,132.37253083333334,34.3635325,2,0,4-33-18-5-1026466,5,21094,
42,42,513243,41,132.37248555555556,34.364893611111114,3,0,4-33-18-5-1026491,5,6678,
43,43,513243,42,132.37248555555556,34.37224472222222,3,0,4-33-18-5-1026501,5,19496,
44,44,513243,43,132.3724861111111,34.41043472222222,3,0,4-33-18-5-1028380,5,10137,
45,45,513243,44,132.3724861111111,34.41016611111111,3,0,4-33-18-5-1028385,5,10995,
46,46,513243,45,132.3724861111111,34.408990555555555,3,0,4-33-18-5-1028470,5,10139,
47,47,513243,46,132.3724861111111,34.405,3,0,4-33-18-5-1028597,5,8029,
48,48,513243,47,132.3724861111111,34.4047225,3,0,4-33-18-5-1028607,5,8030,
49,49,513243,48,132.37248555555556,34.366365555555554,3,0,4-33-18-5-1033410,5,11020,
