,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,513243,1,1,22F300,,,,,0,0,4-32-11-5-1629179,,"POLYGON ((476620594 123735683, 476620716 123735449, 476621003 123735416, 476622434 123732716, 476622312 123732549, 476620675 123731883, 476620389 123731949, 476618998 123734483, 476619121 123734683, 476618916 123735049, 476618753 123734983, 476618057 123736249, 476620103 123737015, 476620757 123735749, 476620594 123735683))"
1,513243,1,2,22F300,,,,,0,0,4-32-11-5-1629184,,"POLYGON ((476725274 123759614, 476723188 123761647, 476722165 123761547, 476720569 123759181, 476720119 123759381, 476721838 123761947, 476723392 123762014, 476725683 123759814, 476725274 123759614))"
2,513243,1,3,22F300,,,,,0,0,4-32-11-5-1629194,,"POLYGON ((476878880 123721787, 476879575 123722287, 476879575 123722387, 476879616 123722387, 476879616 123722520, 476881089 123722420, 476881007 123721687, 476882275 123721620, 476882275 123721687, 476882602 123721687, 476882520 123720754, 476882520 123720721, 476882398 123719454, 476881375 123719488, 476881334 123719421, 476880475 123719488, 476880475 123719621, 476880189 123719654, 476880148 123719554, 476879820 123719588, 476879780 123719454, 476878021 123719554, 476878021 123719654, 476877981 123719688, 476878021 123720120, 476878103 123720120, 476878103 123720187, 476879861 123720121, 476879861 123720320, 476877285 123720420, 476877326 123720920, 476877285 123720920, 476877285 123721353, 476877367 123721353, 476877408 123721853, 476878880 123721787))"
3,513243,1,4,22F300,,,,,0,0,4-32-11-5-1629199,,"POLYGON ((476883175 123718588, 476882275 123718654, 476882275 123718721, 476882030 123718721, 476882030 123718688, 476881661 123718688, 476881702 123718888, 476881620 123718888, 476881661 123719088, 476882684 123719021, 476882725 123719654, 476882766 123719754, 476882848 123719754, 476882970 123720621, 476883707 123720554, 476883461 123718554, 476883175 123718588))"
4,513243,1,5,22F300,,,,,0,0,4-32-11-5-1629204,,"POLYGON ((476847341 123753583, 476846195 123753849, 476845991 123753816, 476845459 123753949, 476845459 123753983, 476844272 123754248, 476844804 123755715, 476845050 123755648, 476845132 123755848, 476845377 123755782, 476845336 123755582, 476846645 123755248, 476846727 123755482, 476847545 123755282, 476847422 123754982, 476847545 123754948, 476847586 123754882, 476847504 123754683, 476847586 123754649, 476847504 123754383, 476847586 123754349, 476847341 123753583))"
5,513243,1,6,22F300,,,,,0,0,4-32-11-5-1629209,,"POLYGON ((476847341 123752583, 476847218 123752216, 476846972 123751449, 476843863 123752216, 476844354 123753683, 476844232 123753716, 476844313 123753982, 476846522 123753483, 476846441 123753249, 476846727 123753216, 476846604 123752749, 476847341 123752583))"
6,513243,1,7,22F300,,,,,0,0,4-32-11-5-1629214,,"POLYGON ((476844436 123749583, 476844477 123749683, 476843536 123749916, 476843904 123750849, 476843495 123750949, 476843822 123751916, 476844518 123751716, 476844395 123751416, 476844682 123751349, 476844600 123751149, 476845050 123751016, 476845132 123751283, 476846154 123751016, 476845704 123749883, 476845868 123749849, 476846154 123750683, 476846318 123750616, 476846400 123750683, 476846482 123750649, 476846522 123750583, 476846441 123750449, 476846727 123750383, 476846686 123749616, 476846604 123749549, 476846441 123749516, 476846359 123749449, 476846277 123749483, 476846113 123749083, 476845991 123748983, 476845868 123748916, 476845663 123748949, 476845541 123748883, 476845418 123748816, 476844845 123748916, 476843741 123749183, 476843822 123749349, 476843577 123749416, 476843577 123749516, 476843659 123749549, 476843741 123749783, 476844436 123749583))"
7,513243,1,8,22F300,,,,,0,0,4-32-11-5-1629224,,"POLYGON ((476833022 123771246, 476833227 123771380, 476833718 123770746, 476833882 123770846, 476833350 123771513, 476833432 123771580, 476833268 123771746, 476833432 123771846, 476833472 123771813, 476835763 123772980, 476836132 123772480, 476836336 123772613, 476835968 123773080, 476836663 123773446, 476836582 123773580, 476836377 123773446, 476836213 123773680, 476837154 123774180, 476837604 123773580, 476836868 123773213, 476836745 123773380, 476836132 123773080, 476836500 123772580, 476836213 123772446, 476836254 123772346, 476835272 123771846, 476835436 123771580, 476836172 123771946, 476836050 123772080, 476836541 123772346, 476836622 123772213, 476837891 123772880, 476838177 123772546, 476838791 123772880, 476839118 123772446, 476838954 123772080, 476838750 123771713, 476838627 123771546, 476838382 123771246, 476838054 123770947, 476837727 123770681, 476837072 123771546, 476836254 123771113, 476836091 123771346, 476835968 123771280, 476835886 123771413, 476835682 123771280, 476835968 123770913, 476835395 123770580, 476835477 123770446, 476835968 123770713, 476836009 123770646, 476837032 123771180, 476837604 123770447, 476834863 123769014, 476834741 123769181, 476834536 123769047, 476834577 123769014, 476834045 123768747, 476833513 123769414, 476834332 123769881, 476834250 123769947, 476833432 123769514, 476833227 123769780, 476833882 123770113, 476833022 123771246))"
8,513243,1,9,22F300,,,,,0,0,4-32-11-5-1629229,,"POLYGON ((476816577 123799310, 476816454 123799143, 476816332 123799210, 476816250 123799110, 476816332 123799043, 476815882 123798443, 476816045 123798043, 476815554 123797943, 476815350 123797710, 476815022 123797843, 476814492 123797743, 476814369 123798143, 476813428 123798577, 476813714 123799010, 476813878 123799143, 476814042 123799277, 476814368 123799443, 476814613 123799510, 476814859 123799577, 476815063 123799577, 476815513 123799543, 476815759 123799477, 476815800 123799543, 476815677 123799610, 476815922 123799977, 476815309 123800310, 476815268 123800243, 476815145 123800277, 476814982 123800277, 476814859 123800343, 476814818 123800410, 476814777 123800477, 476814777 123800577, 476814859 123800677, 476814941 123800710, 476815022 123800743, 476815063 123800810, 476815145 123800777, 476815309 123801043, 476815145 123801143, 476815472 123801610, 476815841 123802143, 476816332 123801877, 476816045 123801477, 476816250 123801377, 476816168 123801243, 476817477 123800610, 476817109 123800077, 476817191 123800043, 476816986 123799777, 476816863 123799810, 476816782 123799677, 476816863 123799643, 476816618 123799277, 476816577 123799310))"
9,513243,1,10,22F300,,,,,0,0,4-32-11-5-1629239,,"POLYGON ((476904403 123795546, 476904485 123795580, 476904403 123795646, 476904689 123795913, 476904566 123795980, 476904689 123796080, 476904894 123795913, 476905016 123796013, 476905507 123795646, 476904976 123795146, 476904403 123795546))"
