,meshcode,linkno,snodeno,enodeno,railtype,ktentype,ktenzax,ktenzay,geometry
0,513243,13,204,153,2,3,476717581,123815876,
1,513243,13,204,153,7,3,476718931,123814777,
2,513243,14,152,12580,2,3,476716804,123815309,
3,513243,14,152,12580,7,3,476718154,123814277,
4,513243,165,8289,11425,2,2,476861081,123870404,
5,513243,275,225,226,2,2,476830769,123877203,
6,513243,275,225,226,4,2,476830892,123877603,
7,513243,375,11976,8458,2,1,476660845,123780579,
8,513243,401,410,408,2,1,476923178,123824343,
9,513243,401,410,408,4,1,476924078,123824577,
10,513243,422,9377,12005,7,1,476649514,123770846,
11,513243,494,401,364,4,2,476977420,123818079,
12,513243,553,374,11726,2,2,476877485,123863838,
13,513243,644,7444,2678,2,3,476750429,123840239,
14,513243,652,2069,7745,2,2,476825329,123877103,
15,513243,652,2069,7745,4,2,476825533,123877870,
16,513243,802,8565,62,2,3,476634133,123763146,
17,513243,997,1893,1894,2,1,476710996,123811043,
18,513243,997,1893,1894,7,1,476711896,123810177,
19,513243,1415,1959,1939,2,1,476745479,123836607,
20,513243,1422,2678,2677,2,3,476750224,123840106,
21,513243,1989,4419,381,2,1,476893029,123843241,
22,513243,2288,172,7100,2,1,476590241,123739415,
23,513243,2288,172,7100,7,1,476590446,123739148,
24,513243,2622,7800,7843,2,2,476868403,123867672,
25,513243,2967,1857,9245,7,1,476652296,123772579,
26,513243,2968,1669,9252,2,1,476672626,123787244,
27,513243,3023,9582,1661,2,1,476699706,123802778,
28,513243,3023,9582,1661,7,1,476700074,123802544,
29,513243,3025,1664,9587,7,1,476679335,123789444,
30,513243,3027,9589,1910,2,1,476678435,123790511,
31,513243,3502,9724,9720,7,1,476731326,123822875,
32,513243,3576,11978,1668,7,1,476674017,123786145,
33,513243,3588,250,12045,2,1,476548925,123726215,
34,513243,3588,250,12045,7,1,476548966,123725848,
35,513243,4063,1635,1636,4,2,476810643,123880635,
36,513243,4064,1637,1636,2,2,476807043,123875370,
37,513243,7023,986,7717,2,3,476790517,123873736,
38,513243,7078,7742,1410,2,2,476840178,123876836,
39,513243,7091,2701,7746,2,2,476850199,123874403,
40,513243,8617,10290,2693,4,1,476806347,123899534,
41,513243,9370,572,342,2,2,476889020,123852240,
42,513243,13052,1934,4931,2,1,476726499,123822541,
43,513243,13056,3284,1936,2,1,476733944,123828041,
44,513243,13064,4945,4946,2,1,476776077,123867303,
45,513243,15008,6205,4393,4,1,476982000,123822245,
46,513243,15009,6504,8050,4,1,476973042,123816512,
47,513243,15551,9236,9238,2,1,476646814,123773845,
48,513243,15570,9305,9304,2,1,476616216,123757113,
49,513243,15712,9722,9721,7,1,476728995,123821376,
50,513243,16622,11599,7222,4,1,476990546,123903737,
51,513243,16728,11849,8556,2,1,476755052,123844073,
52,513243,16740,11873,9807,7,1,476736275,123826108,
53,513243,16811,12008,9276,7,1,476639656,123763113,
54,513243,16818,12015,4741,7,1,476636588,123761680,
55,513243,16896,12154,2735,4,2,476990181,123834578,
56,513243,17159,12312,12319,2,3,476927883,123822078,
57,513243,17159,12312,12319,4,3,476928741,123822311,
58,513243,17164,12326,2659,2,3,476905179,123833976,
59,513243,17223,12365,1233,2,3,476612126,123753247,
60,513243,17223,12365,1233,7,3,476612617,123752347,
61,513243,17263,8353,12388,2,3,476717049,123815509,
62,513243,17263,8353,12388,7,3,476718399,123814443,
63,513243,17272,204,12363,2,3,476717376,123815709,
64,513243,17272,204,12363,7,3,476718726,123814643,
65,513243,17337,11421,12423,2,2,476859731,123870937,
66,513243,18111,12891,12872,2,3,476634461,123763246,
67,513243,18124,12872,12905,7,3,476634502,123761213,
68,513243,18154,12900,8565,7,3,476634174,123761113,
69,513243,18662,11954,12005,7,1,476651682,123772179,
70,513243,18974,13200,4395,4,1,476986582,123829178,
71,513243,19014,13255,1279,4,1,476802993,123889868,
