,meshcode,linkno,geometry
0,513243,372,
1,513243,902,
2,513243,905,
3,513243,906,
4,513243,907,
5,513243,909,
6,513243,914,
7,513243,916,
8,513243,917,
9,513243,918,
10,513243,919,
11,513243,920,
12,513243,923,
13,513243,924,
14,513243,925,
15,513243,928,
16,513243,930,
17,513243,937,
18,513243,938,
19,513243,939,
20,513243,940,
21,513243,944,
22,513243,945,
23,513243,946,
24,513243,947,
25,513243,948,
26,513243,949,
27,513243,951,
28,513243,957,
29,513243,958,
30,513243,959,
31,513243,960,
32,513243,964,
33,513243,965,
34,513243,966,
35,513243,967,
36,513243,969,
37,513243,970,
38,513243,974,
39,513243,975,
40,513243,979,
41,513243,980,
42,513243,981,
43,513243,982,
44,513243,983,
45,513243,997,
46,513243,998,
47,513243,1003,
48,513243,1004,
49,513243,1005,
50,513243,1006,
51,513243,1007,
52,513243,1008,
53,513243,1009,
54,513243,1010,
55,513243,1011,
56,513243,1012,
57,513243,1013,
58,513243,1029,
59,513243,1030,
60,513243,1031,
61,513243,1032,
62,513243,1039,
63,513243,1040,
64,513243,1043,
65,513243,1048,
66,513243,1050,
67,513243,1051,
68,513243,1052,
69,513243,1053,
70,513243,1054,
71,513243,1055,
72,513243,1060,
73,513243,1061,
74,513243,1062,
75,513243,1063,
76,513243,1064,
77,513243,1065,
78,513243,1066,
79,513243,1067,
80,513243,1068,
81,513243,1080,
82,513243,1099,
83,513243,1100,
84,513243,1101,
85,513243,1102,
86,513243,1103,
87,513243,1104,
88,513243,1105,
89,513243,1106,
90,513243,1109,
91,513243,1110,
92,513243,1111,
93,513243,1112,
94,513243,1113,
95,513243,1116,
96,513243,1117,
97,513243,1118,
98,513243,1119,
99,513243,1120,
100,513243,1121,
101,513243,1128,
102,513243,1130,
103,513243,1131,
104,513243,1132,
105,513243,1133,
106,513243,1149,
107,513243,1150,
108,513243,1153,
109,513243,1160,
110,513243,1162,
111,513243,1163,
112,513243,1168,
113,513243,1169,
114,513243,1170,
115,513243,1176,
116,513243,1181,
117,513243,1182,
118,513243,1183,
119,513243,1184,
120,513243,1185,
121,513243,1186,
122,513243,1187,
123,513243,1188,
124,513243,1189,
125,513243,1190,
126,513243,1191,
127,513243,1193,
128,513243,1201,
129,513243,1208,
130,513243,1209,
131,513243,1210,
132,513243,1211,
133,513243,1212,
134,513243,1213,
135,513243,1214,
136,513243,1215,
137,513243,1216,
138,513243,1217,
139,513243,1221,
140,513243,1222,
141,513243,1223,
142,513243,1224,
143,513243,1225,
144,513243,1229,
145,513243,1232,
146,513243,1244,
147,513243,1245,
148,513243,1246,
149,513243,1247,
150,513243,1248,
151,513243,1249,
152,513243,1250,
153,513243,1251,
154,513243,1252,
155,513243,1254,
156,513243,1255,
157,513243,1256,
158,513243,1257,
159,513243,1264,
160,513243,1265,
161,513243,1266,
162,513243,1277,
163,513243,1295,
164,513243,1296,
165,513243,1297,
166,513243,1298,
167,513243,1299,
168,513243,1300,
169,513243,1301,
170,513243,1302,
171,513243,1303,
172,513243,1304,
173,513243,1305,
174,513243,1309,
175,513243,1310,
176,513243,1316,
177,513243,1317,
178,513243,1318,
179,513243,1319,
180,513243,1320,
181,513243,1324,
182,513243,1325,
183,513243,1326,
184,513243,1329,
185,513243,1333,
186,513243,1334,
187,513243,1335,
188,513243,1336,
189,513243,1337,
190,513243,1338,
191,513243,1339,
192,513243,1342,
