,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,513243,022513,7,12129,12127,1,6,7,4-33-21-5-1261100,"LINESTRING (476783236 123851438, 476787163 123850038, 476788186 123849638, 476788513 123849405, 476788841 123849038)"
1,513243,022513,8,12127,12130,1,6,8,4-33-21-5-1261113,"LINESTRING (476788841 123849038, 476788309 123849072, 476787941 123849172, 476783072 123851038)"
2,513243,022223,17717,12676,12129,1,6,1264,4-33-21-437-16919719,"LINESTRING (476769245 123860037, 476770554 123858671, 476771618 123857704, 476772845 123856704, 476773827 123855972, 476774850 123855272, 476775791 123854705, 476776650 123854238, 476778122 123853505, 476780986 123852305, 476783236 123851438)"
3,513243,022223,17724,12120,12676,1,6,1265,4-33-21-5-1261085,"LINESTRING (476766832 123862537, 476769245 123860037)"
4,513243,022223,17731,12684,12119,1,6,1266,4-33-21-437-16919732,"LINESTRING (476768836 123859704, 476766259 123862171)"
5,513243,022223,17738,12130,12684,1,6,1267,4-33-21-5-1261126,"LINESTRING (476783072 123851038, 476780168 123852138, 476778941 123852672, 476777877 123853172, 476776445 123853872, 476775627 123854338, 476774604 123854938, 476773541 123855638, 476772477 123856405, 476771250 123857437, 476770186 123858437, 476768836 123859704)"
6,513243,022243,17938,12119,12784,1,6,1286,4-33-21-590-33338470,"LINESTRING (476766259 123862171, 476760654 123867404)"
7,513243,022243,17945,12784,12139,1,6,1288,4-33-21-132-2809687,"LINESTRING (476760654 123867404, 476759427 123868570)"
8,513243,022243,17951,12145,12790,1,6,1289,4-33-21-590-33338483,"LINESTRING (476760327 123869136, 476761513 123867904)"
9,513243,022243,17957,12790,12120,1,6,1291,4-33-21-5-1261068,"LINESTRING (476761513 123867904, 476766832 123862537)"
10,513243,022243,17975,12139,12816,1,6,1295,4-33-21-671-54644356,"LINESTRING (476759427 123868570, 476758404 123869770)"
11,513243,022243,17981,12121,12824,1,6,1297,4-33-21-671-54644369,"LINESTRING (476747932 123911666, 476750386 123908567, 476751613 123906967, 476752922 123904467, 476753700 123902700, 476754109 123901033, 476754436 123899500, 476754722 123897868, 476754763 123895201, 476754641 123892968, 476754395 123890868, 476754109 123887502, 476753945 123884969, 476753945 123883069, 476754109 123881969, 476754395 123880202, 476754804 123878735, 476755500 123876970, 476756032 123875536, 476757627 123872770, 476758650 123871170, 476759263 123870403)"
12,513243,022243,17986,12824,12145,1,6,1298,4-33-21-132-2809698,"LINESTRING (476759263 123870403, 476760327 123869136)"
13,513243,021523,18660,14560,13417,1,6,1369,4-33-21-227-368990981,"LINESTRING (476990920 123761086, 476988915 123761119, 476987525 123761152, 476986543 123761186)"
14,513243,021323,18814,13995,13916,1,6,1400,4-33-21-629-85340852,"LINESTRING (476980451 123685194, 476982292 123685360, 476983724 123685460, 476984828 123685494, 476986260 123685494, 476987283 123685627, 476987896 123685927, 476988469 123686427, 476988796 123686827, 476988960 123687360)"
15,513243,022323,18815,14572,13314,1,6,1401,7-33-21-23-27700556,"LINESTRING (476990924 123684595, 476983969 123684560, 476981883 123684494)"
16,513243,021523,18911,13747,13443,1,6,1412,4-33-21-227-368991005,"LINESTRING (476984539 123761551, 476985725 123761619, 476987647 123761719)"
17,513243,021323,19052,13556,14176,1,6,1434,4-33-21-629-85340818,"LINESTRING (476989574 123685927, 476989614 123687160)"
18,513243,022323,19053,13314,13912,1,6,1435,4-33-21-629-85340862,"LINESTRING (476981883 123684494, 476976156 123684460, 476970961 123684494)"
