,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry
0,513243,2,1,1,1,100,476565834,123904284,0,1,0,0,
1,513243,7,1,1,1,60,476788183,123849857,1,0,0,0,
2,513243,8,1,1,1,60,476787717,123849229,1,0,0,0,
3,513243,174,1,1,1,60,476989288,123649608,0,0,0,0,
4,513243,175,1,1,1,60,476985843,123632708,0,0,0,0,
5,513243,17981,1,2,1,60,476754433,123880764,1,0,0,0,
6,513243,17981,1,2,2,60,476753083,123904400,1,0,0,0,
7,513243,18814,1,1,1,40,476983105,123685463,0,0,0,0,
8,513243,19047,1,1,1,60,476988975,123662722,0,0,0,0,
9,513243,19061,1,1,1,60,476929386,123686791,0,0,0,0,
10,513243,19234,1,1,1,50,476988888,123677453,0,0,0,0,
11,513243,19360,1,1,1,40,476891893,123678591,0,0,0,0,
12,513243,19361,1,2,1,50,476976483,123684027,0,0,0,0,
13,513243,19361,1,2,2,50,476986095,123683395,0,0,0,0,
14,513243,19395,1,1,1,40,476685493,123753206,0,0,1,20041,
15,513243,19490,1,1,1,60,476990194,123688305,0,0,0,0,
16,513243,19583,1,1,1,40,476892031,123677410,0,0,0,0,
17,513243,19584,1,1,1,60,476909620,123685841,0,0,0,0,
18,513243,19587,1,1,1,60,476989562,123699434,0,0,0,0,
19,513243,19611,1,1,1,60,476682495,123754166,0,0,1,19693,
20,513243,19666,1,2,1,60,476844369,123680698,0,0,0,0,
21,513243,19666,1,2,2,60,476873472,123676636,0,0,0,0,
22,513243,19667,1,2,1,60,476929900,123686015,0,0,0,0,
23,513243,19667,1,2,2,60,476967580,123684360,0,0,0,0,
24,513243,19669,1,1,1,50,476990244,123677777,0,0,0,0,
25,513243,19676,1,1,1,40,476991906,123705748,0,0,0,0,
26,513243,19693,1,1,1,40,476680231,123753848,0,0,0,0,
27,513243,19707,1,1,1,40,476980702,123760440,0,0,0,0,
28,513243,19754,1,1,1,60,476910308,123685318,0,0,0,0,
29,513243,19755,1,1,1,60,476967043,123685090,0,0,0,0,
30,513243,19756,1,1,1,50,476977708,123685163,0,0,0,0,
31,513243,19780,1,1,1,40,476673378,123751680,16,0,0,0,
32,513243,19789,1,1,1,40,476980822,123761262,0,0,0,0,
33,513243,19825,1,1,1,60,476905744,123682406,1,0,0,0,
34,513243,19897,1,1,1,40,476990921,123690003,0,0,1,19588,
35,513243,19965,1,1,1,40,476989397,123695990,0,0,1,19062,
36,513243,19981,1,1,1,40,476679460,123752458,0,0,0,0,
37,513243,20044,1,1,1,60,476723488,123741938,0,0,0,0,
38,513243,20084,1,2,1,60,476846932,123678973,0,0,0,0,
39,513243,20084,1,2,2,60,476877110,123677315,0,0,0,0,
40,513243,20087,1,1,1,40,476821033,123700188,0,0,0,0,
41,513243,20107,1,1,1,40,476715899,123745855,16,0,0,0,
42,513243,20191,1,1,1,60,476989721,123661257,0,0,0,0,
43,513243,20193,1,1,1,60,476823240,123699631,0,0,0,0,
44,513243,20195,1,1,1,40,476990633,123696249,0,0,1,20144,
45,513243,20244,1,1,1,40,476821046,123701591,0,0,0,0,
46,513243,20261,1,1,1,40,476707512,123750311,0,0,1,20207,
47,513243,20292,1,3,1,60,476799873,123717683,0,0,0,0,
48,513243,20292,1,3,2,60,476730824,123739394,0,0,0,0,
49,513243,20292,1,3,3,60,476771598,123727360,0,0,0,0,
50,513243,20338,1,1,1,40,476906003,123682082,0,0,0,0,
51,513243,20341,1,1,1,40,476828294,123695070,0,0,0,0,
52,513243,20359,1,1,1,60,476705521,123749898,0,0,0,0,
53,513243,20384,1,1,1,40,476827681,123694141,0,0,0,0,
54,513243,20419,1,1,1,40,476901469,123680831,0,0,1,20455,
55,513243,20525,1,1,1,60,476825770,123696039,0,0,0,0,
56,513243,20541,1,1,1,40,476711523,123747184,0,0,0,0,
57,513243,20554,1,1,1,30,476840475,123682876,16,0,0,0,
58,513243,20556,1,3,1,60,476802182,123716495,0,0,0,0,
59,513243,20556,1,3,2,60,476775144,123726101,0,0,0,0,
60,513243,20556,1,3,3,40,476736029,123736757,0,0,0,0,
61,513243,20583,1,1,1,40,476837463,123684515,16,0,1,20521,
62,513243,20743,1,1,1,60,476701018,123752268,0,0,0,0,
63,513243,20833,1,1,1,30,476834017,123689405,0,0,0,0,
64,513243,21086,1,1,1,60,476990790,123701283,0,0,0,0,
65,513243,21093,1,1,1,60,476751358,123904635,1,0,0,0,
