,meshcode,nodeno,symcode,realx,realy,geometry
0,513244,101,719999,477026513,123612404,
1,513244,103,719999,477026146,123611870,
2,513244,104,719999,477026104,123613370,
3,513244,113,719999,477120590,123717025,
4,513244,113,710295,477119731,123718958,
5,513244,113,710235,477122022,123715293,
6,513244,114,719999,477121122,123716892,
7,513244,114,710295,477119772,123718958,
8,513244,114,710235,477122022,123715293,
9,513244,115,719999,477139857,123735823,
10,513244,115,711900,477137116,123734890,
11,513244,116,719999,477135193,123732756,
12,513244,116,711900,477137116,123734890,
13,513244,118,719999,477112737,123723624,
14,513244,118,711900,477114332,123722392,
15,513244,118,711400,477114086,123726324,
16,513244,118,710201,477116786,123722792,
17,513244,118,711905,477111755,123724824,
18,513244,126,719999,476994152,123740421,
19,513244,126,712231,476993948,123741321,
20,513244,126,710106,476992516,123741354,
21,513244,127,719999,477118627,123724357,
22,513244,127,712231,477119527,123723591,
23,513244,127,711201,477117890,123723324,
24,513244,127,710201,477116786,123722825,
25,513244,127,710421,477120959,123725824,
26,513244,128,719999,477177448,123754953,
27,513244,129,712000,477232751,123804150,
28,513244,131,719999,477238191,123812784,
29,513244,133,719999,477265597,123827983,
30,513244,136,719999,477310959,123893978,
31,513244,138,719999,477163376,123748354,
32,513244,139,719999,477156832,123745189,
33,513244,140,719999,477130121,123729757,
34,513244,140,710295,477130244,123728657,
35,513244,141,719999,477123290,123726224,
36,513244,141,710421,477120999,123725824,
37,513244,146,719999,477030277,123615704,
38,513244,146,710900,477032036,123618704,
39,513244,146,710438,477030563,123617304,
40,513244,147,719999,477124109,123692496,
41,513244,147,710531,477123578,123690662,
42,513244,148,719999,477123127,123699295,
43,513244,148,710551,477124518,123696928,
44,513244,148,711914,477124518,123701627,
45,513244,148,711900,477125377,123699161,
46,513244,148,710321,477121654,123702460,
47,513244,148,710116,477121572,123703627,
48,513244,149,719999,477051424,123627503,
49,513244,152,719999,477084719,123659432,
50,513244,153,719999,477123619,123676964,
51,513244,153,711600,477122432,123677398,
52,513244,153,711400,477123782,123675664,
53,513244,153,710295,477123005,123677031,
54,513244,153,710201,477124273,123679530,
55,513244,153,710300,477121450,123675398,
56,513244,158,719999,477222075,123793818,
57,513244,158,711400,477223384,123794718,
58,513244,158,710600,477223793,123792985,
59,513244,159,710116,477221134,123788585,
60,513244,160,719999,477215489,123781318,
61,513244,160,711914,477218066,123782818,
62,513244,160,710428,477217453,123781185,
63,513244,160,711113,477216226,123779818,
64,513244,165,719999,477194832,123767152,
65,513244,165,711900,477197655,123768052,
66,513244,168,719999,477286050,123838949,
67,513244,168,711900,477289691,123838483,
68,513244,169,719999,477278564,123834049,
69,513244,173,719999,477303515,123878379,
70,513244,175,719999,477295007,123863014,
71,513244,175,710600,477298443,123862847,
72,513244,177,719999,477296071,123847348,
73,513244,177,712231,477296644,123848115,
74,513244,177,710438,477298279,123848982,
75,513244,179,719999,477050688,123627136,
76,513244,180,719999,477122390,123705394,
77,513244,180,711900,477123781,123704727,
78,513244,180,710321,477121736,123702494,
79,513244,180,710116,477121286,123703927,
80,513244,182,719999,477120264,123672898,
81,513244,182,711722,477121246,123673298,
82,513244,182,711600,477119529,123671299,
83,513244,182,710421,477119691,123674064,
84,513244,182,710300,477121369,123675431,
85,513244,186,719999,477121163,123712193,
86,513244,187,719999,477015869,123855442,
87,513244,187,712012,477017383,123852810,
88,513244,188,719999,477018855,123858609,
89,513244,189,719999,477033784,123886940,
90,513244,189,711722,477035216,123889174,
91,513244,189,710428,477031821,123885207,
92,513244,193,719999,477302865,123612743,
93,513244,193,711400,477303602,123612243,
94,513244,198,710210,476992349,123829544,
95,513244,198,719999,476994886,123831311,
96,513244,198,711900,476993986,123831344,
97,513244,198,710551,476996481,123832244,
98,513244,198,710321,476995049,123830211,
99,513244,201,719999,477129877,123678698,
100,513244,201,711400,477128281,123677898,
101,513244,202,719999,477132331,123677764,
102,513244,202,711900,477133845,123676364,
103,513244,203,719999,477329127,123620943,
104,513244,203,711914,477325895,123619176,
105,513244,203,711900,477326222,123621243,
106,513244,204,719999,477309410,123617010,
107,513244,207,712005,477359029,123627276,
108,513244,207,711805,477356043,123629843,
109,513244,211,719999,477139244,123672265,
110,513244,211,711905,477139244,123671299,
111,513244,211,711712,477137363,123672099,
112,513244,211,711600,477138589,123672232,
113,513244,211,711113,477138958,123669799,
114,513244,214,719999,477145913,123619471,
115,513244,221,719999,477010920,123849610,
116,513244,232,719999,477083001,123665831,
117,513244,232,711500,477078338,123663665,
118,513244,233,719999,477094658,123680030,
119,513244,234,719999,477078665,123671831,
120,513244,234,711716,477078010,123670731,
121,513244,235,719999,477099117,123673831,
122,513244,241,712000,477087909,123683162,
123,513244,242,710600,477066803,123658565,
124,513244,242,710230,477060463,123657099,
125,513244,243,710260,477059399,123653266,
126,513244,243,710230,477057886,123655532,
127,513244,247,719999,477074492,123677463,
128,513244,247,710428,477074002,123675663,
129,513244,247,710235,477076210,123679130,
130,513244,253,712000,477071506,123670398,
131,513244,253,712000,477074166,123670598,
132,513244,255,712000,477065412,123670131,
133,513244,255,711900,477069011,123669131,
134,513244,257,719999,477039394,123718191,
