,meshcode,recordid,areano,nextflg,elcode,objectid,elcnt,dspflg,geometry
0,513244,1,21,0,219161,4-32-17-5-1839165,230,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿø,
1,513244,1,36,0,142100,4-32-24-5-1636543,4,à,
2,513244,1,40,0,122100,4-32-24-582-1569980,4,à,
3,513244,1,69,0,212040,4-56-17-694-18212175,8,þ,
4,513244,1,70,0,212040,4-56-17-694-18212175,3,À,
5,513244,2,1,0,44B000,4-32-26-5-1838843,295,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ¿ÿÿÿÿÿÿÿÿÿÿÿÿÿþ,
6,513244,2,2,0,44B000,4-32-26-5-1838851,123,ÿÿÿÿ¿ÿÿÿÿÿ÷ÿÿÿÿà,
7,513244,3,1,0,411000,4-32-26-5-1838847,81,}ÿÿÿÿÿÿÿÿÿ,
8,513244,3,2,1,411000,4-32-26-5-1838855,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿýÿÿÿÿÿÿÿÿûÿÿ,
9,513244,3,2,2,411000,4-32-26-5-1838855,231,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþÿÿÿÿÿþ,
10,513244,4,1,1,540000,7-50-7-103-31789560,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
11,513244,4,1,2,540000,7-50-7-103-31789560,391,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿßÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿø,
12,513244,4,2,1,540000,7-50-7-103-31789560,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
13,513244,4,2,2,540000,7-50-7-103-31789560,314,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
14,513244,4,3,1,540000,7-50-7-103-31789560,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿã,
15,513244,4,3,2,540000,7-50-7-103-31789560,123,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿà,
16,513244,4,4,1,540000,7-50-7-103-31789560,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
17,513244,4,4,2,540000,7-50-7-103-31789560,186,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿßÿÿÿÿÿÿÿÀ,
18,513244,4,5,0,540000,7-50-7-103-31789560,3,À,
19,513244,4,6,1,540000,7-50-7-103-31789617,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿûÿÿÿÿýÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
20,513244,4,6,2,540000,7-50-7-103-31789617,36,ÿÿÿÿÀ,
21,513244,4,7,1,540000,7-50-7-103-31789617,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
22,513244,4,7,2,540000,7-50-7-103-31789617,232,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,
23,513244,4,8,1,540000,7-50-7-103-31789627,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
24,513244,4,8,2,540000,7-50-7-103-31789627,110,ÿÿÿÿÿûÿÿÿÿÿÿÿø,
25,513244,4,9,1,540000,7-50-7-103-31789627,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
26,513244,4,9,2,540000,7-50-7-103-31789627,291,ÿÿ÷ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþÿÿà,
27,513244,4,10,1,540000,7-50-7-103-31789627,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
28,513244,4,10,2,540000,7-50-7-103-31789627,133,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿø,
29,513244,4,11,0,540000,7-50-7-103-31789638,6,p,
30,513244,4,12,0,540000,7-50-7-124-44935303,386,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
31,513244,4,13,0,540000,7-50-7-288-68470505,106,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,
32,513244,4,14,0,540000,7-50-7-288-68472876,21,ÿÿð,
33,513244,4,15,0,540000,7-50-7-288-68474018,321,ÿÿÿÿÿÿÿÿÿÿþÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
34,513244,4,16,0,540000,7-50-7-288-68474141,336,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿøÿÿÿÿÿÿÿÿÿÿÿþ,
35,513244,4,17,0,540000,7-50-7-288-68475185,222,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿø,
36,513244,4,18,0,540000,7-50-7-288-68475185,17,ÿÿ,
37,513244,4,19,0,540000,7-50-7-288-68475849,89,ÿÿÿÿÿÿÿÿÿÿþ,
38,513244,4,21,0,540000,7-50-7-288-68477165,12,,
39,513244,4,22,1,540000,7-50-7-288-68477603,400,ÿÿ÷ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
40,513244,4,22,2,540000,7-50-7-288-68477603,271,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿü,
41,513244,4,23,1,540000,7-50-7-288-68477712,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
42,513244,4,23,2,540000,7-50-7-288-68477712,281,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿüÿÿÿÿÿÿÿÿÿÿÿÿ,
43,513244,4,24,1,540000,7-50-7-288-68477712,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
44,513244,4,24,2,540000,7-50-7-288-68477712,127,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿü,
45,513244,4,25,0,540000,7-50-7-288-68477712,181,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿð,
46,513244,4,26,1,540000,7-50-7-288-68478266,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
47,513244,4,26,2,540000,7-50-7-288-68478266,122,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
48,513244,4,27,1,540000,7-50-7-288-68478266,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
49,513244,4,27,2,540000,7-50-7-288-68478266,222,ÿÿÿÿÿÿÿÿÿÿÿ¿ÿÿÿÿÿÿÿÿÿÿÿûÿÿÿü,
50,513244,4,28,1,540000,7-50-7-288-68478582,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
51,513244,4,28,2,540000,7-50-7-288-68478582,249,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
52,513244,4,29,0,540000,7-50-7-288-68478582,377,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
53,513244,4,30,1,540000,7-50-7-288-68478582,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ¿ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
54,513244,4,30,2,540000,7-50-7-288-68478582,67,ÿ÷ÿÿÿÿÿÿà,
55,513244,4,31,1,540000,7-50-7-288-68479924,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
56,513244,4,31,2,540000,7-50-7-288-68479924,45,ÿÿÿÿÿà,
57,513244,4,32,1,540000,7-50-7-288-68479924,400,,
58,513244,4,32,2,540000,7-50-7-288-68479924,3,À,
59,513244,4,34,1,540000,7-50-7-288-68482920,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
60,513244,4,34,2,540000,7-50-7-288-68482920,371,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÀ,
61,513244,4,35,0,540000,7-50-7-288-68482920,398,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿø,
62,513244,4,36,1,540000,7-50-7-288-68482920,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
63,513244,4,36,2,540000,7-50-7-288-68482920,160,ÿÿÿÿýÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
64,513244,4,39,1,540000,7-50-7-288-68487005,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
65,513244,4,39,2,540000,7-50-7-288-68487005,105,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,
66,513244,4,40,0,540000,7-50-7-288-68487005,352,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿßÿÿÿÿÿÿÿÿÿÿÿþ,
67,513244,4,42,0,540000,7-50-7-288-68487683,159,ÿÿÿÿÿüüÿÿÿÿÿÿÿÿÿÿþ,
68,513244,4,43,0,540000,7-50-7-288-68487695,165,ÿÿÿÿÿÿÿÿÿÿãÿÿÿÿÿÿÿÿø,
69,513244,4,45,1,540000,7-50-7-288-68489029,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
