,meshcode,tnodeno,snodeno,enodeno,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,513244,99,3494,3480,2,0000000001100000,1,0000000000010000,
1,513244,99,3494,3490,2,0000000001100000,2,0000000001100000,
2,513244,3113,3502,110,2,0000000001100000,2,0000000001100000,
3,513244,3113,6731,110,1,0000000000010000,2,0000000001100000,
4,513244,3122,109,3501,2,0000000001100000,2,0000000001100000,
5,513244,3122,109,6736,2,0000000001100000,1,0000000000010000,
6,513244,3474,6007,3493,1,0000000000010000,2,0000000001100000,
7,513244,3474,8013,3493,2,0000000001100000,2,0000000001100000,
8,513244,7618,7902,7619,1,0000000000010000,3,0000000001110000,
9,513244,7618,8217,7619,2,0000000001100000,3,0000000001110000,
10,513244,7701,8165,8418,3,0000000001110000,1,0000000000010000,
11,513244,7701,8165,8420,3,0000000001110000,2,0000000001100000,
12,513244,7829,111,88,1,0000000000100000,1,0000000000100000,
13,513244,7829,111,8017,1,0000000000100000,1,0000000000010000,
14,513244,7945,8234,7681,3,0000000001110000,1,0000000000010000,
15,513244,7945,8234,7933,3,0000000001110000,2,0000000001100000,
16,513244,8043,7880,7879,2,0000000001100000,2,0000000001100000,
17,513244,8043,8309,7879,1,0000000000010000,2,0000000001100000,
18,513244,8102,8180,8286,3,0000000001110000,1,0000000000010000,
19,513244,8102,8180,8401,3,0000000001110000,2,0000000001100000,
20,513244,8107,7998,8305,1,0000000000010000,1,0000000000100000,
21,513244,8107,8257,8305,1,0000000000100000,1,0000000000100000,
22,513244,8165,7944,7701,2,0000000001100000,3,0000000001110000,
23,513244,8165,8083,7701,1,0000000000010000,3,0000000001110000,
24,513244,8180,8185,8102,2,0000000001100000,3,0000000001110000,
25,513244,8180,8249,8102,1,0000000000010000,3,0000000001110000,
26,513244,8187,8290,8106,2,0000000001100000,1,0000000000010000,
27,513244,8187,8290,8426,2,0000000001100000,2,0000000001100000,
28,513244,8188,8120,3507,1,0000000000100000,1,0000000000010000,
29,513244,8188,8120,8190,1,0000000000100000,1,0000000000100000,
30,513244,8234,8431,7945,1,0000000000010000,3,0000000001110000,
31,513244,8234,8433,7945,2,0000000001100000,3,0000000001110000,
32,513244,8243,8322,8289,1,0000000000010000,2,0000000001100000,
33,513244,8243,8420,8289,2,0000000001100000,2,0000000001100000,
34,513244,8360,8042,8142,2,0000000001100000,2,0000000001100000,
35,513244,8360,8042,8269,2,0000000001100000,1,0000000000010000,
36,513244,8452,8453,3475,2,0000000001100000,2,0000000001100000,
37,513244,8452,8454,3475,1,0000000000010000,2,0000000001100000,
