,meshcode,linkno,tnodeno,signcnt,signno,signtype,changeflg,regardflg,signx,signy,subsigncnt,subsignno,exctflg,cartype,extimeflg,shour,ehour,exdtflg,sdate,edate,exssflg,season,exdayflg,day,section,geometry
0,513244,38,4916,2,1,1,0,0,477120363,123717587,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
1,513244,38,4916,2,2,1,0,0,477120313,123718318,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
2,513244,39,114,1,1,1,0,0,477121322,123716612,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
3,513244,40,113,2,1,3,0,0,477120430,123717173,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
4,513244,40,113,2,2,3,0,0,477120794,123716685,0,,,,,,,,,,,,,,,
5,513244,55,182,1,1,4,0,0,477119570,123672462,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
6,513244,62,2146,1,1,1,0,0,477098788,123660738,2,1.0,0.0,54.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
7,513244,62,2146,1,1,1,0,0,477098788,123660738,2,2.0,0.0,42.0,0.0,0000,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
8,513244,65,1653,1,1,3,0,0,477083358,123659572,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
9,513244,66,2146,1,1,1,0,0,477099359,123660481,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
10,513244,68,182,1,1,3,0,0,477120808,123673103,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
11,513244,75,152,1,1,4,0,0,477083235,123659195,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
12,513244,82,136,1,1,1,0,0,477310432,123893620,1,1.0,0.0,22.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
13,513244,85,150,2,1,3,0,0,477059015,123636924,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
