,meshcode,tnodeno,snodeno,enodeno,tlanesu,lanesu,hodo,sokusen,high,laneno,klanecd,flanecd,ysnodeno,yenodeno,geometry
0,513244,101,1,103,3,2,1,1,2,1,1,1,103,102,
1,513244,101,1,103,3,2,1,1,2,2,1,2,105,146,
2,513244,101,1,103,3,2,1,1,2,3,1,2,105,146,
3,513244,101,1,103,3,2,1,1,2,3,1,2,103,6621,
4,513244,101,101,102,1,1,2,1,2,0,0,0,0,0,
5,513244,101,103,1,2,2,1,1,2,0,0,0,0,0,
6,513244,101,103,102,1,1,2,1,2,0,0,0,0,0,
7,513244,101,103,4359,1,1,2,2,2,0,0,0,0,0,
8,513244,101,103,6621,1,1,2,1,2,0,0,0,0,0,
9,513244,101,105,146,2,2,1,2,2,0,0,0,0,0,
10,513244,101,146,105,3,2,1,1,2,1,1,2,103,1,
11,513244,101,146,105,3,2,1,1,2,1,1,2,103,6621,
12,513244,101,146,105,3,2,1,1,2,2,1,2,103,1,
13,513244,101,146,105,3,2,1,1,2,3,1,1,101,102,
14,513244,101,4359,103,1,1,2,2,2,1,3,2,0,0,
15,513244,101,6621,103,1,1,2,2,2,1,3,2,0,0,
16,513244,101,6736,104,2,2,2,1,2,1,1,2,103,1,
17,513244,101,6736,104,2,2,2,1,2,1,1,2,105,146,
18,513244,101,6736,104,2,2,2,1,2,2,1,2,103,1,
19,513244,115,115,116,2,2,1,1,2,0,0,0,0,0,
20,513244,115,115,264,2,2,1,1,2,0,0,0,0,0,
21,513244,115,115,1574,1,1,1,1,2,0,0,0,0,0,
22,513244,115,116,115,2,2,1,1,2,1,1,2,115,264,
23,513244,115,116,115,2,2,1,1,2,2,1,2,115,1574,
24,513244,115,116,115,2,2,1,1,2,2,1,2,115,264,
25,513244,115,264,115,2,2,1,1,2,1,1,2,115,116,
26,513244,115,264,115,2,2,1,1,2,1,1,2,115,1574,
27,513244,115,264,115,2,2,1,1,2,2,1,2,115,116,
28,513244,115,1574,115,1,1,2,1,2,1,3,2,0,0,
29,513244,116,115,116,2,2,1,1,2,1,1,2,0,0,
30,513244,116,115,116,2,2,1,1,2,2,1,2,0,0,
31,513244,116,116,115,2,2,1,1,2,0,0,0,0,0,
32,513244,116,116,117,2,2,1,1,2,0,0,0,0,0,
33,513244,116,116,265,1,1,2,2,2,0,0,0,0,0,
34,513244,116,116,5324,1,1,2,1,2,0,0,0,0,0,
35,513244,116,117,116,2,2,1,1,2,1,1,2,0,0,
36,513244,116,117,116,2,2,1,1,2,2,1,2,0,0,
37,513244,116,265,116,1,1,2,2,2,1,3,2,0,0,
38,513244,116,5324,116,1,1,1,2,2,1,3,2,0,0,
39,513244,118,118,4918,1,1,1,1,2,0,0,0,0,0,
