,meshcode,tnodeno,snodeno,linkno,ichikeido,ichiido,distance,changetype,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,513244,88,7829,9576,476993053,123625702,65,6,1,0000000000100000,0,1111111111111111,
1,513244,3503,3501,31,477025328,123613604,40,2,2,0000000001100000,1,0000000000100000,
2,513244,7618,8217,10208,476994685,123707658,186,1,1,0000000000100000,2,0000000001100000,
3,513244,7881,5458,9428,477057517,123677397,8,6,2,0000000001100000,0,1111111111111111,
4,513244,7933,7945,9862,476994683,123761619,2,2,2,0000000001100000,1,0000000000100000,
5,513244,8044,3500,9936,477061689,123678362,98,6,0,1111111111111111,2,0000000001100000,
6,513244,8120,3497,9551,477046507,123864642,95,2,2,0000000001100000,1,0000000000100000,
7,513244,8146,8049,10144,476993581,123707025,77,2,2,0000000001100000,1,0000000000100000,
8,513244,8305,8107,10493,477038735,123859310,82,5,1,0000000000100000,2,0000000011000000,
9,513244,8328,8426,10675,477004948,123839611,64,2,2,0000000001100000,1,0000000000100000,
10,513244,8373,8108,10109,477011125,123850310,13,1,1,0000000000100000,2,0000000000110000,
