,meshcode,tnodeno,snodeno,enodeno,ysnodeno,yenodeno,passageno,geometry
0,513244,101,1,103,105,146,101,
1,513244,101,146,105,101,102,0,
2,513244,101,146,105,103,1,101,
3,513244,101,146,105,103,6621,101,
4,513244,101,6736,104,103,1,101,
5,513244,101,6736,104,105,146,0,
6,513244,152,2900,1653,152,3153,0,
7,513244,152,2900,1653,152,3632,0,
8,513244,152,3153,152,1653,2900,0,
9,513244,152,3632,152,1653,2900,0,
10,513244,165,164,4360,165,991,0,
11,513244,165,164,4360,165,4995,0,
12,513244,165,4995,165,4360,164,0,
13,513244,165,4995,165,4360,4974,0,
14,513244,186,114,1625,186,7909,7123,
15,513244,186,114,1625,186,8222,7123,
16,513244,186,7189,1625,186,5450,0,
17,513244,186,7189,1625,186,7909,0,
18,513244,186,7189,1625,186,8222,0,
19,513244,186,7909,186,1625,7175,0,
20,513244,186,7909,186,1625,7189,0,
21,513244,186,8151,186,1625,7189,7123,
22,513244,221,7768,221,8294,8248,0,
23,513244,221,8371,8294,221,7768,8438,
24,513244,274,375,274,327,3324,7283,
25,513244,274,3133,327,274,275,7283,
26,513244,276,3316,276,280,281,7088,
27,513244,276,4364,280,276,277,7088,
28,513244,299,247,299,3477,7461,0,
29,513244,299,247,299,3477,7613,0,
30,513244,299,7455,3477,299,247,6676,
31,513244,299,7459,299,3477,7613,6676,
32,513244,354,353,354,412,1469,7093,
33,513244,354,413,412,354,1454,7093,
34,513244,354,1454,354,412,1469,0,
35,513244,354,1454,354,412,7573,0,
36,513244,354,1469,412,354,355,0,
37,513244,354,1469,412,354,1454,0,
38,513244,485,6681,485,8054,8148,0,
39,513244,485,6681,485,8054,8218,0,
40,513244,485,8053,8054,485,6681,0,
41,513244,485,8148,8054,485,6681,0,
42,513244,604,3369,604,3166,5073,6667,
43,513244,604,5073,3166,604,5074,0,
44,513244,604,5073,3166,604,6760,0,
45,513244,604,8228,3166,604,5074,6667,
46,513244,7083,343,7083,8402,7576,0,
47,513244,7083,343,7083,8402,8421,0,
48,513244,7083,2236,7083,8402,7576,8434,
49,513244,7083,7575,8402,7083,343,8434,
50,513244,7083,7576,8402,7083,343,0,
51,513244,7083,7576,8402,7083,8348,0,
52,513244,8248,187,8408,8248,7154,0,
53,513244,8417,3789,8444,8417,6775,8446,
54,513244,8417,6775,8417,8444,8321,0,
55,513244,8417,6775,8417,8444,8419,0,
56,513244,8417,8235,8444,8417,6775,8446,
57,513244,8417,8321,8444,8417,6775,0,
58,513244,8417,8321,8444,8417,8283,0,
59,513244,8417,8419,8417,8444,8321,8446,
60,513244,8417,8440,8444,8417,6775,8446,
