,meshcode,elcode,attrnmno,objectid,geometry
0,513244,520000,0,4-32-5-5-1841641,"LINESTRING (477034651 123672863, 477065166 123687961, 477069134 123683729)"
1,513244,520000,0,4-32-5-5-1841644,"LINESTRING (477060870 123692428, 477064306 123689361, 477065166 123687961)"
2,513244,520000,0,4-32-5-5-1841647,"LINESTRING (477131263 123911672, 477132408 123910272, 477133389 123909772, 477134493 123909472, 477135843 123908172, 477137439 123906973, 477138789 123906473, 477140384 123906273, 477142348 123905673, 477144066 123904973, 477145293 123904273, 477145743 123903839)"
3,513244,520000,0,4-32-5-5-1841650,"LINESTRING (477195488 123638505, 477194875 123637905, 477192912 123636305, 477192053 123634805, 477190948 123633905, 477189353 123632305, 477188249 123630705, 477188004 123629405, 477187144 123628205, 477186531 123627106, 477185672 123625106, 477184690 123622706, 477184691 123619406, 477184323 123617706, 477184200 123616306, 477184077 123614207, 477184200 123612307, 477184241 123611707)"
4,513244,520000,0,4-32-5-5-1841653,"LINESTRING (477037835 123856043, 477038776 123856610, 477039881 123857377, 477041517 123857977, 477043071 123858810, 477046384 123860510, 477048716 123861877, 477051006 123863442, 477052479 123864409, 477054033 123865609, 477055342 123867042, 477056897 123868542, 477057920 123869742, 477058165 123870576, 477057920 123871542, 477056979 123873042, 477056692 123874176, 477056692 123875075, 477057265 123875975, 477058082 123876508, 477058819 123877175, 477059391 123878308, 477059473 123879275, 477060373 123880175, 477061232 123881075, 477061314 123882208, 477061110 123883541, 477061314 123884741, 477061969 123886107, 477062132 123887740, 477062582 123888640, 477063319 123889307, 477064340 123890074, 477065159 123891040, 477066099 123892407, 477066836 123893207, 477067572 123893607, 477068677 123893440, 477071336 123892707, 477072440 123892707, 477073177 123893007, 477073749 123893074, 477074567 123892840, 477076408 123892774, 477076858 123893807, 477077226 123895007, 477078330 123896074, 477080376 123897207, 477081480 123898107, 477082462 123898706, 477083485 123898906, 477084875 123899673, 477085979 123900573, 477089007 123902906, 477090397 123903406, 477091788 123903806, 477093261 123904473, 477094161 123905139, 477095837 123907006, 477097187 123907706, 477098865 123907839, 477101606 123907773, 477102465 123908005, 477103365 123908672, 477104306 123909505, 477105206 123910005, 477106146 123910538, 477106595 123911138, 477106759 123911672)"
5,513244,520000,0,4-32-5-5-1841656,"LINESTRING (476990918 123827279, 476992758 123827745, 476994231 123828811, 476999180 123835411, 477000939 123837878, 477003517 123842310, 477004457 123843710)"
6,513244,520000,0,4-32-5-5-1841659,"LINESTRING (477004457 123843710, 477004988 123844543, 477009856 123850710, 477012270 123852942, 477014560 123854609, 477015501 123855142)"
7,513244,520000,0,4-32-5-5-1841662,"LINESTRING (477024786 123852110, 477025400 123851610, 477026504 123851510, 477029000 123852510, 477030186 123852943, 477031414 123852943, 477032600 123853310, 477033253 123853910, 477034235 123854210, 477035708 123854743, 477037303 123855710, 477037835 123856043)"
8,513244,520000,0,4-32-5-5-1841665,"LINESTRING (476990919 123817213, 476997872 123811180, 477000818 123810014, 477004295 123809014, 477004907 123808114, 477004908 123806947)"
9,513244,520000,0,4-32-5-5-1841668,"LINESTRING (477069702 123778918, 477069580 123778885, 477068352 123777985)"
