,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,geometry
0,513244,42,1,2,1,40,477111691,123722281,
1,513244,42,1,2,2,40,477118865,123717548,
2,513244,50,1,1,1,50,477300099,123874412,
3,513244,50,2,1,1,50,477300099,123874412,
4,513244,56,1,2,1,50,477066710,123654046,
5,513244,56,1,2,2,50,477064700,123648467,
6,513244,56,2,1,1,50,477064700,123648467,
7,513244,58,1,1,1,50,477068752,123656411,
8,513244,58,2,1,1,50,477068752,123656411,
9,513244,63,1,1,1,50,477294794,123863326,
10,513244,63,2,1,1,50,477294794,123863326,
11,513244,68,1,1,1,50,477121861,123674656,
12,513244,69,1,1,1,50,477291844,123843544,
13,513244,69,2,1,1,50,477291844,123843544,
14,513244,72,1,1,1,50,477103245,123661691,
15,513244,79,2,1,1,50,477112711,123667217,
16,513244,82,1,1,1,50,477310964,123893702,
17,513244,87,2,1,1,50,477129800,123729422,
18,513244,92,1,1,1,50,477122390,123709402,
19,513244,93,1,1,1,50,477119421,123724033,
20,513244,93,2,2,1,50,477119458,123724053,
21,513244,93,2,2,2,50,477119421,123724033,
22,513244,94,1,1,1,50,477121030,123712783,
23,513244,95,1,2,1,50,477325892,123907429,
24,513244,95,1,2,2,50,477320892,123900191,
25,513244,95,2,2,1,50,477325892,123907429,
26,513244,95,2,2,2,50,477320892,123900191,
27,513244,96,2,1,1,50,477310622,123894130,
28,513244,97,1,1,1,50,477305902,123884179,
29,513244,97,2,1,1,50,477305902,123884179,
30,513244,98,2,1,1,50,477060023,123638342,
31,513244,107,1,1,1,50,477165179,123748949,
32,513244,107,2,1,1,50,477165179,123748949,
33,513244,109,1,1,1,50,477130432,123730211,
34,513244,112,1,2,1,50,477252994,123822489,
35,513244,112,1,2,2,50,477252872,123822697,
36,513244,112,2,1,1,50,477252872,123822697,
37,513244,114,1,1,1,50,477266268,123828228,
38,513244,114,2,1,1,50,477266139,123828283,
39,513244,116,1,1,1,50,476994432,123741266,
40,513244,116,2,1,1,50,476994019,123741270,
41,513244,130,1,1,1,50,477209453,123775945,
42,513244,130,2,1,1,50,477209453,123775945,
43,513244,136,1,2,1,50,477219273,123787844,
44,513244,136,1,2,2,50,477216263,123782936,
45,513244,136,2,1,1,50,477216263,123782936,
46,513244,138,1,1,1,50,477279923,123834815,
47,513244,138,2,1,1,50,477279923,123834815,
48,513244,142,2,1,1,50,477195053,123767554,
49,513244,147,1,1,1,50,477201190,123770686,
50,513244,147,2,1,1,50,477201190,123770686,
51,513244,150,1,1,1,50,477194853,123766835,
52,513244,152,1,1,1,50,477188051,123763334,
53,513244,152,2,1,1,50,477188051,123763334,
54,513244,154,1,1,1,50,477137842,123734679,
55,513244,154,2,1,1,50,477137842,123734679,
56,513244,155,2,1,1,50,477147700,123740523,
57,513244,160,1,1,1,50,477135074,123732655,
58,513244,160,2,1,1,50,477135074,123732655,
59,513244,161,1,1,1,50,477177791,123754790,
60,513244,161,2,1,1,50,477177762,123755438,
61,513244,164,1,1,1,50,477234625,123808342,
62,513244,164,2,1,1,50,477234625,123808342,
63,513244,168,1,1,1,20,477183508,123817709,
64,513244,170,1,1,1,50,477124476,123684120,
65,513244,170,2,1,1,40,477124440,123684177,
66,513244,172,1,1,1,40,477203295,123792176,
67,513244,172,2,2,1,40,477203852,123791934,
68,513244,172,2,2,2,40,477202013,123797369,
69,513244,174,1,1,1,20,477182290,123846068,
70,513244,174,2,1,1,20,477182127,123846094,
71,513244,180,2,1,1,30,477174267,123816325,
72,513244,183,1,1,1,20,477179760,123824099,
73,513244,183,2,1,1,20,477179922,123824182,
74,513244,187,1,1,1,30,477184857,123815563,
75,513244,187,2,1,1,30,477184984,123815652,
