,meshcode,fromlinkno,tolinkno,snodeno,tnodeno,enodeno,day,shour,ehour,sdate,edate,cartype,carwait,carthaba,carthigh,geometry
0,513244,4,3,3480,98,100,100000000,0000,2400,0101,1231,0,0,0,0,
1,513244,23,21,104,101,102,100000000,0000,2400,0101,1231,0,0,0,0,
2,513244,23,47,104,101,105,100000000,0000,2400,0101,1231,0,0,0,0,
3,513244,24,47,104,105,101,100000000,0000,2400,0101,1231,0,0,0,0,
4,513244,35,103,3576,124,126,100000000,0000,2400,0101,1231,0,0,0,0,
5,513244,37,34,3577,314,3576,100000000,0000,2400,0101,1231,0,0,0,0,
6,513244,38,2073,113,4916,5397,100000000,0000,2400,0101,1231,0,0,0,0,
7,513244,38,3688,113,4916,4920,100000000,0000,2400,0101,1231,0,0,0,0,
8,513244,39,25,5397,114,113,100000000,0000,2400,0101,1231,0,0,0,0,
9,513244,39,7162,5397,114,5402,100000000,0000,2400,0101,1231,0,0,0,0,
10,513244,40,26,5450,113,144,100000000,0000,2400,0101,1231,0,0,0,0,
11,513244,46,60,142,143,119,100000000,0000,2400,0101,1231,0,0,0,0,
12,513244,52,21,103,101,102,100000000,0000,2400,0101,1231,0,0,0,0,
13,513244,52,22,101,103,102,100000000,0000,2400,0101,1231,0,0,0,0,
14,513244,55,5291,183,182,2094,100000000,0700,0900,0101,1231,0,0,0,0,
15,513244,57,6021,152,1653,3154,100000000,0000,2400,0101,1231,0,0,0,0,
16,513244,57,9417,1653,152,3154,100000000,0000,2400,0101,1231,0,0,0,0,
17,513244,59,667,114,1625,186,100000000,0000,2400,0101,1231,0,0,0,0,
18,513244,61,8516,2143,2141,7163,100000000,0000,2400,0101,1231,0,0,0,0,
19,513244,62,5885,2147,2146,2149,100000000,0700,0900,0101,1231,0,0,0,0,
20,513244,68,5291,154,182,2094,100000000,0700,0900,0101,1231,0,0,0,0,
21,513244,86,7596,112,4921,4924,100000000,0000,2400,0101,1231,0,0,0,0,
22,513244,87,4016,140,5284,5594,100000000,0000,2400,0101,1231,0,0,0,0,
23,513244,88,579,5284,141,5410,100000000,0700,2400,0101,1231,0,0,0,0,
24,513244,88,4213,141,5284,6040,100000000,0000,2400,0101,1231,0,0,0,0,
25,513244,89,2067,5391,180,5393,100000000,0000,2400,0101,1231,0,0,0,0,
26,513244,89,10376,5391,180,8312,100000000,0000,2400,0101,1231,0,0,0,0,
27,513244,96,1212,5469,136,4178,100000000,0000,2400,0101,1231,0,0,0,0,
28,513244,99,9609,185,6000,7869,100000000,0700,0900,0101,1231,0,0,0,0,
29,513244,100,9609,3115,6000,7869,100000000,0700,0900,0101,1231,0,0,0,0,
30,513244,101,870,120,121,256,100000000,0000,2400,0101,1231,0,0,0,0,
31,513244,103,36,124,126,3577,100000000,0000,2400,0101,1231,0,0,0,0,
32,513244,103,1819,124,126,59,100000000,0000,2400,0101,1231,0,0,0,0,
33,513244,113,1072,169,170,2557,100000000,0000,2400,0101,1231,0,0,0,0,
34,513244,113,4824,170,169,1010,100000000,0000,2400,0101,1231,0,0,0,0,
35,513244,115,8088,2019,157,2020,100000000,0000,2400,0101,1231,0,0,0,0,
36,513244,116,1819,2075,126,59,100000000,0000,2400,0101,1231,0,0,0,0,
37,513244,117,10758,360,2075,8493,100000000,0000,2400,0101,1231,0,0,0,0,
38,513244,118,8516,2116,2141,7163,100000000,0000,2400,0101,1231,0,0,0,0,
39,513244,120,672,2144,127,2145,100000000,0000,2400,0101,1231,0,0,0,0,
40,513244,120,853,127,2144,2145,100000000,0000,2400,0101,1231,0,0,0,0,
41,513244,121,5396,122,155,1373,100000000,0000,2400,0101,1231,0,0,0,0,
42,513244,121,5397,155,122,1340,100000000,0000,2400,0101,1231,0,0,0,0,
43,513244,123,1072,2556,170,2557,100000000,0000,2400,0101,1231,0,0,0,0,
44,513244,138,4824,4285,169,1010,100000000,0000,2400,0101,1231,0,0,0,0,
45,513244,143,3924,2144,4919,5411,100000000,0000,2400,0101,1231,0,0,0,0,
46,513244,144,2025,4919,118,4918,100000000,0000,2400,0101,1231,0,0,0,0,
47,513244,144,7623,118,4919,6636,100000000,0000,2400,0101,1231,0,0,0,0,
