,meshcode,linkno,snodeno,enodeno,day,shour,ehour,sdate,edate,cartype,geometry
0,513244,1,7935,94,100000000,0000,2400,0101,1231,0,
1,513244,2,96,8309,100000000,0000,2400,0101,1231,0,
2,513244,3,98,100,100000000,0000,2400,0101,1231,0,
3,513244,4,3480,98,100000000,0000,2400,0101,1231,0,
4,513244,5,99,3480,100000000,0000,2400,0101,1231,0,
5,513244,6,6007,3474,100000000,0000,2400,0101,1231,0,
6,513244,7,3439,3440,100000000,0000,2400,0101,1231,0,
7,513244,8,3475,3487,100000000,0000,2400,0101,1231,0,
8,513244,9,3488,3486,100000000,0000,2400,0101,1231,0,
9,513244,10,3487,3489,100000000,0000,2400,0101,1231,0,
10,513244,11,3490,3488,100000000,0000,2400,0101,1231,0,
11,513244,12,99,3490,100000000,0000,2400,0101,1231,0,
12,513244,13,3489,3491,100000000,0000,2400,0101,1231,0,
13,513244,14,3492,3439,100000000,0000,2400,0101,1231,0,
14,513244,15,3474,3493,100000000,0000,2400,0101,1231,0,
15,513244,16,3493,3492,100000000,0000,2400,0101,1231,0,
16,513244,17,3494,99,100000000,0000,2400,0101,1231,0,
17,513244,18,3495,3494,100000000,0000,2400,0101,1231,0,
18,513244,19,3440,3496,100000000,0000,2400,0101,1231,0,
19,513244,20,4358,3495,100000000,0000,2400,0101,1231,0,
20,513244,21,101,102,100000000,0000,2400,0101,1231,0,
21,513244,22,103,102,100000000,0000,2400,0101,1231,0,
22,513244,23,104,101,100000000,0000,2400,0101,1231,0,
23,513244,24,104,105,100000000,0000,2400,0101,1231,0,
24,513244,25,114,113,100000000,0000,2400,0101,1231,0,
25,513244,26,113,144,100000000,0000,2400,0101,1231,0,
26,513244,27,156,142,100000000,0000,2400,0101,1231,0,
27,513244,28,3122,3501,100000000,0000,2400,0101,1231,0,
28,513244,29,3502,3113,100000000,0000,2400,0101,1231,0,
29,513244,30,3503,27,100000000,0000,2400,0101,1231,0,
30,513244,31,3501,3503,100000000,0000,2400,0101,1231,0,
31,513244,32,3504,3502,100000000,0000,2400,0101,1231,0,
32,513244,33,26,3504,100000000,0000,2400,0101,1231,0,
33,513244,34,314,3576,100000000,0000,2400,0101,1231,0,
34,513244,35,3576,124,100000000,0000,2400,0101,1231,0,
35,513244,36,126,3577,100000000,0000,2400,0101,1231,0,
36,513244,37,3577,314,100000000,0000,2400,0101,1231,0,
37,513244,38,113,4916,100000000,0000,2400,0101,1231,0,
38,513244,39,5397,114,100000000,0000,2400,0101,1231,0,
39,513244,40,5450,113,100000000,0000,2400,0101,1231,0,
40,513244,41,3506,6016,100000000,0000,2400,0101,1231,0,
41,513244,42,144,6012,100000000,0000,2400,0101,1231,0,
42,513244,43,87,108,100000000,0000,2400,0101,1231,0,
43,513244,44,108,109,100000000,0000,2400,0101,1231,0,
44,513244,45,110,111,100000000,0000,2400,0101,1231,0,
45,513244,46,142,143,100000000,0000,2400,0101,1231,0,
46,513244,59,114,1625,100000000,0000,2400,0101,1231,0,
47,513244,60,143,119,100000000,0000,2400,0101,1231,0,
48,513244,71,3113,110,100000000,0000,2400,0101,1231,0,
49,513244,73,109,3122,100000000,0000,2400,0101,1231,0,
50,513244,89,5391,180,100000000,0000,2400,0101,1231,0,
51,513244,90,5392,5391,100000000,0000,2400,0101,1231,0,
52,513244,91,5394,5392,100000000,0000,2400,0101,1231,0,
53,513244,92,5398,5394,100000000,0000,2400,0101,1231,0,
54,513244,94,186,5450,100000000,0000,2400,0101,1231,0,
55,513244,171,263,1612,100000000,0000,2400,0101,1231,0,
56,513244,194,125,3575,100000000,0000,2400,0101,1231,0,
57,513244,195,3575,263,100000000,0000,2400,0101,1231,0,
58,513244,196,3586,2116,100000000,0000,2400,0101,1231,0,
59,513244,224,312,313,100000000,0000,2400,0101,1231,0,
60,513244,228,276,351,100000000,0000,2400,0101,1231,0,
61,513244,229,352,353,100000000,0000,2400,0101,1231,0,
62,513244,230,353,354,100000000,0000,2400,0101,1231,0,
63,513244,231,354,355,100000000,0000,2400,0101,1231,0,
64,513244,232,408,126,100000000,0000,2400,0101,1231,0,
65,513244,233,7573,325,100000000,0000,2400,0101,1231,0,
66,513244,234,412,7573,100000000,0000,2400,0101,1231,0,
67,513244,235,413,412,100000000,0000,2400,0101,1231,0,
68,513244,253,2327,413,100000000,0000,2400,0101,1231,0,
69,513244,254,355,2327,100000000,0000,2400,0101,1231,0,
70,513244,255,351,352,100000000,0000,2400,0101,1231,0,
71,513244,272,3061,408,100000000,0000,2400,0101,1231,0,
72,513244,273,313,3061,100000000,0000,2400,0101,1231,0,
73,513244,276,3133,327,100000000,0000,2400,0101,1231,0,
74,513244,287,274,3316,100000000,0000,2400,0101,1231,0,
75,513244,288,3316,276,100000000,0000,2400,0101,1231,0,
76,513244,289,280,3322,100000000,0000,2400,0101,1231,0,
77,513244,346,4364,280,100000000,0000,2400,0101,1231,0,
78,513244,347,325,4364,100000000,0000,2400,0101,1231,0,
79,513244,348,4569,3133,100000000,0000,2400,0101,1231,0,
80,513244,349,3322,4569,100000000,0000,2400,0101,1231,0,
81,513244,457,1961,747,100000000,0700,2200,0101,1231,0,
82,513244,487,3165,3164,100000000,0000,2400,0101,1231,0,
83,513244,488,3166,3165,100000000,0000,2400,0101,1231,0,
84,513244,489,3168,3167,100000000,0000,2400,0101,1231,0,
85,513244,490,747,3256,100000000,0700,2200,0101,1231,0,
86,513244,491,3258,746,100000000,0700,2200,0101,1231,0,
87,513244,492,3256,3258,100000000,0700,2200,0101,1231,0,
88,513244,494,3364,3369,100000000,0000,2400,0101,1231,0,
89,513244,495,3369,604,100000000,0000,2400,0101,1231,0,
90,513244,496,741,3412,100000000,0700,2200,0101,1231,0,
91,513244,497,748,3427,100000000,0700,2200,0101,1231,0,
92,513244,533,4387,741,100000000,0700,2200,0101,1231,0,
93,513244,534,742,4388,100000000,0700,2200,0101,1231,0,
94,513244,535,4388,743,100000000,0700,2200,0101,1231,0,
95,513244,536,4389,748,100000000,0700,2200,0101,1231,0,
96,513244,537,4390,4389,100000000,0700,2200,0101,1231,0,
97,513244,538,743,4390,100000000,0700,2200,0101,1231,0,
98,513244,546,3412,4612,100000000,0700,2200,0101,1231,0,
99,513244,547,4612,742,100000000,0700,2200,0101,1231,0,
100,513244,548,4635,1961,100000000,0700,2200,0101,1231,0,
101,513244,549,4636,4635,100000000,0700,2200,0101,1231,0,
102,513244,550,3427,4636,100000000,0700,2200,0101,1231,0,
103,513244,559,3479,5041,100000000,0000,2400,0101,1231,0,
104,513244,560,3370,5077,100000000,0000,2400,0101,1231,0,
105,513244,561,5077,3373,100000000,0000,2400,0101,1231,0,
106,513244,563,3163,5280,100000000,0000,2400,0101,1231,0,
107,513244,564,3514,5298,100000000,0000,2400,0101,1231,0,
108,513244,565,5311,3163,100000000,0000,2400,0101,1231,0,
109,513244,566,3162,5311,100000000,0000,2400,0101,1231,0,
110,513244,567,3368,5314,100000000,0000,2400,0101,1231,0,
111,513244,568,5314,3372,100000000,0000,2400,0101,1231,0,
112,513244,600,6049,3161,100000000,0000,2400,0101,1231,0,
113,513244,601,6057,3162,100000000,0000,2400,0101,1231,0,
114,513244,602,3363,6057,100000000,0000,2400,0101,1231,0,
115,513244,603,3372,6058,100000000,0000,2400,0101,1231,0,
116,513244,637,271,272,100000000,0000,2400,0101,1231,0,
117,513244,642,272,375,100000000,0000,2400,0101,1231,0,
118,513244,643,375,274,100000000,0000,2400,0101,1231,0,
119,513244,735,4666,271,100000000,0000,2400,0101,1231,0,
120,513244,736,4667,4666,100000000,0000,2400,0101,1231,0,
121,513244,737,327,4667,100000000,0000,2400,0101,1231,0,
122,513244,740,3478,5039,100000000,0000,2400,0101,1231,0,
123,513244,745,5374,5369,100000000,0000,2400,0101,1231,0,
124,513244,747,5377,5368,100000000,0000,2400,0101,1231,0,
125,513244,748,5369,5377,100000000,0000,2400,0101,1231,0,
126,513244,754,5368,5383,100000000,0000,2400,0101,1231,0,
127,513244,853,2144,2145,100000000,0000,2400,0101,1231,0,
128,513244,860,106,361,100000000,0000,2400,0101,1231,0,
129,513244,861,300,107,100000000,0000,2400,0101,1231,0,
130,513244,862,3499,106,100000000,0000,2400,0101,1231,0,
131,513244,863,107,3500,100000000,0000,2400,0101,1231,0,
132,513244,870,121,256,100000000,0000,2400,0101,1231,0,
133,513244,874,265,264,100000000,0000,2400,0101,1231,0,
134,513244,875,300,250,100000000,0000,2400,0101,1231,0,
135,513244,876,250,248,100000000,0000,2400,0101,1231,0,
136,513244,877,248,296,100000000,0000,2400,0101,1231,0,
137,513244,878,256,120,100000000,0000,2400,0101,1231,0,
138,513244,884,236,361,100000000,0000,2400,0101,1231,0,
139,513244,900,493,202,100000000,0700,2400,0101,1231,0,
140,513244,906,526,525,100000000,0000,2400,0101,1231,0,
141,513244,922,590,589,100000000,0700,2400,0101,1231,0,
142,513244,954,709,708,100000000,0600,0900,0101,1231,0,
143,513244,954,709,708,100000000,1600,1800,0101,1231,0,
144,513244,955,710,709,100000000,0600,0900,0101,1231,0,
145,513244,955,710,709,100000000,1600,1800,0101,1231,0,
146,513244,1050,708,550,100000000,0600,0900,0101,1231,0,
147,513244,1050,708,550,100000000,1600,1800,0101,1231,0,
148,513244,1051,420,710,100000000,0600,0900,0101,1231,0,
149,513244,1051,420,710,100000000,1600,1800,0101,1231,0,
150,513244,1102,497,590,100000000,0700,2400,0101,1231,0,
151,513244,1103,589,2964,100000000,0700,2400,0101,1231,0,
152,513244,1104,2964,2965,100000000,0700,2400,0101,1231,0,
153,513244,1105,2965,496,100000000,0700,2400,0101,1231,0,
154,513244,1150,435,3522,100000000,0000,2400,0101,1231,0,
155,513244,1151,3522,740,100000000,0000,2400,0101,1231,0,
156,513244,1153,678,3565,100000000,0000,2400,0101,1231,0,
157,513244,1154,3565,679,100000000,0000,2400,0101,1231,0,
158,513244,1155,3597,202,100000000,0700,2400,0101,1231,0,
159,513244,1156,496,3597,100000000,0700,2400,0101,1231,0,
160,513244,1157,1263,3604,100000000,0000,2400,0101,1231,0,
161,513244,1159,3606,1556,100000000,0000,2400,0101,1231,0,
162,513244,1160,3604,3606,100000000,0000,2400,0101,1231,0,
163,513244,1239,103,4359,100000000,0600,2400,0101,1231,0,
164,513244,1240,4374,549,100000000,0000,2400,0101,1231,0,
165,513244,1241,550,4374,100000000,0000,2400,0101,1231,0,
