,meshcode,linkno,kiseino,day,shour,ehour,sdate,edate,cartype,geometry
0,513253,1381,1,100000000,0000,2400,0101,1231,0,
1,513253,1382,1,100000000,0000,2400,0101,1231,0,
2,513253,1468,1,011111000,0730,0830,0101,1231,0,
3,513253,1469,1,011111000,0730,0830,0101,1231,0,
4,513253,1933,1,011111000,0730,0830,0101,1231,0,
5,513253,2003,1,011111000,0730,0830,0101,1231,0,
6,513253,2039,1,011111000,0730,0830,0101,1231,0,
7,513253,2040,1,011111000,0730,0830,0101,1231,0,
8,513253,2190,1,011111000,0730,0830,0101,1231,0,
9,513253,2191,1,011111000,0730,0830,0101,1231,0,
10,513253,2192,1,011111000,0730,0830,0101,1231,0,
11,513253,2802,1,011111000,0730,0830,0101,1231,0,
12,513253,3376,1,100000000,0000,2400,0101,1231,0,
13,513253,3534,1,011111000,0730,0830,0101,1231,0,
14,513253,3575,1,011111100,0700,0900,0101,1231,0,
15,513253,3952,1,011111000,0730,0830,0101,1231,0,
16,513253,4142,1,011111000,0730,0830,0101,1231,0,
17,513253,4274,1,100000000,0700,0900,0101,1231,0,
18,513253,4607,1,011111000,0730,0830,0101,1231,0,
19,513253,4711,1,100000000,0000,2400,0101,1231,0,
20,513253,4844,1,011111000,0730,0830,0101,1231,0,
21,513253,5026,1,011111000,0730,0830,0101,1231,0,
22,513253,5087,1,011111000,0730,0830,0101,1231,0,
23,513253,5093,1,011111100,0730,0900,0101,1231,0,
24,513253,5134,1,011111000,0730,0830,0101,1231,0,
25,513253,5181,1,011111100,0700,0900,0101,1231,0,
26,513253,5184,1,011111100,0700,0900,0101,1231,0,
27,513253,5437,1,011111000,0730,0830,0101,1231,0,
28,513253,5438,1,011111000,0730,0830,0101,1231,0,
29,513253,5439,1,011111000,0730,0830,0101,1231,0,
30,513253,5440,1,011111000,0730,0830,0101,1231,0,
31,513253,5441,1,011111000,0730,0830,0101,1231,0,
32,513253,5442,1,011111000,0730,0830,0101,1231,0,
33,513253,5446,1,011111000,0730,0830,0101,1231,0,
34,513253,6014,1,011111000,0730,0830,0101,1231,0,
35,513253,6397,1,011111000,0730,0830,0101,1231,0,
36,513253,6652,1,011111000,0730,0830,0101,1231,0,
37,513253,6823,1,011111000,0730,0830,0101,1231,0,
38,513253,6887,1,011111100,0730,0830,0101,1231,0,
39,513253,6906,1,011111100,0730,0830,0101,1231,0,
40,513253,7005,1,011111000,0730,0830,0101,1231,0,
41,513253,7062,1,011111000,0730,0830,0101,1231,0,
42,513253,7238,1,011111000,0730,0830,0101,1231,0,
43,513253,8220,1,011111000,0730,0830,0101,1231,0,
44,513253,8222,1,011111000,0730,0830,0101,1231,0,
45,513253,8350,1,011111000,0730,0830,0101,1231,0,
46,513253,8354,1,011111000,0730,0830,0101,1231,0,
47,513253,8639,1,100000000,0700,0900,0101,1231,0,
48,513253,8851,1,011111000,0730,0830,0101,1231,0,
49,513253,9032,1,011111000,0730,0830,0101,1231,0,
50,513253,9033,1,011111000,0730,0830,0101,1231,0,
51,513253,9479,1,011111100,0700,0900,0101,1231,0,
52,513253,9480,1,011111100,0700,0900,0101,1231,0,
53,513253,9508,1,011111100,0700,0900,0101,1231,0,
54,513253,9516,1,011111100,0700,0900,0101,1231,0,
55,513253,9517,1,011111100,0700,0900,0101,1231,0,
56,513253,9633,1,011111000,0700,0830,0101,1231,0,
57,513253,9894,1,011111000,0730,0830,0101,1231,0,
58,513253,9895,1,011111000,0730,0830,0101,1231,0,
59,513253,9976,1,011111000,0730,0830,0101,1231,0,
60,513253,10027,1,011111000,0730,0830,0101,1231,0,
61,513253,10028,1,011111000,0730,0830,0101,1231,0,
62,513253,10058,1,011111000,0730,0830,0101,1231,0,
63,513253,10059,1,011111000,0730,0830,0101,1231,0,
64,513253,10626,1,011111000,0700,0830,0101,1231,0,
65,513253,10630,1,011111000,0700,0830,0101,1231,0,
66,513253,11152,1,011111100,0700,0900,0101,1231,0,
67,513253,11189,1,011111000,0730,0830,0101,1231,0,
68,513253,11194,1,011111000,0730,0830,0101,1231,0,
69,513253,11213,1,011111100,0730,0900,0101,1231,0,
70,513253,11217,1,011111100,0730,0900,0101,1231,0,
71,513253,11563,1,011111100,0700,0900,0101,1231,0,
72,513253,12279,1,011111000,0700,0830,0101,1231,0,
73,513253,12413,1,011111000,0700,0830,0101,1231,0,
74,513253,12429,1,011111000,0700,0830,0101,1231,0,
75,513253,12532,1,011111000,0730,0830,0101,1231,0,
76,513253,12674,1,011111000,0730,0830,0101,1231,0,
77,513253,12892,1,011111000,0730,0830,0101,1231,0,
78,513253,12893,1,011111000,0730,0830,0101,1231,0,
79,513253,13096,1,100000000,0000,2400,0101,1231,0,
