,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
0,513253,82,6431,82,82,6391,
1,513253,91,4000,91,91,4441,
2,513253,91,10012,91,91,3976,
3,513253,91,10012,91,91,4000,
4,513253,95,120,96,95,6112,
5,513253,95,3862,95,96,120,
6,513253,95,6111,95,96,5766,
7,513253,95,8743,96,95,6111,
8,513253,104,4333,4334,104,5044,
9,513253,104,8230,104,4334,5794,
10,513253,122,139,122,4339,2680,
11,513253,122,3977,4340,122,123,
12,513253,122,4338,4339,122,10817,
13,513253,122,10817,122,4340,5036,
14,513253,126,377,126,126,143,
15,513253,126,10028,126,126,125,
16,513253,127,128,127,8247,10578,
17,513253,127,8249,8247,127,8252,
18,513253,129,6472,380,129,4458,
19,513253,129,9818,129,380,632,
20,513253,133,134,133,4409,5131,
21,513253,133,10197,4409,133,8668,
22,513253,216,4375,4352,216,4432,
23,513253,216,7596,216,4352,4373,
24,513253,217,218,217,947,955,
25,513253,217,955,947,217,223,
26,513253,217,2739,947,217,4511,
27,513253,217,4511,217,947,7632,
28,513253,218,2746,218,2748,4681,
29,513253,218,7632,2748,218,953,
30,513253,224,2741,952,224,2750,
31,513253,224,3918,224,952,7603,
32,513253,228,230,229,228,7456,
33,513253,228,958,229,228,7457,
34,513253,228,2758,228,229,230,
35,513253,228,7457,228,229,7476,
36,513253,246,3516,711,246,6875,
37,513253,246,6873,246,711,710,
38,513253,252,6551,252,527,10849,
39,513253,252,9497,527,252,890,
40,513253,261,5180,261,261,10485,
41,513253,261,5180,261,318,2689,
42,513253,320,367,320,320,419,
43,513253,320,5091,320,320,618,
44,513253,388,4802,388,388,389,
45,513253,388,9334,388,388,9392,
46,513253,436,6953,968,436,241,
47,513253,436,6959,436,968,6952,
48,513253,437,6946,437,438,714,
49,513253,437,7210,438,437,7178,
50,513253,647,10153,647,647,10575,
51,513253,647,10573,647,647,7837,
52,513253,677,678,677,677,11045,
53,513253,677,1125,677,677,4414,
54,513253,677,4414,677,677,678,
55,513253,677,11045,677,677,1125,
56,513253,689,1043,689,689,6359,
57,513253,689,8192,689,689,690,
58,513253,769,972,769,3644,7328,
59,513253,769,972,769,3644,4446,
60,513253,769,7329,3644,769,7339,
61,513253,940,945,940,940,7790,
62,513253,940,946,940,940,3935,
63,513253,957,3392,957,2755,7653,
64,513253,957,7654,2755,957,2756,
65,513253,959,7380,960,959,7431,
66,513253,959,7444,959,960,7445,
67,513253,962,2392,3636,962,766,
68,513253,962,3635,962,3636,7347,
69,513253,964,4348,964,965,7193,
70,513253,964,7191,965,964,963,
71,513253,3350,205,3350,3350,5097,
72,513253,3350,5097,3350,3350,5098,
73,513253,3350,5098,3350,3350,6127,
74,513253,3350,6127,3350,3350,205,
75,513253,3351,843,3351,3858,3860,
76,513253,3351,3352,3351,3858,3353,
77,513253,3351,3353,3858,3351,6191,
78,513253,3351,6214,3858,3351,843,
79,513253,3924,943,3924,3924,3927,
80,513253,3924,943,3924,3924,939,
81,513253,3959,3962,3959,3964,8423,
82,513253,3959,7638,3964,3959,3960,
83,513253,4028,8242,4328,4028,5870,
84,513253,4028,8803,4028,4328,9556,
85,513253,4317,4553,4317,4317,9684,
86,513253,4317,4553,4317,4422,3187,
87,513253,4317,5949,4318,4317,4553,
88,513253,4317,5949,4318,4422,3187,
89,513253,4402,1122,4403,4402,8237,
90,513253,4402,4401,4402,4403,1122,
91,513253,4402,4401,4402,4402,8237,
92,513253,4402,4414,4402,4402,8237,
93,513253,4402,4414,4402,4403,4404,
94,513253,4402,4414,4402,4403,10832,
95,513253,4402,8238,4403,4402,4414,
96,513253,4402,8238,4403,4403,4404,
97,513253,4402,8238,4403,4403,1122,
98,513253,4402,8238,4403,4403,10832,
99,513253,4531,4573,4531,4531,4574,
100,513253,4531,4573,4531,4531,4572,
101,513253,4532,4542,4532,4532,9293,
102,513253,4532,4732,4532,4532,4542,
103,513253,4532,4732,4532,4532,3365,
104,513253,4533,4534,4533,4533,4690,
105,513253,4533,4534,4533,4533,4732,
106,513253,4533,4534,4533,4533,4730,
107,513253,4536,4537,4536,10857,3117,
108,513253,4536,10732,10857,4536,4932,
109,513253,4538,9170,4538,11022,3084,
110,513253,4538,10518,11022,4538,4935,
111,513253,4539,4540,4539,10715,3098,
112,513253,4539,11022,10715,4539,3726,
113,513253,4552,331,4552,4552,5335,
114,513253,4552,637,4552,4552,4560,
115,513253,4552,4560,4552,4552,331,
116,513253,4552,5335,4552,4552,637,
117,513253,4557,4556,4557,4557,3177,
118,513253,4557,4556,4557,4557,5073,
119,513253,4557,4556,4557,4557,8872,
120,513253,4567,7824,4567,4567,8223,
121,513253,4567,7833,4567,4567,7824,
122,513253,4567,8222,4567,4567,7833,
123,513253,4567,8222,4567,4567,8223,
124,513253,4567,8223,4567,4567,8222,
125,513253,4569,4566,4569,4569,153,
126,513253,4569,4566,4569,4569,9257,
127,513253,7865,7891,7865,7865,8045,
128,513253,7865,10621,7865,7865,10349,
129,513253,7867,7880,7867,7867,9437,
130,513253,7867,7993,7867,7867,7880,
131,513253,7867,7995,7867,7867,7993,
132,513253,7867,9437,7867,7867,7995,
133,513253,8572,8571,8572,8572,8577,
134,513253,8572,8577,8572,8572,8570,
135,513253,8572,8581,8572,8572,8573,
136,513253,10670,8127,11018,11018,3392,
137,513253,10670,8127,11018,10670,10821,
138,513253,10670,10821,10670,10670,4415,
139,513253,10883,86,10883,10883,10954,
140,513253,10883,86,10883,10883,115,
141,513253,10883,86,10883,10883,11001,
