,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,513253,1,16,192100,,,,,0,0,4-32-24-5-2116012,,"POLYGON ((476887298 123935332, 476889384 123937099, 476889834 123936732, 476887748 123934999, 476887298 123935332))"
1,513253,1,17,192100,,,,,0,0,4-32-24-5-2116017,,"POLYGON ((476864426 124090883, 476864712 124091250, 476866962 124090016, 476866676 124089683, 476864426 124090883))"
2,513253,1,18,192100,,,,,0,0,4-32-24-5-2116022,,"POLYGON ((476684771 124066748, 476685424 124067448, 476685915 124068081, 476686324 124067881, 476685752 124067214, 476685139 124066514, 476684771 124066748))"
3,513253,1,19,192100,,,,,0,0,4-32-24-5-2116027,,"POLYGON ((476658305 124040450, 476659000 124042316, 476659368 124042250, 476658673 124040350, 476658305 124040450))"
4,513253,1,20,192100,,,,,0,0,4-32-24-5-2116032,,"POLYGON ((476707432 124091779, 476709518 124092046, 476709600 124091712, 476707513 124091412, 476707432 124091779))"
5,513253,1,21,192100,,,,,0,0,4-32-24-5-2116037,,"POLYGON ((476750340 124102246, 476752222 124103079, 476752386 124102812, 476750545 124101946, 476750340 124102246))"
6,513253,1,22,192100,,,,,0,0,4-32-24-5-2116042,,"POLYGON ((476778033 124110512, 476775293 124109912, 476775170 124110312, 476777910 124110879, 476778033 124110512))"
7,513253,1,23,192100,,,,,0,0,4-32-24-5-2116047,,"POLYGON ((476799958 124112379, 476799917 124112779, 476802249 124112912, 476802290 124112512, 476799958 124112379))"
8,513253,1,24,192100,,,,,0,0,4-32-24-5-2116052,,"POLYGON ((476830023 124111013, 476830309 124111313, 476832109 124110113, 476831782 124109847, 476830023 124111013))"
9,513253,1,25,192100,,,,,0,0,4-32-24-5-2116057,,"POLYGON ((476893060 124062853, 476894778 124061786, 476894574 124061519, 476892815 124062586, 476893060 124062853))"
10,513253,1,26,192100,,,,,0,0,4-32-24-5-2116062,,"POLYGON ((476910078 124048188, 476910569 124048488, 476911959 124047021, 476911510 124046721, 476910078 124048188))"
11,513253,1,27,192100,,,,,0,0,4-32-24-5-2116067,,"POLYGON ((476917033 124026458, 476917605 124026358, 476916992 124024124, 476916419 124024224, 476917033 124026458))"
12,513253,1,28,192100,,,,,0,0,4-32-24-5-2116072,,"POLYGON ((476908975 123996027, 476909588 123995961, 476909221 123993961, 476908607 123994027, 476908975 123996027))"
13,513253,1,29,192100,,,,,0,0,4-32-24-5-2116077,,"POLYGON ((476893841 123965729, 476895478 123967729, 476895969 123967496, 476894332 123965463, 476893841 123965729))"
14,513253,1,30,142100,,,,,0,0,4-32-24-5-2116082,,"POLYGON ((476912244 124081485, 476911794 124081717, 476913185 124083417, 476913676 124083151, 476912244 124081485))"
15,513253,1,31,142100,,,,,0,0,4-32-24-5-2116087,,"POLYGON ((476884799 124020991, 476885330 124023790, 476885985 124023757, 476885412 124020924, 476884799 124020991))"
16,513253,1,32,142100,,,,,0,0,4-32-24-5-2116092,,"POLYGON ((476841197 123941165, 476842342 123943730, 476842833 123943564, 476841646 123940998, 476841197 123941165))"
17,513253,1,33,142100,,,,,0,0,4-32-24-5-2116097,,"POLYGON ((476895146 124060653, 476894042 124058820, 476893593 124058987, 476894737 124060853, 476895146 124060653))"
18,513253,1,34,142100,,,,,0,0,4-32-24-5-2116102,,"POLYGON ((476863121 123980494, 476865452 123983361, 476865943 123983061, 476863652 123980127, 476863121 123980494))"
19,513253,1,35,142100,,,,,0,0,4-32-24-5-2116107,,"POLYGON ((476981540 124065821, 476982440 124071954, 476982890 124071920, 476981990 124065755, 476981540 124065821))"
20,513253,1,36,142100,,,,,0,0,4-32-24-5-2116112,,"POLYGON ((476928443 124097950, 476931306 124100616, 476931511 124100416, 476928648 124097816, 476928443 124097950))"
21,513253,1,37,142100,,,,,0,0,4-32-24-5-2116117,,"POLYGON ((476968208 123980929, 476969026 123976164, 476968699 123976130, 476967922 123980896, 476968208 123980929))"
22,513253,1,38,192100,,,,,0,0,4-32-24-5-2116122,,"POLYGON ((476639570 123966625, 476640920 123968425, 476641289 123968259, 476640593 123967325, 476639979 123966425, 476639570 123966625))"
23,513253,1,39,192100,,,,,0,0,4-32-24-5-2116127,,"POLYGON ((476650328 123990622, 476650738 123990489, 476649306 123988190, 476648897 123988356, 476650328 123990622))"
24,513253,1,40,142100,,,,,0,0,4-32-24-5-2116132,,"POLYGON ((476977529 124130381, 476981661 124132714, 476981947 124132448, 476977775 124130048, 476977529 124130381))"
