,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,513253,031114,102,102,142,1,4,101,4-33-21-5-2171667,"LINESTRING (476919403 124063820, 476919281 124067286)"
1,513253,032214,103,104,105,1,5,102,4-33-21-5-2171682,"LINESTRING (476916705 124022958, 476916092 124020958)"
2,513253,032214,104,122,123,1,5,103,4-33-21-5-2171705,"LINESTRING (476921204 124037690, 476920795 124036690, 476920427 124035690, 476920100 124034923)"
3,513253,032214,105,130,131,1,5,104,4-33-21-5-2171728,"LINESTRING (476892778 123963430, 476891796 123962230, 476891142 123961464, 476890733 123960930)"
4,513253,032214,106,132,130,1,5,105,4-33-21-5-2171751,"LINESTRING (476893719 123964629, 476892778 123963430)"
5,513253,032214,107,134,133,1,5,106,4-33-21-5-2171774,"LINESTRING (476900018 123972163, 476898791 123970596)"
6,513253,032214,108,107,135,1,5,107,4-33-21-5-2171789,"LINESTRING (476906235 123982095, 476905049 123979528)"
7,513253,032214,109,138,137,1,5,108,4-33-21-5-2171804,"LINESTRING (476911388 124004460, 476910243 123999194)"
8,513253,032214,110,139,122,1,5,109,4-33-21-5-2171819,"LINESTRING (476922268 124040356, 476921204 124037690)"
9,513253,032214,111,3321,144,1,5,110,4-33-21-5-2171851,"LINESTRING (476925744 124049688, 476926235 124051455, 476926522 124052621, 476926767 124053821, 476926972 124055055, 476927053 124055788, 476927053 124056588, 476926808 124057888, 476926563 124058520, 476926440 124058787, 476925990 124059454, 476925581 124059954, 476925131 124060420, 476924722 124060787, 476924149 124061220)"
10,513253,032214,112,4101,132,1,5,111,4-33-21-5-2171930,"LINESTRING (476897114 123968663, 476894823 123966029, 476893719 123964629)"
11,513253,032214,113,4325,4323,1,5,112,4-33-21-5-2171977,"LINESTRING (476904149 123979362, 476904722 123980528, 476905335 123981795)"
12,513253,032214,114,4331,4332,1,5,113,4-33-21-5-2172015,"LINESTRING (476913147 124013159, 476913678 124015025)"
13,513253,032214,115,4333,4334,1,5,114,4-33-21-5-2172030,"LINESTRING (476915437 124020991, 476915969 124023024)"
14,513253,032214,116,4334,4335,1,5,115,4-33-21-5-2172053,"LINESTRING (476915969 124023024, 476916583 124025058)"
15,513253,032414,117,4339,4340,1,5,116,4-33-21-5-2172076,"LINESTRING (476920714 124037890, 476920918 124038357)"
16,513253,032214,118,4338,4339,1,5,117,4-33-21-5-2172091,"LINESTRING (476919773 124035790, 476920714 124037890)"
17,513253,032214,119,4401,4402,1,5,118,4-33-21-5-2172134,"LINESTRING (476920303 124075352, 476921081 124076818)"
18,513253,032214,120,4400,3322,1,5,119,4-33-21-5-2172151,"LINESTRING (476920303 124072686, 476919976 124070553, 476919935 124067753, 476920017 124066653, 476920263 124065919, 476920713 124064954, 476920958 124064454)"
19,513253,032224,121,4422,3187,1,5,120,4-33-21-5-2172168,"LINESTRING (476891961 123940566, 476891060 123944165, 476890365 123946898, 476889547 123952564)"
20,513253,032214,122,1086,4401,1,5,121,4-33-21-5-2172193,"LINESTRING (476919731 124073419, 476920099 124074752, 476920303 124075352)"
21,513253,032214,123,142,1086,1,5,122,4-33-21-5-2172241,"LINESTRING (476919281 124067286, 476919322 124069186, 476919526 124071719, 476919731 124073419)"
22,513253,032214,124,4409,4322,1,5,123,4-33-21-5-2172258,"LINESTRING (476898137 123970996, 476899322 123972463)"
23,513253,032214,125,137,4685,1,5,124,4-33-21-5-2172304,"LINESTRING (476910243 123999194, 476909834 123997061)"
24,513253,032214,126,4335,5028,1,5,125,4-33-21-5-2172327,"LINESTRING (476916583 124025058, 476917442 124027891, 476917646 124028624)"
25,513253,032214,127,123,5029,1,5,126,4-33-21-5-2172357,"LINESTRING (476920100 124034923, 476919404 124032757)"
26,513253,032214,128,4337,5030,1,5,127,4-33-21-5-2172403,"LINESTRING (476918260 124030923, 476918791 124032857)"
27,513253,032214,129,5030,4338,1,5,128,4-33-21-5-2172418,"LINESTRING (476918791 124032857, 476919036 124033790, 476919404 124034823, 476919773 124035790)"
28,513253,032214,130,4340,5036,1,5,129,4-33-21-5-2172464,"LINESTRING (476920918 124038357, 476921777 124040222)"
29,513253,032214,131,5048,4329,1,5,130,4-33-21-5-2172487,"LINESTRING (476909220 123997594, 476909506 123998861, 476909588 123999261)"
30,513253,032214,132,5050,5048,1,5,131,4-33-21-5-2172502,"LINESTRING (476908689 123994627, 476908730 123994894, 476909220 123997594)"
31,513253,032214,133,5113,4327,1,5,132,4-33-21-5-2172547,"LINESTRING (476907135 123986895, 476907503 123988528)"
32,513253,032214,134,5115,5113,1,5,133,4-33-21-5-2172562,"LINESTRING (476906153 123983728, 476906644 123984995, 476906807 123985495, 476907135 123986895)"
33,513253,032214,135,4323,5117,1,5,134,4-33-21-5-2172577,"LINESTRING (476905335 123981795, 476905457 123982128)"
34,513253,032214,136,5117,5115,1,5,135,4-33-21-5-2172592,"LINESTRING (476905457 123982128, 476906153 123983728)"
35,513253,032214,137,106,5119,1,5,136,4-33-21-5-2172607,"LINESTRING (476908239 123988662, 476907707 123986262, 476907544 123985695, 476907298 123984862, 476906889 123983895)"
36,513253,032214,138,5119,107,1,5,137,4-33-21-5-2172630,"LINESTRING (476906889 123983895, 476906644 123983228, 476906235 123982095)"
37,513253,032214,139,5123,134,1,5,138,4-33-21-5-2172653,"LINESTRING (476902308 123975263, 476900018 123972163)"
38,513253,032214,140,135,5123,1,5,139,4-33-21-5-2172668,"LINESTRING (476905049 123979528, 476904395 123978328, 476904108 123977829, 476903127 123976429, 476902308 123975263)"
