,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,513253,082114,1,3,10136,0,0,0,4-33-21-5-2224482,"LINESTRING (476833426 123911667, 476834285 123913533, 476834776 123914600, 476835512 123916033)"
1,513253,081114,997,445,446,0,0,0,4-33-21-5-2194915,"LINESTRING (476643908 123935162, 476644930 123935062)"
2,513253,082114,998,463,464,0,2,0,4-33-21-5-2194937,"LINESTRING (476689803 124032885, 476689925 124033185)"
3,513253,081114,999,296,465,0,0,0,4-33-21-5-2194956,"LINESTRING (476686489 124061614, 476685139 124060814, 476684485 124060281, 476682603 124058349, 476681825 124057415, 476681539 124056915, 476681375 124056382)"
4,513253,081114,1000,466,467,0,0,0,4-33-21-5-2194975,"LINESTRING (476681744 124051549, 476682153 124050616, 476682439 124050216, 476682848 124049750, 476683298 124049450, 476684894 124048716)"
5,513253,081114,1001,468,469,0,0,0,4-33-21-5-2194994,"LINESTRING (476686530 124047816, 476688044 124046250)"
6,513253,081114,1002,469,470,0,0,0,4-33-21-5-2195013,"LINESTRING (476688044 124046250, 476690293 124043984)"
7,513253,081114,1003,470,471,0,0,0,4-33-21-5-2195032,"LINESTRING (476690293 124043984, 476692420 124041784)"
8,513253,081114,1004,472,342,0,0,0,4-33-21-5-2195051,"LINESTRING (476693361 124040751, 476693811 124040317, 476693974 124040251)"
9,513253,082114,1005,562,563,0,0,0,4-33-21-5-2195070,"LINESTRING (476948902 123955331, 476951396 123956031)"
10,513253,081114,1006,588,589,0,0,0,4-33-21-5-2195089,"LINESTRING (476698842 124056215, 476698924 124053150)"
11,513253,081114,1007,590,344,0,0,0,4-33-21-5-2195108,"LINESTRING (476699088 124051350, 476699701 124050050)"
12,513253,081114,1008,594,476,0,0,0,4-33-21-5-2195119,"LINESTRING (476747232 124078548, 476747518 124077814, 476747682 124077214)"
13,513253,081114,1009,732,733,1,0,0,4-33-21-5-2195138,"LINESTRING (476960765 123952632, 476960560 123953932)"
14,513253,081112,1010,740,741,0,0,0,4-33-21-5-2195176,"LINESTRING (476768707 124082381, 476768462 124081415)"
15,513253,081112,1011,742,743,0,0,0,4-33-21-5-2195195,"LINESTRING (476766866 124081348, 476766907 124080149)"
16,513253,081112,1012,744,745,0,0,0,4-33-21-5-2195204,"LINESTRING (476766948 124078882, 476767276 124078815, 476768012 124078182, 476768789 124077682)"
17,513253,081112,1013,755,756,0,0,0,4-33-21-5-2195231,"LINESTRING (476926686 124021225, 476927136 124020992, 476928077 124020359, 476929264 124019525)"
18,513253,081112,1014,757,758,0,0,0,4-33-21-5-2195240,"LINESTRING (476935685 124051088, 476937649 124049756)"
19,513253,081112,1015,669,761,0,0,0,4-33-21-5-2195251,"LINESTRING (476936092 124101116, 476937156 124100383, 476938097 124099983, 476939447 124099283)"
20,513253,081114,1016,770,771,0,0,0,4-33-21-5-2195271,"LINESTRING (476727106 124115144, 476724898 124113044)"
21,513253,081112,1017,237,772,0,0,0,4-33-21-5-2195282,"LINESTRING (476745841 124094580, 476746659 124094513, 476747928 124094380)"
22,513253,081112,1018,773,774,0,0,0,4-33-21-5-2195291,"LINESTRING (476761262 124096180, 476760771 124096813, 476760689 124096947)"
23,513253,081112,1019,306,775,0,0,0,4-33-21-5-2195300,"LINESTRING (476753898 124129043, 476753694 124129409, 476753162 124129509, 476752426 124129409, 476751527 124129476, 476751158 124129543)"
24,513253,081112,1020,608,776,0,0,0,4-33-21-5-2195309,"LINESTRING (476871379 124093115, 476871543 124094382)"
25,513253,081112,1021,778,779,0,0,0,4-33-21-5-2195318,"LINESTRING (476638467 123913497, 476639980 123913564)"
26,513253,081112,1022,782,783,0,0,0,4-33-21-5-2195327,"LINESTRING (476704366 123937329, 476704857 123937696, 476704980 123937763, 476705185 123937796, 476705307 123937763, 476705512 123937696, 476706330 123937329, 476706535 123937263, 476706739 123937296, 476707107 123937429, 476707230 123937563, 476707353 123937896, 476707435 123938263, 476707516 123938463, 476707885 123938896, 476708089 123939063, 476708580 123939329, 476708907 123939429, 476709112 123939496, 476710421 123939463, 476710871 123939529, 476711197 123939496, 476711484 123939429, 476711606 123939329, 476711770 123939196, 476712056 123938796, 476712097 123938696, 476712138 123938529, 476712179 123938029, 476712220 123937896, 476712302 123937663, 476712465 123937496, 476712588 123937363, 476712834 123937229, 476713365 123936963, 476713652 123936896, 476713938 123936829, 476714184 123936829, 476714306 123936863, 476714715 123937063, 476715043 123937696, 476715165 123937896, 476715452 123938063, 476715902 123938363, 476716024 123938463, 476716147 123938563, 476716147 123938796, 476716024 123939096, 476715984 123939363, 476715984 123939496, 476716106 123939629, 476716270 123939729, 476716515 123939763, 476717129 123939763, 476717252 123939829, 476717334 123939929, 476717374 123940029, 476717374 123940196, 476717252 123940363, 476717047 123940629, 476716884 123940896, 476716843 123941063, 476716884 123941196, 476717006 123941329, 476717129 123941363, 476717374 123941429, 476718070 123941429, 476718724 123941496, 476719011 123941563, 476719297 123941663, 476719502 123941763, 476719706 123941929, 476719870 123942163, 476720034 123942563, 476720197 123942796, 476720443 123942963, 476720524 123942996, 476720688 123942996, 476720811 123942996, 476720934 123942963, 476721015 123942896, 476721179 123942763, 476721874 123941629, 476722365 123940963, 476722774 123940463, 476723224 123940063, 476723838 123939329, 476724246 123938496, 476724369 123938297, 476724492 123938197, 476724655 123938064, 476725105 123937830, 476725351 123937630, 476725883 123937130, 476726128 123937030, 476726537 123936997, 476726660 123936997, 476726987 123937130, 476727233 123937264, 476727396 123937397, 476727478 123937497, 476727519 123937630, 476727478 123937797, 476727314 123938130, 476727192 123938264, 476727028 123938364, 476726946 123938430, 476726742 123938529, 476725964 123938729, 476725760 123938829, 476725637 123938963, 476725555 123939063, 476725555 123939296, 476725555 123939363, 476725637 123939496, 476725719 123939563, 476726905 123940229, 476727069 123940296, 476727355 123940263, 476728173 123939996, 476728296 123939996, 476729155 123939996, 476729523 123940063, 476729646 123940096, 476729851 123940229, 476730383 123940663, 476730628 123940829, 476730833 123940863, 476730955 123940863, 476731242 123940796, 476731405 123940663, 476731487 123940496, 476731528 123940263, 476731405 123938764, 476731446 123938464, 476731487 123938364, 476732223 123937230, 476732305 123937030, 476732305 123936730, 476732305 123936464, 476732387 123936297, 476732755 123935997, 476733083 123935864, 476733369 123935897, 476733696 123936097, 476734064 123936364, 476735251 123937597, 476735578 123938064)"
27,513253,081114,1023,784,457,0,0,0,4-33-21-5-2195349,"LINESTRING (476674013 124019319, 476673849 124018287, 476673645 124016654, 476673522 124014854, 476673645 124013820)"
28,513253,081114,1024,739,786,0,0,0,4-33-21-5-2195360,"LINESTRING (476741710 124081781, 476739010 124080548, 476739338 124079214)"
29,513253,081114,1025,787,788,0,0,0,4-33-21-5-2195379,"LINESTRING (476739665 124077981, 476740033 124076948, 476740156 124076748)"
30,513253,081114,1026,789,300,0,0,0,4-33-21-5-2195398,"LINESTRING (476740974 124075681, 476742242 124074749)"
31,513253,081112,1027,302,790,0,0,0,4-33-21-5-2195417,"LINESTRING (476762572 124073815, 476767236 124073949)"
32,513253,081114,1028,742,741,0,0,0,4-33-21-5-2195436,"LINESTRING (476766866 124081348, 476768462 124081415)"
33,513253,081112,1029,791,792,0,0,0,4-33-21-5-2195455,"LINESTRING (476766703 124085148, 476763145 124085048)"
34,513253,081112,1030,740,793,0,0,0,4-33-21-5-2195464,"LINESTRING (476768707 124082381, 476768666 124082714)"
