,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,513253,091112,1479,852,6370,0,0,0,4-33-21-5-2202275,"LINESTRING (476846882 123965428, 476847577 123964863, 476848068 123964429, 476848477 123963629, 476848600 123963429)"
1,513253,091112,1480,6370,6372,0,0,0,4-33-21-5-2202284,"LINESTRING (476848600 123963429, 476848763 123963329, 476850850 123962596)"
2,513253,091112,2591,5129,5127,0,0,0,4-33-21-5-2221094,"LINESTRING (476903249 123967063, 476904068 123968196, 476904681 123969163, 476905008 123969796)"
3,513253,091112,2592,5128,5129,0,0,0,4-33-21-5-2221103,"LINESTRING (476899528 123964797, 476900714 123963897, 476903249 123967063)"
4,513253,091112,3353,3476,3477,0,0,0,4-33-21-5-2236990,"LINESTRING (476964235 124133813, 476964398 124133947, 476964889 124134247)"
5,513253,091112,3354,3477,3478,0,0,0,4-33-21-5-2236999,"LINESTRING (476964889 124134247, 476964808 124134347, 476964767 124134480, 476964767 124134747, 476964808 124135580, 476964767 124135713, 476964685 124135847, 476964398 124136047, 476963621 124136647, 476962476 124137546, 476961617 124138212, 476961289 124138546)"
6,513253,091112,3355,3609,3489,0,0,0,4-33-21-5-2237008,"LINESTRING (476990906 124138847, 476990701 124138713, 476989760 124137880, 476989310 124137513, 476988206 124136847, 476987756 124136580, 476987428 124136447, 476986896 124136247, 476986528 124136147)"
7,513253,091112,3356,3727,3728,0,0,0,4-33-21-5-2237017,"LINESTRING (476921325 124094816, 476921366 124094183, 476921571 124092916)"
8,513253,091112,3357,8775,8781,0,0,0,4-33-21-5-2237061,"LINESTRING (476936542 124090217, 476935438 124090951, 476933924 124091917)"
9,513253,091112,3358,3791,3793,0,0,0,4-33-21-5-2237214,"LINESTRING (476649714 124063947, 476649182 124063647, 476648937 124063348, 476648855 124063181, 476648977 124062914, 476649346 124062581, 476649550 124062214, 476649714 124061748)"
10,513253,091112,3359,764,3966,0,0,0,4-33-21-5-2237223,"LINESTRING (476661741 124036917, 476661537 124036384, 476661046 124035817, 476660677 124035451)"
11,513253,091112,3360,4062,4064,0,0,0,4-33-21-5-2237250,"LINESTRING (476805647 123990725, 476805770 123990559, 476806179 123989659, 476806343 123988725, 476806670 123988225, 476806834 123988025, 476806997 123987859)"
12,513253,091112,3361,4064,4063,0,0,0,4-33-21-5-2237259,"LINESTRING (476806997 123987859, 476808061 123987560, 476808920 123987126, 476809084 123987026, 476809247 123986793, 476809329 123986593, 476809493 123986060, 476809656 123985793, 476810229 123985326, 476810434 123985093, 476810434 123984993)"
13,513253,091112,3362,2974,4158,0,0,0,4-33-21-5-2237277,"LINESTRING (476809045 123945064, 476808758 123944864, 476808227 123944364, 476808390 123944064, 476808431 123943930, 476808677 123942830, 476808758 123942597, 476808922 123942097, 476808881 123942030, 476808308 123941864)"
14,513253,091112,3363,4174,4177,0,0,0,4-33-21-5-2237286,"LINESTRING (476825857 123925966, 476825898 123926366, 476825980 123926766, 476826021 123927132, 476826062 123927366)"
15,513253,091112,3364,4172,4185,0,0,0,4-33-21-5-2237295,"LINESTRING (476832362 123928998, 476831666 123928432, 476831216 123928032)"
16,513253,091112,3365,4558,4269,1,0,0,4-33-21-5-2237349,"LINESTRING (476932538 123975263, 476932375 123974396, 476932211 123973663, 476932170 123973463, 476932088 123973363, 476931720 123972996, 476931597 123972729, 476931352 123971797)"
17,513253,091112,3366,4044,4653,0,0,0,4-33-21-5-2237376,"LINESTRING (476877479 123984727, 476878379 123984327, 476878951 123984027)"
18,513253,091112,3367,4700,4701,0,0,0,4-33-21-5-2237430,"LINESTRING (476978266 124147312, 476977652 124148079)"
19,513253,091112,3368,4701,4668,0,0,0,4-33-21-5-2237439,"LINESTRING (476977652 124148079, 476980434 124149612, 476981046 124148746)"
20,513253,091112,3369,3489,4719,0,0,0,4-33-21-5-2237574,"LINESTRING (476986528 124136147, 476984811 124136013, 476984566 124135980, 476984361 124135913, 476983829 124135613, 476983461 124135347)"
21,513253,091112,3370,4735,4733,0,0,0,4-33-21-5-2237691,"LINESTRING (476978920 124125314, 476978879 124123849)"
22,513253,091112,3371,3475,4739,0,0,0,4-33-21-5-2237718,"LINESTRING (476965871 124131247, 476965298 124132080)"
23,513253,091112,3372,4739,4740,0,0,0,4-33-21-5-2237754,"LINESTRING (476965298 124132080, 476965094 124132480, 476964971 124132713)"
24,513253,091112,3373,4758,4765,0,0,0,4-33-21-5-2238105,"LINESTRING (476965627 124098451, 476965709 124098351, 476966199 124097251, 476966731 124096184)"
25,513253,091112,3374,4774,3755,0,0,0,4-33-21-5-2238204,"LINESTRING (476967877 124086085, 476966731 124084986, 476966159 124084419, 476964482 124082786)"
26,513253,091112,3375,4831,4832,0,0,0,4-33-21-5-2238348,"LINESTRING (476979578 124050889, 476979741 124050489, 476979373 124049790)"
27,513253,091112,3376,4837,4836,0,0,0,4-33-21-5-2238366,"LINESTRING (476973973 124047157, 476975037 124046623, 476975405 124046523, 476975650 124046490, 476975814 124046490)"
28,513253,091112,3377,9080,4842,0,0,0,4-33-21-5-2238420,"LINESTRING (476979128 124037691, 476979128 124038424, 476979087 124039124, 476979128 124040058)"
29,513253,091112,3378,4840,4850,0,0,0,4-33-21-5-2238501,"LINESTRING (476973401 124030624, 476973279 124029459, 476973197 124028659, 476973279 124028425)"
30,513253,091112,3379,4856,4850,0,0,0,4-33-21-5-2238519,"LINESTRING (476973156 124027425, 476973279 124028425)"
31,513253,091112,3380,4858,4857,0,0,0,4-33-21-5-2238528,"LINESTRING (476967388 124025392, 476967551 124025359, 476968124 124024992, 476969351 124024525, 476969556 124024392, 476969597 124024292, 476969392 124023759)"
32,513253,091112,3381,4857,4861,0,0,0,4-33-21-5-2238537,"LINESTRING (476969392 124023759, 476970374 124023492, 476971438 124023325)"
