,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
0,513253,0,90,6068,9463,1,0,476889831,124004793,476889873,124004898,
1,513253,0,92,6143,5093,1,0,476893920,124032957,476893931,124032954,
2,513253,0,114,10779,14197,1,0,476882919,123979828,476882961,123979988,
3,513253,0,128,8248,10327,1,0,476875559,123917967,476875540,123917961,
4,513253,0,131,10304,13526,1,0,476890856,123960630,476890807,123960590,
5,513253,0,132,10594,13888,1,0,476893800,123964497,476893782,123964456,
6,513253,0,134,2218,6811,1,0,476900181,123972096,476900182,123972069,
7,513253,0,139,8764,10708,1,0,476922554,124040189,476922578,124040195,
8,513253,0,150,9080,11177,1,0,476981705,124037524,476981715,124037496,
9,513253,0,155,1848,1102,1,0,476632164,124165569,476632110,124165543,
10,513253,0,155,1848,1102,2,0,476632164,124165569,476631659,124165783,
11,513253,0,166,8657,10495,1,0,476637277,124132706,476637252,124132711,
12,513253,0,168,9348,11630,1,0,476981623,124035491,476981260,124035599,
13,513253,0,169,5216,9152,1,0,476971152,124007727,476971151,124007636,
14,513253,0,183,7300,10030,1,0,476721994,124084113,476721946,124084099,
15,513253,0,187,4452,8816,1,0,476876371,124063653,476876479,124063618,
16,513253,0,188,6265,9568,1,0,476877067,124059386,476877053,124059388,
17,513253,0,192,8200,3088,1,0,476629504,124196399,476630093,124196531,
18,513253,0,200,2723,7282,1,0,476668612,124091945,476668565,124092084,
19,513253,0,201,7439,1556,1,0,476669880,124088611,476670762,124089128,
20,513253,0,202,8815,10711,1,0,476674298,124082912,476674186,124082657,
21,513253,0,211,10548,13997,1,0,476632164,124180668,476632200,124180708,
22,513253,0,232,7374,2841,1,0,476703504,124080913,476703569,124080592,
23,513253,0,235,3559,1232,1,0,476735165,124089213,476735094,124089250,
24,513253,0,237,772,1017,1,0,476746046,124094380,476746500,124094465,
25,513253,0,240,7166,5582,1,0,476769443,124104846,476769438,124104832,
26,513253,0,253,1810,1942,1,0,476835791,124106947,476836079,124107069,
27,513253,0,255,1808,6447,1,0,476842131,124102614,476842055,124102360,
28,513253,0,263,9087,11198,1,1,476980191,124031458,476980344,124031612,
29,513253,0,263,9353,11658,1,0,476979823,124031591,476979854,124031584,
30,513253,0,273,801,6206,1,1,476799549,124103480,476799502,124103428,
31,513253,0,273,6897,9861,1,0,476799917,124103780,476799912,124103647,
32,513253,0,285,286,1681,1,0,476640308,123929996,476640343,123930002,
33,513253,0,292,2707,7273,1,0,476628360,124120074,476628395,124120080,
34,513253,0,294,452,6873,1,0,476599520,124202698,476599525,124202729,
35,513253,0,294,7966,10251,1,0,476599766,124202332,476599850,124202303,
36,513253,0,301,1216,6581,1,0,476745556,124075982,476745547,124075912,
37,513253,0,303,1972,2323,1,0,476762286,124075149,476762267,124075118,
38,513253,0,303,1981,4002,1,0,476762858,124074982,476763181,124074994,
39,513253,0,305,1679,6377,1,0,476758848,124116744,476758829,124116717,
40,513253,0,313,1745,7813,1,0,476841926,124146576,476841736,124146521,
41,513253,0,313,2688,7815,1,0,476842498,124146443,476842458,124146447,
42,513253,0,316,1803,7150,1,0,476862503,124106614,476862419,124106662,
43,513253,0,317,2582,7966,1,0,476865488,124111380,476865487,124111339,
44,513253,0,334,1432,6264,1,0,476851547,123914267,476851521,123914221,
45,513253,0,335,10576,13498,1,0,476634254,123926963,476634248,123926995,
46,513253,0,339,2313,1114,1,0,476607865,124201232,476607970,124201266,
47,513253,0,339,2313,1114,2,0,476607865,124201232,476607794,124200890,
48,513253,0,341,1548,6302,1,0,476608151,124210032,476608155,124210095,
49,513253,0,341,2318,6885,1,0,476607742,124209698,476607699,124209671,
50,513253,0,342,472,1004,1,0,476693934,124040484,476693890,124040526,
51,513253,0,342,1627,6344,1,0,476694097,124040051,476694172,124040009,
52,513253,0,343,1623,2362,1,0,476694629,124041651,476694244,124041686,
53,513253,0,343,1961,8497,1,0,476694752,124041184,476694872,124041209,
54,513253,0,345,590,8417,1,0,476700273,124051450,476700228,124051467,
55,513253,0,349,719,2210,1,0,476764697,124118310,476764726,124118246,
56,513253,0,350,2460,7018,1,0,476768625,124119444,476768616,124119425,
