,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
0,513253,2,1,2,1,2,40,0,3321,
1,513253,2,1,2,2,0,40,3321,10000,
2,513253,3,1,2,1,2,40,0,3054,
3,513253,3,1,2,2,0,40,3054,10000,
4,513253,4,1,2,1,0,40,0,6702,
5,513253,4,1,2,2,2,40,6702,10000,
6,513253,5,1,2,1,0,30,0,8489,
7,513253,5,1,2,2,2,30,8489,10000,
8,513253,6,1,1,1,0,40,0,10000,
9,513253,7,1,2,1,0,40,0,6973,
10,513253,7,1,2,2,2,40,6973,10000,
11,513253,8,1,1,1,0,40,0,10000,
12,513253,9,1,2,1,0,40,0,2968,
13,513253,9,1,2,2,2,40,2968,10000,
14,513253,10,1,2,1,2,40,0,3650,
15,513253,10,1,2,2,0,40,3650,10000,
16,513253,11,1,2,1,0,40,0,5837,
17,513253,11,1,2,2,2,40,5837,10000,
18,513253,12,1,2,1,2,40,0,2031,
19,513253,12,1,2,2,0,40,2031,10000,
20,513253,13,1,1,1,0,40,0,10000,
21,513253,14,1,1,1,0,40,0,10000,
22,513253,15,1,1,1,0,40,0,10000,
23,513253,16,1,1,1,0,40,0,10000,
24,513253,17,1,2,1,0,40,0,2544,
25,513253,17,1,2,2,2,40,2544,10000,
26,513253,18,1,1,1,2,40,0,10000,
27,513253,19,1,1,1,2,100,0,10000,
28,513253,20,1,1,1,2,100,0,10000,
29,513253,21,1,1,1,0,60,0,10000,
30,513253,22,1,2,1,2,60,0,959,
31,513253,22,1,2,2,0,60,959,10000,
32,513253,23,1,1,1,0,60,0,10000,
33,513253,24,1,2,1,0,60,0,8568,
34,513253,24,1,2,2,2,60,8568,10000,
35,513253,25,1,1,1,2,80,0,10000,
36,513253,26,1,1,1,2,80,0,10000,
37,513253,27,1,1,1,2,30,0,10000,
38,513253,28,1,1,1,0,80,0,10000,
39,513253,29,1,1,1,0,80,0,10000,
40,513253,30,1,2,1,2,30,0,2937,
41,513253,30,1,2,2,0,30,2937,10000,
42,513253,31,1,1,1,0,100,0,10000,
43,513253,32,1,1,1,0,100,0,10000,
44,513253,33,1,1,1,0,100,0,10000,
45,513253,34,1,1,1,0,100,0,10000,
46,513253,35,1,1,1,0,100,0,10000,
47,513253,36,1,1,1,0,100,0,10000,
48,513253,37,1,1,1,0,100,0,10000,
49,513253,38,1,1,1,0,100,0,10000,
50,513253,39,1,1,1,0,100,0,10000,
51,513253,40,1,1,1,0,100,0,10000,
52,513253,41,1,1,1,2,100,0,10000,
53,513253,42,1,1,1,2,100,0,10000,
54,513253,43,1,1,1,2,100,0,10000,
55,513253,44,1,1,1,2,100,0,10000,
56,513253,45,1,1,1,2,100,0,10000,
57,513253,46,1,1,1,2,100,0,10000,
58,513253,47,1,1,1,2,100,0,10000,
59,513253,48,1,1,1,2,100,0,10000,
60,513253,49,1,1,1,2,100,0,10000,
61,513253,50,1,1,1,2,100,0,10000,
62,513253,51,1,1,1,0,100,0,10000,
63,513253,52,1,1,1,0,100,0,10000,
64,513253,53,1,1,1,0,100,0,10000,
65,513253,54,1,1,1,0,100,0,10000,
66,513253,55,1,1,1,0,100,0,10000,
67,513253,56,1,1,1,0,100,0,10000,
68,513253,57,1,1,1,0,100,0,10000,
69,513253,58,1,1,1,0,100,0,10000,
70,513253,59,1,1,1,0,100,0,10000,
71,513253,60,1,1,1,0,80,0,10000,
72,513253,61,1,1,1,0,80,0,10000,
73,513253,62,1,1,1,0,80,0,10000,
74,513253,63,1,1,1,0,80,0,10000,
75,513253,64,1,1,1,0,80,0,10000,
76,513253,65,1,1,1,0,80,0,10000,
77,513253,66,1,1,1,0,80,0,10000,
78,513253,67,1,1,1,0,80,0,10000,
79,513253,68,1,1,1,0,80,0,10000,
80,513253,69,1,1,1,0,80,0,10000,
81,513253,70,1,1,1,0,80,0,10000,
82,513253,71,1,1,1,0,80,0,10000,
83,513253,72,1,1,1,0,80,0,10000,
84,513253,73,1,1,1,0,80,0,10000,
85,513253,74,1,1,1,0,80,0,10000,
86,513253,75,1,1,1,0,80,0,10000,
87,513253,76,1,1,1,0,80,0,10000,
88,513253,77,1,1,1,0,80,0,10000,
