,meshcode,tnodeno,inlinkno,signcnt,signno,signaltype,signalx,signaly,slinetype,slinex,sliney,geometry
0,513253,27,687,1,1,3,476837521,123911405,0,476837844,123911935,
1,513253,30,185,2,1,3,476847475,123911094,0,476848126,123911773,
2,513253,30,185,2,2,3,476847035,123911241,0,476848126,123911773,
3,513253,35,7254,1,1,3,476847683,123911094,0,476846956,123911857,
4,513253,42,9666,1,1,3,476837698,123911470,0,476837270,123911814,
5,513253,79,167,2,1,3,476850142,123914667,0,476850891,123915498,
6,513253,79,167,2,2,3,476849847,123914989,0,476850891,123915498,
7,513253,79,1697,1,1,3,476849841,123915240,0,476850811,123914786,
8,513253,79,8672,1,1,3,476850900,123914970,0,476849727,123915524,
9,513253,79,12832,2,1,3,476850281,123915581,0,476849624,123914833,
10,513253,79,12832,2,2,3,476850142,123914667,0,476849624,123914833,
11,513253,81,236,2,1,3,476864077,123951105,0,476865030,123952048,
12,513253,81,236,2,2,3,476864604,123952092,0,476865030,123952048,
13,513253,81,240,2,1,3,476864604,123952092,0,476863744,123951293,
14,513253,81,240,2,2,3,476864077,123951105,0,476863744,123951293,
15,513253,81,2742,1,1,3,476864602,123951459,0,476864091,123952083,
16,513253,81,8593,1,1,3,476864123,123952007,0,476864731,123951382,
17,513253,82,238,2,1,3,476867952,123955295,0,476867495,123955396,
18,513253,82,238,2,2,3,476868362,123956150,0,476867495,123955396,
19,513253,82,6266,1,1,3,476867761,123956344,0,476868412,123955283,
20,513253,82,12436,2,1,3,476868358,123956149,0,476868718,123956039,
21,513253,82,12436,2,2,3,476867948,123955294,0,476868718,123956039,
22,513253,83,234,2,1,3,476873608,123962746,0,476874100,123962929,
23,513253,83,234,2,2,3,476873342,123961696,0,476874100,123962929,
24,513253,83,12432,2,1,3,476873338,123961686,0,476873201,123962257,
25,513253,83,12432,2,2,3,476873608,123962746,0,476873201,123962257,
26,513253,84,209,2,1,3,476875458,123966499,0,476875046,123965722,
27,513253,84,209,2,2,3,476875564,123965822,0,476875046,123965722,
28,513253,84,12865,2,1,3,476875564,123965822,0,476875934,123966470,
29,513253,84,12865,2,2,3,476875461,123966509,0,476875934,123966470,
30,513253,84,12866,1,1,3,476875660,123965879,0,476874744,123966708,
31,513253,85,208,2,1,3,476877741,123970013,0,476878085,123970604,
32,513253,85,208,2,2,3,476877759,123970735,0,476878085,123970604,
33,513253,85,9438,1,1,3,476877299,123970092,0,476878286,123970013,
34,513253,85,11270,2,1,3,476877759,123970735,0,476877301,123970074,
