,meshcode,linkno,kiseino,day,shour,ehour,sdate,edate,cartype,geometry
0,533936,1606,1,100000000,0000,2400,0101,1231,0,
1,533936,1859,1,011111000,0730,0830,0101,1231,0,
2,533936,1860,1,011111000,0730,0830,0101,1231,0,
3,533936,1861,1,011111000,0730,0830,0101,1231,0,
4,533936,1862,1,011111000,0730,0830,0101,1231,0,
5,533936,1863,1,011111000,0730,0830,0101,1231,0,
6,533936,1904,1,100000000,0000,2400,0101,1231,0,
7,533936,2024,1,100000000,0000,2400,0101,1231,0,
8,533936,2025,1,100000000,0000,2400,0101,1231,0,
9,533936,2026,1,100000000,0000,2400,0101,1231,0,
10,533936,2027,1,100000000,0000,2400,0101,1231,0,
11,533936,2028,1,100000000,0000,2400,0101,1231,0,
12,533936,2052,1,100000000,0000,2400,0101,1231,0,
13,533936,2053,1,100000000,0000,2400,0101,1231,0,
14,533936,2296,1,011111000,0730,0830,0101,1231,0,
15,533936,2298,1,011111000,0730,0830,0101,1231,0,
16,533936,2311,1,100000000,0700,0900,0101,1231,0,
17,533936,2311,2,100000000,1700,1900,0101,1231,0,
18,533936,2321,1,011111100,1200,1300,0101,1231,0,
19,533936,2343,1,011111000,0730,1000,0101,1231,0,
20,533936,2386,1,100000000,1500,1900,0101,1231,0,
21,533936,2386,2,000000011,1200,1900,0101,1231,0,
22,533936,2411,1,100000000,1300,2400,0101,1231,0,
23,533936,2411,2,100000000,0000,0100,0101,1231,0,
24,533936,2411,3,000000011,1200,2100,0101,1231,0,
25,533936,2413,1,001111110,0000,0100,0101,1231,0,
26,533936,2413,2,100000000,1200,1300,0101,1231,0,
27,533936,2413,3,011111100,2200,2400,0101,1231,0,
28,533936,2479,1,011111100,1200,1300,0101,1231,0,
29,533936,2480,1,011111100,1200,1300,0101,1231,0,
30,533936,2481,1,011111100,1200,1300,0101,1231,0,
31,533936,2482,1,011111100,1200,1300,0101,1231,0,
32,533936,2483,1,011111100,1200,1300,0101,1231,0,
33,533936,2499,1,100000000,0000,2400,0101,1231,0,
34,533936,2675,1,011111000,0800,0900,0101,1231,0,
35,533936,2675,2,000000011,1000,1800,0101,1231,0,
36,533936,2818,1,000000011,0900,1800,0101,1231,0,
37,533936,2819,1,000000011,0900,1800,0101,1231,0,
38,533936,2820,1,000000011,0900,1800,0101,1231,0,
39,533936,2821,1,000000011,0900,1800,0101,1231,0,
40,533936,2822,1,000000011,0900,1800,0101,1231,0,
41,533936,2867,1,100000000,1300,2400,0101,1231,0,
42,533936,2867,2,100000000,0000,0100,0101,1231,0,
43,533936,2867,3,000000011,1200,2100,0101,1231,0,
44,533936,2868,1,011111100,2200,2400,0101,1231,0,
45,533936,2868,2,001111110,0000,0100,0101,1231,0,
46,533936,2869,1,011111100,2200,2400,0101,1231,0,
47,533936,2869,2,001111110,0000,0100,0101,1231,0,
48,533936,3069,1,100000000,1500,1900,0101,1231,0,
49,533936,3069,2,000000011,1200,1900,0101,1231,0,
50,533936,3070,1,100000000,1500,1900,0101,1231,0,
51,533936,3070,2,000000011,1200,1900,0101,1231,0,
52,533936,3071,1,100000000,1500,1900,0101,1231,0,
53,533936,3071,2,000000011,1200,1900,0101,1231,0,
54,533936,3072,1,100000000,1500,1900,0101,1231,0,
55,533936,3072,2,000000011,1200,1900,0101,1231,0,
56,533936,3073,1,100000000,1500,1900,0101,1231,0,
57,533936,3073,2,000000011,1200,1900,0101,1231,0,
58,533936,3074,1,100000000,1500,1900,0101,1231,0,
59,533936,3074,2,000000011,1200,1900,0101,1231,0,
60,533936,3075,1,100000000,1500,1900,0101,1231,0,
61,533936,3075,2,000000011,1200,1900,0101,1231,0,
62,533936,3076,1,100000000,1500,1900,0101,1231,0,
63,533936,3076,2,000000011,1200,1900,0101,1231,0,
64,533936,3077,1,100000000,1500,1900,0101,1231,0,
65,533936,3077,2,000000011,1200,1900,0101,1231,0,
66,533936,3110,1,011111000,0800,0900,0101,1231,0,
67,533936,3115,1,100000000,1500,1900,0101,1231,0,
68,533936,3115,2,000000011,1200,1900,0101,1231,0,
69,533936,3116,1,100000000,1500,1900,0101,1231,0,
70,533936,3116,2,000000011,1200,1900,0101,1231,0,
71,533936,3117,1,100000000,1500,1900,0101,1231,0,
72,533936,3117,2,000000011,1200,1900,0101,1231,0,
73,533936,3118,1,100000000,1500,1900,0101,1231,0,
74,533936,3118,2,000000011,1200,1900,0101,1231,0,
75,533936,3119,1,100000000,1500,1900,0101,1231,0,
76,533936,3119,2,000000011,1200,1900,0101,1231,0,
77,533936,3120,1,100000000,1500,1900,0101,1231,0,
78,533936,3120,2,000000011,1200,1900,0101,1231,0,
79,533936,3309,1,000000011,0900,1200,0101,1231,0,
80,533936,3310,1,000000011,0900,1200,0101,1231,0,
81,533936,3311,1,000000011,0900,1200,0101,1231,0,
82,533936,3312,1,000000011,0900,1200,0101,1231,0,
83,533936,3313,1,000000011,0900,1200,0101,1231,0,
84,533936,3314,1,000000011,0900,1200,0101,1231,0,
85,533936,3392,1,011111000,0730,0830,0101,1231,0,
86,533936,3393,1,011111000,0730,0830,0101,1231,0,
87,533936,3394,1,011111100,0730,0830,0101,1231,0,
88,533936,3432,1,100000000,0700,0900,0101,1231,0,
89,533936,3432,2,100000000,1700,1900,0101,1231,0,
90,533936,3433,1,100000000,0700,0900,0101,1231,0,
91,533936,3433,2,100000000,1700,1900,0101,1231,0,
92,533936,3512,1,000000011,0900,1700,0101,1231,0,
93,533936,3583,1,000000011,0900,1200,0101,1231,0,
94,533936,3609,1,011111000,0700,0900,0101,1231,0,
95,533936,3671,1,100000000,0000,2400,0101,1231,0,
96,533936,4091,1,000000011,0900,1800,0101,1231,0,
97,533936,4239,1,000000011,0900,1700,0101,1231,0,
98,533936,4256,1,100000000,0900,1700,0101,1231,0,
99,533936,4298,1,100000000,1300,1900,0101,1231,0,
100,533936,4317,1,011111000,0730,0900,0101,1231,0,
101,533936,4335,1,011111100,0730,0900,0101,1231,0,
102,533936,4335,2,011111100,1700,1800,0101,1231,0,
103,533936,4336,1,000000011,0900,1800,0101,1231,0,
104,533936,4399,1,100000000,1600,2400,0101,1231,0,
105,533936,4399,2,100000000,0000,0700,0101,1231,0,
106,533936,4428,1,001111110,0000,0100,0101,1231,0,
107,533936,4428,2,011111100,2200,2400,0101,1231,0,
108,533936,4429,1,001111110,0000,0100,0101,1231,0,
109,533936,4429,2,011111100,2200,2400,0101,1231,0,
110,533936,4430,1,001111110,0000,0100,0101,1231,0,
111,533936,4430,2,011111100,2200,2400,0101,1231,0,
112,533936,4477,1,011111100,0800,0900,0101,1231,0,
113,533936,4477,2,000000011,0900,1800,0101,1231,0,
114,533936,4479,1,000000011,0900,1800,0101,1231,0,
115,533936,4479,2,011111000,0730,0830,0101,1231,0,
116,533936,4480,1,000000011,0900,1800,0101,1231,0,
117,533936,4481,1,011111100,0730,0830,0101,1231,0,
118,533936,4533,1,100000000,1600,2400,0101,1231,0,
119,533936,4533,2,100000000,0000,0700,0101,1231,0,
120,533936,4537,1,000000011,0900,1800,0101,1231,0,
121,533936,4538,1,000000011,0900,1800,0101,1231,0,
122,533936,4539,1,100000000,0800,1800,0101,1231,0,
123,533936,4556,1,011111100,1500,2000,0101,1231,0,
124,533936,4556,2,000000011,0900,2000,0101,1231,0,
125,533936,4600,1,000000011,0900,1800,0101,1231,0,
126,533936,4619,1,000000011,0900,1700,0101,1231,0,
127,533936,4701,1,011111100,2200,2400,0101,1231,0,
128,533936,4701,2,001111110,0000,0100,0101,1231,0,
129,533936,4702,1,011111000,0730,0830,0101,1231,0,
130,533936,4702,2,000000011,0900,1800,0101,1231,0,
131,533936,4710,1,011111100,2200,2400,0101,1231,0,
132,533936,4710,2,001111110,0000,0100,0101,1231,0,
133,533936,4726,1,000000011,0900,1800,0101,1231,0,
134,533936,4727,1,011111100,0800,0900,0101,1231,0,
135,533936,4727,2,000000011,0900,1800,0101,1231,0,
136,533936,4748,1,100000000,0000,2400,0101,1231,0,
137,533936,4765,1,100000000,0000,2400,0101,1231,0,
138,533936,4766,1,100000000,0000,2400,0101,1231,0,
139,533936,4767,1,100000000,0000,2400,0101,1231,0,
140,533936,4768,1,100000000,0000,2400,0101,1231,0,
141,533936,4774,1,100000000,0000,2400,0101,1231,0,
142,533936,4775,1,100000000,0000,2400,0101,1231,0,
143,533936,4847,1,000000011,0900,1700,0101,1231,0,
144,533936,4850,1,011111000,0730,0830,0101,1231,0,
145,533936,4860,1,011111000,0800,0900,0101,1231,0,
146,533936,4872,1,000000011,1300,1700,0101,1231,0,
147,533936,4879,1,011111000,0730,0900,0101,1231,0,
148,533936,4889,1,011111000,0730,0900,0101,1231,0,
149,533936,4906,1,011111000,0730,0830,0101,1231,0,
150,533936,4973,1,011111100,1200,1300,0101,1231,0,
151,533936,5012,1,100000000,1200,1300,0101,1231,0,
152,533936,5013,1,011111100,1100,1400,0101,1231,0,
153,533936,5015,1,000000011,1000,1700,0101,1231,0,
154,533936,5017,1,000000011,1000,1700,0101,1231,0,
155,533936,5043,1,000000011,0900,1700,0101,1231,0,
156,533936,5065,1,011111000,0730,0830,0101,1231,0,
157,533936,5066,1,011111000,0730,0830,0101,1231,0,
158,533936,5067,1,011111000,0730,0830,0101,1231,0,
159,533936,5068,1,011111000,0730,0830,0101,1231,0,
160,533936,5071,1,011111000,0730,0830,0101,1231,0,
161,533936,5081,1,000000011,0900,1800,0101,1231,0,
162,533936,5090,1,011111100,0730,0900,0101,1231,0,
163,533936,5090,2,011111100,1700,1800,0101,1231,0,
164,533936,5091,1,011111100,0730,0900,0101,1231,0,
165,533936,5091,2,011111100,1700,1800,0101,1231,0,
166,533936,5093,1,000000011,0900,1800,0101,1231,0,
