,meshcode,nodeno,symcode,realx,realy,geometry
0,533936,110,719999,503193131,128257443,
1,533936,110,710438,503197507,128255811,
2,533936,110,710500,503199839,128257043,
3,533936,111,719999,503371925,128328740,
4,533936,111,710531,503371066,128325407,
5,533936,113,719999,503194030,128257943,
6,533936,113,710438,503197507,128255811,
7,533936,113,710500,503199839,128257043,
8,533936,114,719999,503175624,128246212,
9,533936,115,719999,503288888,128308474,
10,533936,116,719999,503325089,128320573,
11,533936,116,712231,503324925,128321539,
12,533936,116,712231,503325907,128321739,
13,533936,117,719999,503132708,128394626,
14,533936,118,719999,503133731,128396193,
15,533936,119,719999,503137902,128400460,
16,533936,119,711400,503135899,128400026,
17,533936,120,719999,503110826,128336832,
18,533936,120,711400,503110457,128338432,
19,533936,120,710421,503107798,128336399,
20,533936,121,719999,503111480,128336632,
21,533936,121,711400,503110457,128338466,
22,533936,121,710421,503107798,128336399,
23,533936,122,719999,503118066,128333799,
24,533936,122,710220,503119047,128332633,
25,533936,123,719999,503126656,128331067,
26,533936,124,719999,503140439,128403459,
27,533936,125,719999,503143916,128406759,
28,533936,127,719999,503519923,128313980,
29,533936,129,719999,503326276,128318074,
30,533936,129,712231,503324925,128321539,
31,533936,129,712231,503325907,128321739,
32,533936,130,719999,503325662,128317907,
33,533936,130,712231,503324925,128321539,
34,533936,130,712231,503325907,128321739,
35,533936,131,719999,503291136,128391531,
36,533936,132,719999,503292936,128382699,
37,533936,132,710116,503292445,128381132,
38,533936,132,710421,503294409,128384432,
39,533936,133,719999,503102928,128405058,
40,533936,138,719999,503171036,128402660,
41,533936,138,711720,503169278,128402326,
42,533936,140,719999,503174268,128399861,
43,533936,140,711400,503175904,128399094,
44,533936,140,710438,503174186,128397994,
45,533936,141,710428,503187153,128411526,
46,533936,143,719999,503181549,128392662,
47,533936,145,719999,503185681,128388728,
48,533936,146,719999,503283487,128411528,
49,533936,146,711202,503282382,128411062,
50,533936,148,719999,503300830,128409929,
51,533936,148,710428,503300053,128410796,
52,533936,149,719999,503309993,128409596,
53,533936,149,710428,503308479,128410463,
54,533936,151,719999,503358874,128411264,
55,533936,151,710438,503358383,128410197,
56,533936,151,710201,503360224,128410330,
57,533936,154,719999,503219307,128361932,
58,533936,155,719999,503263771,128353401,
59,533936,155,712210,503263321,128353368,
60,533936,155,710428,503264016,128352401,
61,533936,156,710421,503273670,128359268,
62,533936,156,719999,503272361,128359701,
63,533936,159,719999,503267166,128356201,
64,533936,159,710531,503269334,128356501,
65,533936,159,710428,503270111,128357101,
66,533936,159,710321,503270274,128357301,
67,533936,159,710400,503266962,128354734,
68,533936,162,719999,503287864,128370067,
69,533936,162,710116,503291218,128371167,
70,533936,164,719999,503366893,128367635,
71,533936,164,712000,503364521,128364435,
72,533936,164,710116,503365502,128366569,
73,533936,165,719999,503366811,128368502,
74,533936,165,710116,503365502,128366535,
75,533936,166,719999,503108372,128314434,
76,533936,168,719999,503093687,128310502,
77,533936,168,712231,503093400,128310634,
78,533936,168,712231,503093605,128310335,
79,533936,168,710531,503093687,128311234,
80,533936,168,710116,503091192,128312501,
81,533936,170,719999,503092297,128308102,
82,533936,171,719999,503287702,128317039,
83,533936,171,710438,503286679,128317673,
84,533936,173,719999,503530682,128324345,
85,533936,173,711720,503532359,128323279,
86,533936,173,710428,503532972,128323912,
87,533936,174,719999,503090374,128301802,
88,533936,174,710438,503089556,128303002,
89,533936,174,710500,503089597,128303202,
90,533936,176,719999,503290400,128410363,
91,533936,176,710116,503289540,128409229,
92,533936,176,710438,503290113,128411363,
93,533936,176,710428,503290809,128409629,
94,533936,176,710110,503291381,128411496,
95,533936,177,719999,503298539,128391365,
96,533936,178,719999,503214970,128358932,
97,533936,179,719999,503210798,128363132,
98,533936,179,712231,503211247,128362666,
99,533936,179,711708,503208221,128362866,
100,533936,179,712231,503210553,128362199,
101,533936,181,719999,503199630,128373930,
102,533936,181,711417,503201880,128373497,
103,533936,181,711400,503199058,128371697,
104,533936,183,719999,503203189,128370431,
105,533936,183,710438,503202903,128369265,
106,533936,184,719999,503097570,128381994,
107,533936,184,712231,503097448,128381527,
108,533936,184,712231,503097652,128382361,
109,533936,184,712231,503098061,128381861,
110,533936,185,719999,503095935,128375461,
111,533936,185,712231,503096794,128375327,
112,533936,185,712231,503096057,128375794,
113,533936,186,719999,503167519,128405660,
114,533936,186,712101,503166700,128404293,
115,533936,187,719999,503166210,128406760,
116,533936,187,710438,503166619,128407960,
117,533936,188,719999,503517711,128407635,
118,533936,188,710208,503516689,128408868,
119,533936,188,710104,503512230,128407434,
120,533936,188,710438,503519715,128410268,
121,533936,191,719999,503484537,128386070,
122,533936,191,711708,503487196,128386470,
123,533936,194,719999,503495011,128352107,
124,533936,194,711503,503492638,128350241,
125,533936,195,719999,503494970,128351774,
126,533936,195,711503,503492597,128350241,
127,533936,200,719999,503340304,128392832,
