,meshcode,recordid,areano,nextflg,elcode,objectid,elcnt,dspflg,geometry
0,533936,1,15,0,22F300,4-32-11-8-6642475,25,ÿßÿ,
1,533936,1,16,0,22F300,4-32-11-8-6642480,32,÷ÿÿ,
2,533936,1,33,0,21F300,4-32-17-8-6400589,7,ø,
3,533936,1,34,0,216120,4-32-17-8-6400769,152,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,
4,533936,1,40,0,21A200,4-32-17-8-6642696,32,ßÿÿ,
5,533936,1,41,0,21A200,4-32-17-8-6642701,59,ÿþÿÿÿÿÿÀ,
6,533936,1,45,0,216120,4-32-17-8-6642776,85,ÿÿÿÿÿÿÿÿÿý°,
7,533936,1,76,0,21F300,4-32-17-8-6643226,65,ÿÿÿÿÿÿÿÿ,
8,533936,1,82,0,216120,4-32-17-8-6643256,124,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿà,
9,533936,1,91,0,182100,4-32-24-5-9292392,4,à,
10,533936,1,125,0,212040,4-56-17-498-15001343,19,ÿÿÀ,
11,533936,1,134,0,212040,4-56-17-529-129109261,13,ÿð,
12,533936,1,166,0,212040,4-56-17-529-129109520,11,ÿÀ,
13,533936,1,167,0,212040,4-56-17-529-129109527,10,ÿ,
14,533936,1,174,0,212040,4-56-17-529-129109590,33,ÿÿÿÿ,
15,533936,1,182,0,212040,4-56-17-529-129109646,40,ÿÿÿÿþ,
16,533936,1,184,0,212040,4-56-17-529-129109660,5,ð,
17,533936,1,187,0,212040,4-56-17-529-129109940,11,ÿÀ,
18,533936,1,191,0,218142,4-56-17-607-30130248,6,ø,
19,533936,1,208,0,212040,7-56-17-197-6450170,8,þ,
20,533936,2,3,0,438000,4-32-26-8-6641700,33,ïþÿÿ,
21,533936,2,4,0,438000,4-32-26-8-6641704,85,ÿ¿ÿ÷ßÿÿÿßÿø,
22,533936,2,8,0,44B000,4-32-26-8-6641740,68,ÿÿïÿÿÿÿüð,
23,533936,2,9,0,425000,4-32-26-8-6641744,57,ûßÿ÷ÿÿ,
24,533936,2,14,0,44B000,4-32-26-8-6641800,79,ÿÿþÿÿÿÿÿÿÞ,
25,533936,2,15,0,44B000,4-32-26-8-6641804,74,ÿÿüÿÿÿþÿÿÀ,
26,533936,2,16,0,44B000,4-32-26-8-6641808,37,ÿõÿïø,
27,533936,2,17,0,44B000,4-32-26-8-6641812,156,ÿÿÿþÿÿÿÿÿÿÿïÿÿÿÿÿÿûð,
28,533936,2,18,0,44B000,4-32-26-8-6641816,220,ÿÿÿûÿÿßÿÿÿÿÿ÷ÿÿÿÿÿÿÿÿÿ÷ÿ÷ÿÿð,
29,533936,2,19,0,44B000,4-32-26-8-6641820,26,ïÿþÀ,
30,533936,2,20,0,44B000,4-32-26-8-6641824,161,ÿÿÿÿ÷ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ·,
31,533936,2,21,0,44B000,4-32-26-8-6641828,40,ÿwÿÿß,
32,533936,2,22,0,44B000,4-32-26-8-6641832,187,þÿÿ÷ÿïÿÿÿÿÿÿÿÿÿÿÿÿÿþÿÿà,
