,meshcode,tnodeno,snodeno,enodeno,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,533936,78,5769,66,2,0000000001100000,2,0000000001100000,
1,533936,78,5769,767,2,0000000001100000,1,0000000000010000,
2,533936,79,84,90,2,0000000001100000,2,0000000001100000,
3,533936,79,84,5165,2,0000000001100000,2,0000000000011000,
4,533936,80,91,5790,2,0000000011000000,3,0000000011100000,
5,533936,80,5181,5790,2,0000000000110000,3,0000000011100000,
6,533936,81,3631,5189,1,0000000000010000,2,0000000001100000,
7,533936,81,3772,5189,2,0000000001100000,2,0000000001100000,
8,533936,82,4766,4592,1,0000000000010000,1,0000000000100000,
9,533936,82,5189,4592,1,0000000000100000,1,0000000000100000,
10,533936,83,5789,5203,3,0000000001110000,2,0000000000011000,
11,533936,83,5789,5317,3,0000000001110000,2,0000000001100000,
12,533936,84,3790,79,2,0000000001100000,2,0000000001100000,
13,533936,84,3791,79,1,0000000000010000,2,0000000001100000,
14,533936,85,5898,86,2,0000000001100000,2,0000000001100000,
15,533936,85,5898,788,2,0000000001100000,1,0000000010000000,
16,533936,86,85,5771,2,0000000001100000,2,0000000001100000,
17,533936,86,3778,5771,1,0000000010000000,2,0000000001100000,
18,533936,87,4504,5788,1,0000000000010000,3,0000000001110000,
19,533936,87,5324,5788,2,0000000001100000,3,0000000001110000,
20,533936,88,5788,5173,3,0000000011100000,2,0000000001100000,
21,533936,88,5788,5770,3,0000000011100000,1,0000000010000000,
22,533936,89,3637,322,2,0000000001100000,2,0000000000011000,
23,533936,89,3637,6050,2,0000000001100000,2,0000000001100000,
24,533936,90,79,3480,2,0000000000011000,4,0000000001111000,
25,533936,90,5173,3480,2,0000000001100000,4,0000000001111000,
26,533936,91,3479,80,4,0000000001111000,2,0000000001100000,
27,533936,91,3479,5158,4,0000000001111000,2,0000000000011000,
28,533936,92,5158,5984,2,0000000000011000,2,0000000001100000,
29,533936,92,5770,5984,2,0000000001100000,2,0000000001100000,
30,533936,93,6137,4007,4,0000000111100000,4,0000000111100000,
31,533936,93,6137,5757,4,0000000111100000,1,0000000000010000,
32,533936,95,96,5979,1,0000000000010000,4,0000000111100000,
33,533936,95,4006,5979,4,0000000111100000,4,0000000111100000,
34,533936,99,3581,3994,1,0000000000010000,4,0000000011110000,
35,533936,99,3996,3994,3,0000000011100000,4,0000000011110000,
36,533936,100,4720,3996,3,0000000011100000,3,0000000011100000,
37,533936,100,4720,5082,3,0000000011100000,1,0000000000010000,
38,533936,101,5766,3997,4,0000000011110000,3,0000000011100000,
39,533936,101,5766,4363,4,0000000011110000,1,0000000000010000,
40,533936,102,3582,4717,1,0000000000010000,3,0000000011100000,
41,533936,102,3997,4717,3,0000000011100000,3,0000000011100000,
42,533936,104,3498,4006,4,0000000111100000,4,0000000111100000,
43,533936,104,3498,5029,4,0000000111100000,1,0000000000010000,
44,533936,105,3497,411,1,0000000000010000,4,0000000111100000,
45,533936,105,4007,411,4,0000000111100000,4,0000000111100000,
46,533936,106,3779,6216,1,0000000010000000,2,0000000001100000,
47,533936,106,4954,6216,2,0000000001100000,2,0000000001100000,
48,533936,221,222,5001,2,0000000001100000,2,0000000001100000,
49,533936,221,3789,5001,1,0000000010000000,2,0000000001100000,
50,533936,223,3496,212,2,0000000001100000,1,0000000000010000,
51,533936,223,3496,4666,2,0000000001100000,2,0000000001100000,
52,533936,411,105,4997,4,0000000011110000,3,0000000011100000,
53,533936,411,105,5174,4,0000000011110000,2,0000000000011000,
54,533936,412,3442,5099,2,0000000000011000,4,0000000011110000,
55,533936,412,4995,5099,3,0000000011100000,4,0000000011110000,
56,533936,770,5196,771,2,0000000001100000,1,0000000000010000,
57,533936,770,5196,4008,2,0000000001100000,2,0000000001100000,
58,533936,775,5099,4564,3,0000000011100000,3,0000000011100000,
59,533936,775,5099,5456,3,0000000011100000,1,0000000000010000,
60,533936,787,5683,409,3,0000000011100000,3,0000000011100000,
61,533936,787,6625,409,1,0000000000010000,3,0000000011100000,
62,533936,789,3480,790,2,0000000001100000,2,0000000110000000,
63,533936,789,3480,4954,2,0000000001100000,2,0000000001100000,
64,533936,3442,5001,412,2,0000000001100000,2,0000000110000000,
65,533936,3442,5001,3574,2,0000000001100000,2,0000000001100000,
66,533936,3479,3592,91,2,0000000000011000,4,0000000001111000,
67,533936,3479,5771,91,2,0000000001100000,4,0000000001111000,
68,533936,3480,90,789,4,0000000001111000,2,0000000001100000,
69,533936,3480,90,4961,4,0000000001111000,2,0000000000011000,
70,533936,3481,6759,5170,3,0000000011100000,3,0000000011100000,
71,533936,3481,6759,5468,3,0000000011100000,2,0000000000011000,
72,533936,3482,4877,6588,3,0000000011100000,3,0000000011100000,
73,533936,3482,5136,6588,2,0000000000011000,3,0000000011100000,
74,533936,3484,4888,3554,2,0000000000011000,2,0000000001100000,
75,533936,3484,5129,3554,2,0000000001100000,2,0000000001100000,
76,533936,3485,5709,4768,3,0000000011100000,3,0000000011100000,
77,533936,3485,5709,5187,3,0000000011100000,2,0000000000011000,
78,533936,3486,4983,4893,2,0000000001100000,2,0000000110000000,
79,533936,3486,4983,5121,2,0000000001100000,2,0000000001100000,
80,533936,3487,4565,5708,3,0000000011100000,4,0000000011110000,
81,533936,3487,5179,5708,2,0000000000011000,4,0000000011110000,
82,533936,3496,4313,223,2,0000000001100000,2,0000000001100000,
83,533936,3496,5149,223,1,0000000000010000,2,0000000001100000,
84,533936,3498,4991,104,3,0000000011100000,4,0000000011110000,
85,533936,3498,5166,104,2,0000000000011000,4,0000000011110000,
86,533936,3499,5979,5012,4,0000000011110000,3,0000000011100000,
87,533936,3499,5979,5273,4,0000000011110000,2,0000000000011000,
88,533936,3500,5159,3998,2,0000000110000000,2,0000000001100000,
89,533936,3500,5273,3998,2,0000000001100000,2,0000000001100000,
90,533936,3501,5006,5466,3,0000000011100000,5,0000000011111000,
91,533936,3501,5265,5466,2,0000000000011000,5,0000000011111000,
92,533936,3502,3994,5006,4,0000000011110000,3,0000000011100000,
93,533936,3502,3994,5159,4,0000000011110000,2,0000000000011000,
94,533936,3503,5012,3995,3,0000000011100000,4,0000000011110000,
95,533936,3503,5279,3995,2,0000000000011000,4,0000000011110000,
96,533936,3504,3999,5265,2,0000000001100000,2,0000000001100000,
97,533936,3504,3999,5492,2,0000000001100000,2,0000000000011000,
98,533936,3509,5093,4315,4,0000000011110000,1,0000000000010000,
99,533936,3509,5093,4989,4,0000000011110000,3,0000000011100000,
100,533936,3554,3484,4968,2,0000000001100000,2,0000000001100000,
101,533936,3554,3988,4968,1,0000000000010000,2,0000000001100000,
102,533936,3555,4968,3592,2,0000000001100000,2,0000000001100000,
103,533936,3555,4968,3594,2,0000000001100000,1,0000000000010000,
104,533936,3588,4961,4983,2,0000000001100000,2,0000000001100000,
105,533936,3588,4961,5240,2,0000000001100000,1,0000000000010000,
106,533936,3592,3555,3479,2,0000000001100000,2,0000000001100000,
107,533936,3592,3593,3479,1,0000000000010000,2,0000000001100000,
108,533936,3639,3769,3638,1,0000000000010000,2,0000000001100000,
109,533936,3639,6188,3638,2,0000000001100000,2,0000000001100000,
110,533936,3771,6559,3772,2,0000000001100000,2,0000000001100000,
111,533936,3771,6559,5494,2,0000000001100000,2,0000000110000000,
112,533936,3958,4692,4001,2,0000000001100000,2,0000000001100000,
113,533936,3958,4692,5274,2,0000000001100000,1,0000000000010000,
114,533936,3959,4000,4689,2,0000000001100000,2,0000000001100000,
115,533936,3959,5247,4689,1,0000000000010000,2,0000000001100000,
116,533936,4312,3982,3575,2,0000000001100000,2,0000000001100000,
117,533936,4312,3982,4323,2,0000000001100000,1,0000000010000000,
118,533936,4313,3575,3496,2,0000000001100000,2,0000000001100000,
119,533936,4313,4323,3496,1,0000000010000000,2,0000000001100000,
120,533936,4314,3495,5149,1,0000000000100000,1,0000000000100000,
121,533936,4314,5462,5149,1,0000000001000000,1,0000000000100000,
122,533936,4315,3509,3495,1,0000000000100000,1,0000000000100000,
123,533936,4315,3509,5489,1,0000000000100000,1,0000000001000000,
124,533936,5093,5254,3509,4,0000000111100000,4,0000000111100000,
125,533936,5093,5493,3509,1,0000000000010000,4,0000000111100000,
126,533936,5099,412,775,4,0000000011110000,3,0000000011100000,
127,533936,5099,412,5511,4,0000000011110000,1,0000000000010000,
128,533936,5113,4564,5709,3,0000000011100000,3,0000000011100000,
129,533936,5113,6392,5709,1,0000000000010000,3,0000000011100000,
130,533936,5254,5563,5093,4,0000000111100000,4,0000000111100000,
131,533936,5254,5953,5093,1,0000000000010000,4,0000000111100000,
132,533936,5262,5938,5087,4,0000000111100000,4,0000000111100000,
133,533936,5262,5938,6328,4,0000000111100000,1,0000000000010000,
134,533936,5493,6121,5093,1,0000000000100000,1,0000000000010000,
135,533936,5493,6121,6392,1,0000000000100000,1,0000000000100000,
136,533936,5511,5099,6247,1,0000000001000000,1,0000000000100000,
137,533936,5511,6328,6247,1,0000000000100000,1,0000000000100000,
138,533936,5672,5062,97,3,0000000011100000,3,0000000011100000,
139,533936,5672,5062,6447,3,0000000011100000,1,0000000000010000,
140,533936,5950,6550,6121,1,0000000000010000,1,0000000000100000,
141,533936,5950,6694,6121,1,0000000000100000,1,0000000000100000,
142,533936,6118,6117,6662,1,0000000000100000,1,0000000000010000,
143,533936,6118,6117,6719,1,0000000000100000,1,0000000000100000,
