,meshcode,tnodeno,snodeno,enodeno,tlanesu,lanesu,hodo,sokusen,high,laneno,klanecd,flanecd,ysnodeno,yenodeno,geometry
0,533936,1,1,10,2,2,1,2,2,0,0,0,0,0,
1,533936,1,1,4218,6,6,1,2,2,0,0,0,0,0,
2,533936,1,10,1,2,2,1,2,2,1,1,2,0,0,
3,533936,1,10,1,2,2,1,2,2,2,1,2,0,0,
4,533936,1,5069,1,6,6,1,2,2,1,1,2,0,0,
5,533936,1,5069,1,6,6,1,2,2,2,1,2,0,0,
6,533936,1,5069,1,6,6,1,2,2,3,1,2,0,0,
7,533936,1,5069,1,6,6,1,2,2,4,1,2,0,0,
8,533936,1,5069,1,6,6,1,2,2,5,1,2,0,0,
9,533936,1,5069,1,6,6,1,2,2,6,1,2,0,0,
10,533936,94,94,534,2,2,1,1,2,0,0,0,0,0,
11,533936,94,5757,94,1,1,2,1,2,1,1,2,0,0,
12,533936,94,5758,94,2,2,1,1,2,1,1,2,0,0,
13,533936,94,5758,94,2,2,1,1,2,2,1,2,0,0,
14,533936,107,107,3838,2,2,1,1,2,0,0,0,0,0,
15,533936,107,107,6676,1,1,2,1,2,0,0,0,0,0,
16,533936,107,6376,107,2,2,1,1,2,1,1,2,0,0,
17,533936,107,6376,107,2,2,1,1,2,2,1,2,0,0,
18,533936,108,108,109,2,2,1,1,2,0,0,0,0,0,
19,533936,108,108,6305,1,1,2,2,3,0,0,0,0,0,
20,533936,108,6063,108,2,2,1,1,2,1,1,2,0,0,
21,533936,108,6063,108,2,2,1,1,2,2,1,2,0,0,
22,533936,109,108,109,2,2,1,1,2,1,1,2,0,0,
23,533936,109,108,109,2,2,1,1,2,2,1,2,0,0,
24,533936,109,109,3900,2,2,1,1,2,0,0,0,0,0,
25,533936,109,109,5631,1,1,1,2,2,0,0,0,0,0,
26,533936,110,98,110,4,1,1,1,2,1,1,2,110,4821,
27,533936,110,98,110,4,1,1,1,2,1,1,2,113,4803,
28,533936,110,98,110,4,1,1,1,2,2,1,1,113,4803,
29,533936,110,98,110,4,1,1,1,2,3,1,1,113,6715,
30,533936,110,98,110,4,1,1,1,2,4,1,1,113,6715,
31,533936,110,110,4821,3,3,1,1,2,0,0,0,0,0,
32,533936,110,113,4803,2,2,1,1,2,0,0,0,0,0,
33,533936,110,113,6715,3,3,1,2,2,0,0,0,0,0,
34,533936,110,4827,113,3,3,1,1,2,1,1,2,113,4803,
35,533936,110,4827,113,3,3,1,1,2,1,1,2,113,6715,
36,533936,110,4827,113,3,3,1,1,2,2,1,2,113,6715,
37,533936,110,4827,113,3,3,1,1,2,3,1,2,113,6715,
38,533936,110,6734,110,3,3,1,2,2,1,1,2,110,4821,
39,533936,110,6734,110,3,3,1,2,2,2,1,2,110,4821,
40,533936,110,6734,110,3,3,1,2,2,2,1,2,113,4803,
41,533936,110,6734,110,3,3,1,2,2,3,1,2,113,4803,
42,533936,111,111,538,3,3,1,2,2,0,0,0,0,0,
43,533936,111,111,5973,2,2,1,1,2,0,0,0,0,0,
44,533936,111,3765,111,3,3,1,2,2,1,1,2,111,5973,
45,533936,111,3765,111,3,3,1,2,2,1,1,2,111,538,
46,533936,111,3765,111,3,3,1,2,2,2,1,2,111,538,
47,533936,111,3765,111,3,3,1,2,2,3,1,2,111,538,
48,533936,111,5290,6553,3,2,1,1,2,1,1,2,6553,6594,
49,533936,111,5290,6553,3,2,1,1,2,1,1,2,111,5973,
50,533936,111,5290,6553,3,2,1,1,2,2,1,2,111,5973,
51,533936,111,5290,6553,3,2,1,1,2,3,1,1,111,538,
52,533936,111,6400,6553,3,3,1,2,2,1,1,2,6553,6594,
53,533936,111,6400,6553,3,3,1,2,2,2,1,2,6553,6594,
54,533936,111,6400,6553,3,3,1,2,2,3,1,2,111,5973,
55,533936,111,6553,6594,3,3,1,2,2,0,0,0,0,0,
56,533936,114,114,4890,2,2,1,2,2,0,0,0,0,0,
57,533936,114,3848,114,3,3,1,2,2,1,1,2,114,4890,
58,533936,114,3848,114,3,3,1,2,2,2,1,2,114,4890,
59,533936,114,3848,114,3,3,1,2,2,3,1,2,3923,3915,
60,533936,114,3923,3915,2,2,1,1,2,0,0,0,0,0,
61,533936,114,3923,3924,2,2,1,2,2,0,0,0,0,0,
62,533936,114,4896,3923,2,2,1,2,2,1,1,2,0,0,
63,533936,114,4896,3923,2,2,1,2,2,2,1,2,0,0,
64,533936,115,115,273,4,4,1,2,2,0,0,0,0,0,
65,533936,115,404,115,4,4,1,2,2,1,1,2,115,273,
66,533936,115,404,115,4,4,1,2,2,2,1,2,115,273,
67,533936,115,404,115,4,4,1,2,2,3,1,2,115,273,
68,533936,115,404,115,4,4,1,2,2,4,1,2,5956,4267,
69,533936,115,4777,115,3,2,1,1,2,1,1,2,115,273,
70,533936,115,4777,115,3,2,1,1,2,1,1,2,5956,4267,
71,533936,115,4777,115,3,2,1,1,2,2,1,2,5956,4267,
72,533936,115,4777,115,3,2,1,1,2,3,1,1,5956,5730,
73,533936,115,5956,4267,2,2,2,1,2,0,0,0,0,0,
74,533936,115,5956,5730,3,3,1,2,2,0,0,0,0,0,
75,533936,115,6249,5956,4,3,1,2,2,1,1,2,5956,4267,
76,533936,115,6249,5956,4,3,1,2,2,2,1,2,5956,5730,
77,533936,115,6249,5956,4,3,1,2,2,3,1,2,5956,5730,
78,533936,115,6249,5956,4,3,1,2,2,4,1,1,5956,5730,
79,533936,116,116,5969,3,3,1,2,2,0,0,0,0,0,
80,533936,116,130,116,4,3,1,2,2,1,1,2,116,5969,
81,533936,116,130,116,4,3,1,2,2,2,1,2,116,5969,
82,533936,116,130,116,4,3,1,2,2,3,1,2,116,5969,
83,533936,116,130,116,4,3,1,2,2,4,1,1,224,5968,
84,533936,116,224,129,4,4,1,2,2,0,0,0,0,0,
85,533936,116,224,5968,2,2,1,1,2,0,0,0,0,0,
86,533936,116,225,224,3,3,1,2,2,1,1,2,224,5968,
87,533936,116,225,224,3,3,1,2,2,1,1,2,224,129,
88,533936,116,225,224,3,3,1,2,2,2,1,2,224,129,
89,533936,116,225,224,3,3,1,2,2,3,1,2,224,129,
90,533936,116,4412,116,3,2,1,1,2,1,1,2,116,5969,
91,533936,116,4412,116,3,2,1,1,2,1,1,2,224,5968,
92,533936,116,4412,116,3,2,1,1,2,2,1,2,224,5968,
93,533936,116,4412,116,3,2,1,1,2,3,1,1,224,129,
94,533936,117,117,118,5,5,1,2,2,0,0,0,0,0,
95,533936,117,2290,117,1,1,1,2,2,1,1,2,0,0,
96,533936,117,2496,117,4,3,1,2,2,1,1,1,117,118,
97,533936,117,2496,117,4,3,1,2,2,2,1,2,117,118,
