,meshcode,tnodeno,snodeno,linkno,ichikeido,ichiido,distance,changetype,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,533936,81,3772,76,503146125,128397760,284,6,0,1111111111111111,2,0000000001100000,
1,533936,82,5189,6523,503133403,128404925,152,2,2,0000000000110000,1,0000000000100000,
2,533936,3739,3770,74,503141708,128382262,36,6,0,1111111111111111,1,0000000000100000,
3,533936,3772,3771,75,503146330,128397360,13,6,2,0000000001100000,0,1111111111111111,
4,533936,5196,4583,9312,503131890,128408592,128,1,1,0000000000100000,2,0000000001100000,
5,533936,5512,6469,8878,503142608,128383362,9,6,1,0000000000100000,0,1111111111111111,
6,533936,5770,88,7485,503136759,128353198,28,1,1,0000000000100000,2,0000000000110000,
7,533936,5950,6694,8848,503250273,128321371,258,6,0,1111111111111111,1,0000000000100000,
8,533936,6137,5466,7480,503439379,128329742,341,2,5,0000000111110000,4,0000000111100000,
9,533936,6469,4008,8850,503144162,128385294,58,2,2,0000000001100000,1,0000000000100000,
10,533936,6694,5780,7658,503248105,128323971,97,6,1,0000000000100000,0,1111111111111111,
11,533936,6776,6650,8895,503120118,128166153,42,2,2,0000000000110000,1,0000000000100000,
