,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
0,533936,111,6400,6553,6553,6594,
1,533936,111,6400,6553,111,5973,
2,533936,116,130,116,224,5968,
3,533936,116,130,116,116,5969,
4,533936,119,327,119,6186,2064,
5,533936,119,5846,6478,6478,6427,
6,533936,119,5846,6478,119,422,
7,533936,119,5846,6478,119,3630,
8,533936,119,5848,6186,119,422,
9,533936,119,5848,6186,6186,2064,
10,533936,120,1380,120,121,2413,
11,533936,120,1380,120,120,2646,
12,533936,120,1380,120,120,1381,
13,533936,120,1381,120,121,1379,
14,533936,120,1381,120,120,2646,
15,533936,120,1381,120,121,2413,
16,533936,120,1417,121,120,1381,
17,533936,120,1417,121,121,2413,
18,533936,120,1417,121,121,1379,
19,533936,120,2413,121,120,2646,
20,533936,120,2413,121,121,1379,
21,533936,120,2413,121,120,1381,
22,533936,122,689,122,122,5409,
23,533936,122,689,122,122,5122,
24,533936,122,689,122,122,5130,
25,533936,122,5130,122,122,5122,
26,533936,123,3974,3616,123,5101,
27,533936,123,3974,3616,3616,4869,
28,533936,123,3974,3616,123,5408,
29,533936,123,5106,5123,123,5408,
30,533936,123,5115,5123,3616,3974,
31,533936,123,5408,123,3616,4869,
32,533936,123,5408,123,123,5101,
33,533936,123,5408,123,3616,3974,
34,533936,126,3957,3517,3517,4828,
35,533936,126,3957,3517,3517,4816,
36,533936,127,3957,127,127,4566,
37,533936,127,3957,127,127,5050,
38,533936,127,5050,127,127,3957,
39,533936,129,224,129,130,4981,
40,533936,129,224,129,129,555,
41,533936,138,2881,138,138,2547,
42,533936,138,2881,138,138,137,
43,533936,138,2881,138,5853,2094,
44,533936,138,5855,5853,5853,2094,
45,533936,138,5855,5853,5853,6052,
46,533936,138,5855,5853,138,2547,
47,533936,140,137,140,140,2116,
48,533936,140,137,140,5856,4782,
49,533936,140,137,140,5596,5597,
50,533936,140,139,5855,5856,4782,
51,533936,140,139,5855,5855,5853,
52,533936,140,139,5855,140,2116,
53,533936,140,5857,5856,5855,5853,
54,533936,140,5857,5856,5856,4782,
55,533936,140,5857,5856,5596,5597,
56,533936,140,6480,5596,5596,5597,
57,533936,140,6480,5596,5855,5853,
58,533936,140,6480,5596,140,2116,
59,533936,143,2908,143,6286,2109,
60,533936,145,2172,145,145,2175,
61,533936,145,2172,145,145,4887,
62,533936,145,2172,145,6355,5144,
63,533936,145,5823,6355,145,2175,
64,533936,145,5823,6355,6355,5144,
65,533936,145,5823,6355,6355,5824,
66,533936,146,147,146,146,4642,
67,533936,146,4641,146,146,5104,
68,533936,148,2991,148,148,4051,
69,533936,148,4051,148,148,4661,
70,533936,148,4428,148,148,792,
71,533936,148,4661,148,148,4428,
72,533936,151,2216,151,151,2217,
73,533936,154,5371,5377,5377,3529,
74,533936,154,5371,5377,154,597,
75,533936,159,158,159,5379,160,
76,533936,159,158,159,159,5803,
77,533936,159,158,159,159,155,
78,533936,159,160,5379,5379,5373,
79,533936,159,160,5379,159,5803,
80,533936,159,160,5379,159,155,
81,533936,159,5329,159,5379,160,
82,533936,159,5329,159,159,5803,
83,533936,159,5329,159,5379,5373,
84,533936,159,5368,5379,5379,160,
85,533936,159,5368,5379,159,155,
86,533936,159,5368,5379,5379,5373,
87,533936,162,163,162,162,5081,
88,533936,162,1465,162,162,5081,
89,533936,162,1465,162,162,497,
90,533936,162,5081,162,162,1465,
91,533936,162,5081,162,162,497,
92,533936,162,5081,162,162,163,
93,533936,164,248,165,164,3823,
94,533936,164,248,165,6015,5180,
95,533936,164,248,165,6163,3118,
96,533936,164,3118,165,6015,5180,
97,533936,164,5180,6015,165,248,
98,533936,164,5180,6015,164,3823,
99,533936,164,5180,6015,6163,3118,
100,533936,164,5806,6015,165,248,
101,533936,166,167,166,166,1352,
102,533936,168,169,168,168,781,
103,533936,168,170,168,168,781,
104,533936,168,781,168,168,170,
105,533936,173,3537,3723,173,5767,
106,533936,174,5005,174,174,702,
107,533936,174,5039,174,174,38,
108,533936,178,179,5371,5371,5377,
109,533936,178,179,5371,178,5319,
110,533936,178,179,5371,5797,312,
111,533936,178,441,178,178,5319,
112,533936,178,441,178,5797,312,
113,533936,178,441,178,6011,6159,
114,533936,178,5796,6011,6011,6159,
115,533936,178,5796,6011,5371,5377,
116,533936,178,5796,6011,178,5319,
117,533936,178,6466,5797,5797,312,
118,533936,178,6466,5797,6011,6159,
119,533936,178,6466,5797,5371,5377,
120,533936,179,4931,179,6159,598,
121,533936,179,4931,179,179,5371,
122,533936,181,2508,181,6007,6344,
123,533936,181,4166,5794,5794,6172,
124,533936,181,4166,5794,181,490,
125,533936,181,4166,5794,5793,180,
126,533936,181,6032,5793,5793,180,
127,533936,181,6032,5793,6007,6344,
128,533936,181,6032,5793,5794,6172,
129,533936,181,6347,6007,181,490,
130,533936,181,6347,6007,6007,6344,
131,533936,181,6347,6007,5794,6172,
132,533936,184,185,184,184,333,
133,533936,184,333,184,184,428,
134,533936,184,333,184,184,185,
135,533936,184,333,184,184,2563,
136,533936,184,428,184,184,2563,
137,533936,184,2563,184,184,185,
138,533936,184,2563,184,184,428,
139,533936,184,2563,184,184,333,
140,533936,185,2709,185,185,184,
141,533936,188,189,188,188,3224,
142,533936,188,1166,188,188,1173,
143,533936,188,1173,188,188,189,
144,533936,188,3224,188,188,1166,
145,533936,203,4342,203,6370,5443,
146,533936,203,5443,6370,6370,5861,
147,533936,203,5860,6370,203,1609,
148,533936,205,496,205,205,131,
149,533936,212,5804,212,212,791,
150,533936,261,2340,261,261,5750,
151,533936,261,2340,261,261,4990,
152,533936,261,2340,261,5994,5387,
153,533936,266,267,266,266,2340,
154,533936,266,4200,266,266,267,
155,533936,266,4200,266,266,2340,
156,533936,266,4200,266,6128,5047,
157,533936,266,5967,6128,266,267,
158,533936,266,5967,6128,6128,5751,
159,533936,266,5967,6128,6128,5047,
160,533936,273,115,273,273,274,
161,533936,273,115,273,273,171,
162,533936,273,115,273,6123,4268,
163,533936,273,274,273,273,171,
164,533936,273,274,273,6123,4268,
165,533936,273,274,273,6123,6249,
166,533936,273,4268,6123,6123,6249,
167,533936,273,4268,6123,273,274,
168,533936,273,4268,6123,273,171,
169,533936,273,6503,6123,6123,4268,
