,meshcode,grno,grnode1,grnode2,grnode3,grnode4,grnode5,geometry
0,533936,1,114,3923,0,0,0,
1,533936,2,126,3517,0,0,0,
2,533936,3,141,6300,0,0,0,
3,533936,4,154,5377,0,0,0,
4,533936,5,155,5329,0,0,0,
5,533936,6,171,6503,0,0,0,
6,533936,7,173,3723,0,0,0,
7,533936,8,177,762,0,0,0,
8,533936,9,179,6159,0,0,0,
9,533936,10,194,195,0,0,0,
10,533936,11,241,5943,0,0,0,
11,533936,12,247,5735,0,0,0,
12,533936,13,366,6099,0,0,0,
13,533936,14,397,614,0,0,0,
14,533936,15,399,401,0,0,0,
15,533936,16,531,3714,0,0,0,
16,533936,17,645,6699,0,0,0,
17,533936,18,690,2425,0,0,0,
18,533936,19,715,6325,0,0,0,
19,533936,20,742,3603,0,0,0,
20,533936,21,743,3607,0,0,0,
21,533936,22,745,3606,0,0,0,
22,533936,23,820,5177,0,0,0,
23,533936,24,1403,1404,0,0,0,
24,533936,25,1436,5739,0,0,0,
25,533936,26,1511,3717,0,0,0,
26,533936,27,1714,6482,0,0,0,
27,533936,28,2126,6568,0,0,0,
28,533936,29,2405,5214,0,0,0,
29,533936,30,2423,2424,0,0,0,
30,533936,31,2530,2716,0,0,0,
31,533936,32,2698,2699,0,0,0,
32,533936,33,2766,5314,0,0,0,
33,533936,34,2962,3716,0,0,0,
34,533936,35,2981,3713,0,0,0,
35,533936,36,3027,6563,0,0,0,
36,533936,37,3219,3679,0,0,0,
37,533936,38,3372,6639,0,0,0,
38,533936,39,3463,3604,0,0,0,
39,533936,40,3529,5366,0,0,0,
40,533936,41,3533,3536,0,0,0,
41,533936,42,3566,3850,0,0,0,
42,533936,43,3720,5200,0,0,0,
43,533936,44,3725,6620,0,0,0,
44,533936,45,3848,3924,0,0,0,
45,533936,46,3856,3863,0,0,0,
46,533936,47,3871,5564,0,0,0,
47,533936,48,3918,3920,0,0,0,
48,533936,49,3950,3952,0,0,0,
49,533936,50,3968,3969,0,0,0,
50,533936,51,4014,4015,0,0,0,
51,533936,52,4781,5074,0,0,0,
52,533936,53,5585,6042,0,0,0,
53,533936,54,5686,5913,0,0,0,
54,533936,55,5688,5916,0,0,0,
55,533936,56,5706,5935,0,0,0,
56,533936,57,5715,6329,0,0,0,
57,533936,58,5721,5948,0,0,0,
58,533936,59,5902,5903,0,0,0,
59,533936,60,5914,6224,0,0,0,
60,533936,61,5926,6103,0,0,0,
61,533936,62,5965,6506,0,0,0,
62,533936,63,6125,6333,0,0,0,
63,533936,64,6283,6353,0,0,0,
64,533936,65,6452,6502,0,0,0,
65,533936,66,6585,6621,0,0,0,
66,533936,67,110,113,5682,0,0,
67,533936,68,111,6553,6663,0,0,
68,533936,69,115,5956,6396,0,0,
69,533936,70,116,224,5752,0,0,
70,533936,71,118,2064,3573,0,0,
71,533936,72,119,6186,6478,0,0,
72,533936,73,120,121,4879,0,0,
73,533936,74,129,130,5970,0,0,
74,533936,75,138,5853,6525,0,0,
75,533936,76,143,6286,6562,0,0,
76,533936,77,145,6355,6518,0,0,
77,533936,78,159,5379,5392,0,0,
78,533936,79,183,6275,6465,0,0,
79,533936,80,186,5595,6567,0,0,
80,533936,81,187,6189,6606,0,0,
81,533936,82,191,6638,6668,0,0,
82,533936,83,203,6370,6569,0,0,
83,533936,84,225,3793,6130,0,0,
84,533936,85,246,3579,4764,0,0,
85,533936,86,261,5994,6150,0,0,
86,533936,87,266,6128,6255,0,0,
87,533936,88,273,6123,6453,0,0,
88,533936,89,314,5360,5389,0,0,
89,533936,90,336,6524,6722,0,0,
90,533936,91,338,6605,6762,0,0,
91,533936,92,361,5185,5876,0,0,
92,533936,93,362,6449,6546,0,0,
93,533936,94,372,3613,4852,0,0,
94,533936,95,378,5382,5395,0,0,
95,533936,96,392,732,4773,0,0,
96,533936,97,404,5730,6332,0,0,
97,533936,98,419,2843,6738,0,0,
98,533936,99,421,2052,3972,0,0,
99,533936,100,427,5843,6603,0,0,
100,533936,101,432,6369,6673,0,0,
101,533936,102,442,3537,4783,0,0,
102,533936,103,455,6359,6422,0,0,
103,533936,104,460,461,4793,0,0,
104,533936,105,466,3238,4789,0,0,
105,533936,106,491,5860,6608,0,0,
106,533936,107,498,2934,4822,0,0,
107,533936,108,509,2959,4815,0,0,
108,533936,109,517,2951,4798,0,0,
109,533936,110,522,2954,4810,0,0,
110,533936,111,529,885,4307,0,0,
111,533936,112,532,3459,4772,0,0,
112,533936,113,538,6400,6629,0,0,
113,533936,114,539,6135,6695,0,0,
114,533936,115,607,5348,5776,0,0,
115,533936,116,648,6672,6751,0,0,
116,533936,117,653,5109,5272,0,0,
117,533936,118,685,686,3887,0,0,
118,533936,119,701,3609,4011,0,0,
119,533936,120,703,707,3514,0,0,
120,533936,121,709,5921,6500,0,0,
121,533936,122,710,5681,6221,0,0,
122,533936,123,711,6091,6497,0,0,
123,533936,124,713,5671,5900,0,0,
124,533936,125,714,6385,6495,0,0,
125,533936,126,716,6229,6390,0,0,
126,533936,127,717,6386,6733,0,0,
127,533936,128,718,6543,6714,0,0,
128,533936,129,719,6655,6688,0,0,
129,533936,130,736,6201,6435,0,0,
130,533936,131,741,3610,5208,0,0,
131,533936,132,757,3568,4860,0,0,
132,533936,133,764,765,5634,0,0,
133,533936,134,782,983,4785,0,0,
134,533936,135,1063,5839,6421,0,0,
135,533936,136,1282,6291,6474,0,0,
136,533936,137,1431,2614,4563,0,0,
137,533936,138,1898,6428,6740,0,0,
138,533936,139,2012,6005,6154,0,0,
139,533936,140,2014,6004,6153,0,0,
140,533936,141,2098,6049,6187,0,0,
141,533936,142,2242,4774,4796,0,0,
142,533936,143,2266,5583,6358,0,0,
143,533936,144,2340,5967,6335,0,0,
144,533936,145,2342,5322,5533,0,0,
145,533936,146,2391,5150,5226,0,0,
146,533936,147,2480,3577,4778,0,0,
147,533936,148,2506,6481,6643,0,0,
148,533936,149,2507,6172,6471,0,0,
149,533936,150,2514,6408,6463,0,0,
150,533936,151,2516,6271,6510,0,0,
151,533936,152,2517,6406,6554,0,0,
152,533936,153,2555,6354,6470,0,0,
153,533936,154,2558,5117,5284,0,0,
154,533936,155,2573,5140,5292,0,0,
155,533936,156,2655,2656,5405,0,0,
156,533936,157,2691,2692,4519,0,0,
157,533936,158,2926,6033,6739,0,0,
158,533936,159,2927,6472,6750,0,0,
159,533936,160,2932,6057,6527,0,0,
160,533936,161,2977,2978,4804,0,0,
161,533936,162,3131,5785,5999,0,0,
162,533936,163,3456,3457,5600,0,0,
163,533936,164,3519,3523,4912,0,0,
164,533936,165,3532,3535,5330,0,0,
165,533936,166,3624,3626,4921,0,0,
166,533936,167,3719,5193,5642,0,0,
167,533936,168,3860,3864,5509,0,0,
168,533936,169,3867,3882,4885,0,0,
169,533936,170,3874,3906,4840,0,0,
170,533936,171,3875,3876,3877,0,0,
171,533936,172,3912,3913,6092,0,0,
172,533936,173,3916,3917,6223,0,0,
173,533936,174,3925,3927,3928,0,0,
174,533936,175,3932,3933,4908,0,0,
175,533936,176,3935,3936,4904,0,0,
176,533936,177,3973,5982,6401,0,0,
177,533936,178,3976,6140,6261,0,0,
178,533936,179,4247,5473,6737,0,0,
179,533936,180,4786,6560,6599,0,0,
180,533936,181,4807,5336,5548,0,0,
181,533936,182,5306,5368,5530,0,0,
182,533936,183,5372,5374,5524,0,0,
183,533936,184,5452,5453,5728,0,0,
184,533936,185,5454,5506,5521,0,0,
185,533936,186,5464,5746,5963,0,0,
186,533936,187,5537,5541,5712,0,0,
187,533936,188,5553,5558,5940,0,0,
188,533936,189,5695,5924,6101,0,0,
189,533936,190,5725,5951,6119,0,0,
190,533936,191,5777,5779,5992,0,0,
191,533936,192,5816,6024,6558,0,0,
192,533936,193,6064,6306,6374,0,0,
193,533936,194,6098,6228,6499,0,0,
194,533936,195,6120,6246,6395,0,0,
195,533936,196,6127,6399,6593,0,0,
196,533936,197,6232,6501,6547,0,0,
197,533936,198,6360,6423,6640,0,0,
198,533936,199,6535,6782,6786,0,0,
199,533936,200,6587,6624,6690,0,0,
200,533936,201,140,5596,5855,5856,0,
201,533936,202,164,165,6015,6163,0,
202,533936,203,178,5371,5797,6011,0,
203,533936,204,181,5793,5794,6007,0,
204,533936,205,332,5256,5399,5402,0,
205,533936,206,358,5667,6083,6445,0,
206,533936,207,650,5307,6047,6566,0,
207,533936,208,712,5911,6586,6622,0,
208,533936,209,1387,1388,2415,2416,0,
209,533936,210,2294,6633,6665,6696,0,
210,533936,211,3414,3415,6041,6179,0,
211,533936,212,3526,3527,6667,6721,0,
212,533936,213,3570,3571,6299,6429,0,
213,533936,214,3855,3865,3869,3870,0,
214,533936,215,3868,3872,3873,3890,0,
215,533936,216,5263,5309,5315,5340,0,
216,533936,217,5818,6515,6666,6697,0,
217,533936,218,6485,6530,6784,6791,0,
218,533936,219,123,3616,5123,5151,5160,
219,533936,220,369,3618,4867,5090,5097,
220,533936,221,371,3617,5095,5131,5138,
221,533936,222,374,3612,5946,6113,6240,
222,533936,223,3467,3468,3469,3470,3471,
223,533936,224,3619,4854,5821,6030,6171,
224,533936,225,4351,4352,4353,4354,4357,
225,533936,226,3530,5025,5033,5350,5356,
226,533936,226,5801,0,0,0,0,
227,533936,227,3565,3903,3904,3926,3945,
228,533936,227,3947,0,0,0,0,
229,533936,228,2010,2276,4874,6403,6460,
230,533936,228,6509,6630,6664,0,0,
