,meshcode,tnodeno,snodeno,enodeno,ysnodeno,yenodeno,passageno,geometry
0,533936,110,98,110,113,4803,0,
1,533936,110,98,110,113,6715,0,
2,533936,110,6734,110,113,4803,5682,
3,533936,111,5290,6553,111,538,0,
4,533936,111,5290,6553,111,5973,0,
5,533936,111,6400,6553,111,5973,6663,
6,533936,114,3848,114,3923,3915,0,
7,533936,115,404,115,5956,4267,6396,
8,533936,115,4777,115,5956,4267,0,
9,533936,115,4777,115,5956,5730,0,
10,533936,116,130,116,224,5968,5752,
11,533936,116,4412,116,224,129,0,
12,533936,116,4412,116,224,5968,0,
13,533936,118,117,118,3573,3572,0,
14,533936,118,341,118,2064,2063,0,
15,533936,118,341,118,2064,5591,0,
16,533936,118,5849,2064,118,341,0,
17,533936,118,5849,2064,118,5846,0,
18,533936,119,327,119,6186,2064,0,
19,533936,119,5846,6478,119,422,0,
20,533936,119,5846,6478,119,3630,0,
21,533936,119,5848,6186,119,422,0,
22,533936,119,5848,6186,6478,6427,0,
23,533936,120,1380,120,121,2413,4879,
24,533936,120,1381,120,121,1379,0,
25,533936,120,1381,120,121,2413,0,
26,533936,120,1417,121,120,1381,4879,
27,533936,120,2413,121,120,1381,0,
28,533936,120,2413,121,120,2646,0,
29,533936,123,3974,3616,123,5101,5123,
30,533936,123,3974,3616,123,5408,5123,
31,533936,123,5106,5123,123,5408,5151,
32,533936,123,5115,5123,3616,3974,5160,
33,533936,123,5408,123,3616,3974,5123,
34,533936,123,5408,123,3616,4869,5123,
35,533936,126,5167,126,3517,3957,0,
36,533936,126,5167,126,3517,4816,0,
37,533936,129,224,129,130,4981,5970,
38,533936,129,533,129,130,116,0,
39,533936,129,533,129,130,4981,0,
40,533936,138,2547,138,5853,2094,0,
41,533936,138,2547,138,5853,6052,0,
42,533936,138,2881,138,5853,2094,6525,
43,533936,138,5855,5853,138,2547,6525,
44,533936,140,137,140,5596,5597,0,
45,533936,140,137,140,5856,4782,0,
46,533936,140,139,5855,140,2116,0,
47,533936,140,139,5855,5856,4782,0,
48,533936,140,5857,5856,5596,5597,0,
49,533936,140,5857,5856,5855,5853,0,
50,533936,140,6480,5596,140,2116,0,
51,533936,140,6480,5596,5855,5853,0,
52,533936,141,2126,141,6300,2301,0,
53,533936,143,2908,143,6286,2109,6562,
54,533936,145,2172,145,6355,5144,6518,
55,533936,145,5144,6355,145,2175,0,
56,533936,145,5144,6355,145,4887,0,
57,533936,145,5823,6355,145,2175,6518,
58,533936,154,5371,5377,154,597,0,
59,533936,155,5336,5329,155,215,0,
60,533936,159,158,159,5379,160,5392,
61,533936,159,160,5379,159,155,0,
62,533936,159,160,5379,159,5803,0,
63,533936,159,5329,159,5379,160,0,
64,533936,159,5329,159,5379,5373,0,
65,533936,159,5368,5379,159,155,5392,
66,533936,164,248,165,164,3823,0,
67,533936,164,248,165,6015,5180,164,
68,533936,164,248,165,6163,3118,0,
69,533936,164,3118,165,164,3823,0,
70,533936,164,3118,165,6015,5180,164,
71,533936,164,5180,6015,164,3823,0,
72,533936,164,5180,6015,165,248,6163,
73,533936,164,5180,6015,6163,3118,0,
74,533936,164,5806,6015,165,248,6163,
75,533936,164,5806,6015,6163,3118,0,
76,533936,171,405,171,6503,6123,0,
77,533936,171,5751,6503,171,405,0,
78,533936,173,3537,3723,173,5767,0,
79,533936,173,5767,173,3723,4530,0,
80,533936,177,131,177,762,2981,0,
81,533936,177,5064,762,177,131,0,
82,533936,178,179,5371,178,5319,0,
83,533936,178,179,5371,5797,312,0,
84,533936,178,441,178,5797,312,0,
85,533936,178,441,178,6011,6159,0,
86,533936,178,5796,6011,178,5319,0,
87,533936,178,5796,6011,5371,5377,0,
88,533936,178,6466,5797,5371,5377,0,
89,533936,178,6466,5797,6011,6159,0,
90,533936,179,598,6159,179,5371,0,
91,533936,179,4931,179,6159,598,0,
92,533936,181,2508,181,5793,180,0,
93,533936,181,2508,181,6007,6344,0,
94,533936,181,4166,5794,181,490,0,
95,533936,181,4166,5794,5793,180,0,
96,533936,181,6032,5793,5794,6172,0,
97,533936,181,6032,5793,6007,6344,0,
98,533936,181,6347,6007,181,490,0,
99,533936,181,6347,6007,5794,6172,0,
100,533936,186,774,186,5595,2093,0,
101,533936,186,774,186,5595,6189,0,
102,533936,187,322,6189,187,623,0,
103,533936,191,5583,191,6638,3335,6668,
104,533936,191,6520,6638,191,5370,6668,
105,533936,203,4342,203,6370,5443,6569,
106,533936,203,5443,6370,203,491,0,
107,533936,203,5443,6370,203,1609,0,
108,533936,203,5860,6370,203,1609,6569,
109,533936,225,3702,3793,225,260,0,
110,533936,246,4468,3579,246,245,4764,
111,533936,246,5222,246,3579,3814,4764,
112,533936,261,2340,261,5994,5387,6150,
113,533936,261,5387,5994,261,4990,0,
114,533936,261,5387,5994,261,5750,0,
115,533936,261,5995,5994,261,5750,6150,
116,533936,266,267,266,6128,5047,0,
117,533936,266,267,266,6128,5751,0,
