,meshcode,elcode,attrnmno,objectid,geometry
0,533936,520000,0,4-32-5-8-6645249,"LINESTRING (503092836 128125591, 503093286 128124458, 503093449 128124025, 503093777 128123225, 503094349 128121358, 503095413 128119725)"
1,533936,520000,0,4-32-5-8-6645252,"LINESTRING (503095413 128119725, 503096190 128119725, 503099299 128120392, 503106458 128121793, 503121389 128121093, 503121553 128111695)"
2,533936,520000,0,4-32-5-8-6645255,"LINESTRING (503090206 128411657, 503091966 128410790)"
3,533936,520000,0,4-32-5-8-6645258,"LINESTRING (503091966 128410790, 503093275 128411657)"
4,533936,520000,0,4-32-5-8-6645261,"LINESTRING (503446822 128397700, 503444532 128364005)"
5,533936,520000,0,4-32-5-8-6645273,"LINESTRING (503167728 128255610, 503177219 128243279)"
6,533936,520000,0,4-32-5-8-6645276,"LINESTRING (503177219 128243279, 503185728 128232747)"
7,533936,520000,0,4-32-5-8-6645279,"LINESTRING (503177219 128243279, 503178855 128245012, 503181473 128246745, 503188672 128250878, 503219800 128267943)"
8,533936,520000,0,4-32-5-8-6645282,"LINESTRING (503219800 128267943, 503199388 128293106)"
9,533936,520000,0,4-32-5-8-6645285,"LINESTRING (503187974 128319236, 503216198 128339002, 503243400 128358333, 503241355 128372665, 503240740 128383330, 503240740 128387497, 503240904 128389997)"
10,533936,520000,0,4-32-5-8-6645288,"LINESTRING (503240904 128389997, 503240822 128393396, 503240658 128396863, 503240126 128400328)"
11,533936,520000,0,4-32-5-8-6645291,"LINESTRING (503121744 128409858, 503125876 128408458, 503129681 128407192, 503131399 128406725)"
12,533936,520000,0,4-32-5-8-6645294,"LINESTRING (503131399 128406725, 503133893 128405559, 503140193 128403225, 503142566 128402060, 503144571 128400893, 503146493 128398260)"
13,533936,520000,0,4-32-5-8-6645297,"LINESTRING (503146493 128398260, 503147639 128395993, 503148212 128393294, 503147802 128390561, 503146780 128388261)"
14,533936,520000,0,4-32-5-8-6645300,"LINESTRING (503146780 128388261, 503138558 128378262, 503136472 128375562, 503135695 128373695, 503135368 128372729)"
15,533936,520000,0,4-32-5-8-6645303,"LINESTRING (503135368 128372729, 503135327 128372063, 503135900 128371129, 503142772 128367396, 503145963 128365697)"
16,533936,520000,0,4-32-5-8-6645306,"LINESTRING (503088378 128124991, 503092836 128125591)"
17,533936,520000,0,4-32-5-8-6645309,"LINESTRING (503447107 128411666, 503447312 128405766, 503446822 128397700)"
18,533936,520000,0,4-32-5-8-6645312,"LINESTRING (503145237 128111696, 503145319 128114695, 503144705 128120994, 503144828 128124594, 503144951 128126694, 503144827 128136392, 503144582 128138992, 503144336 128140892, 503149613 128140692, 503153785 128140592, 503155135 128140292, 503155872 128139592, 503156976 128137593, 503158449 128136193, 503160781 128133293, 503169739 128137893, 503175016 128140293, 503182379 128143826)"
19,533936,520000,0,4-32-5-8-6645315,"LINESTRING (503134349 128260909, 503127519 128260309, 503127109 128260009, 503127109 128253409, 503127273 128251210, 503127887 128246910, 503118438 128247010, 503109275 128246677, 503109398 128250509, 503109111 128250876, 503104816 128250876, 503102975 128250409, 503098108 128248176, 503092503 128245609, 503088372 128243742)"
20,533936,520000,0,4-32-5-8-6645318,"LINESTRING (503240126 128400328, 503238899 128405328, 503236117 128411661)"
21,533936,520000,0,4-32-5-8-6645321,"LINESTRING (503116427 128411658, 503121744 128409858)"
22,533936,520000,0,4-32-5-8-6645324,"LINESTRING (503131399 128406725, 503133116 128409291, 503134384 128411658)"
23,533936,520000,0,7-32-5-313-34707797,"LINESTRING (503260550 128131597, 503296178 128151161, 503322196 128119100)"
