,meshcode,elcode,attrnmno,objectid,geometry
0,533936,44C000,0,4-32-26-8-6641620,"LINESTRING (503353844 128383267, 503353557 128395432, 503353107 128396266, 503352453 128396531, 503340385 128395765, 503323696 128394465, 503314247 128393431, 503311302 128393231, 503288804 128393330, 503287495 128392997, 503286351 128392398, 503269333 128380898)"
1,533936,44C000,0,4-32-26-8-6641626,"LINESTRING (503309093 128407929, 503311302 128393231)"
2,533936,44C000,0,4-32-26-8-6641629,"LINESTRING (503088373 128222945, 503093650 128224212)"
3,533936,44C000,0,4-32-26-8-6641632,"LINESTRING (503291627 128376499, 503288804 128393564, 503286801 128403763, 503286023 128407796, 503285082 128408563, 503284591 128408896, 503283119 128409296, 503281646 128409763, 503279682 128410328, 503276983 128410962, 503274447 128411662)"
4,533936,44C000,0,4-32-26-8-6641635,"LINESTRING (503284591 128408896, 503287291 128411662)"
5,533936,44C000,0,4-32-26-8-6641638,"LINESTRING (503260866 128411662, 503260334 128410662, 503260334 128410428, 503264507 128408762, 503266675 128407928, 503267043 128407662, 503268680 128407096, 503269334 128406929, 503270439 128406496, 503270971 128406196, 503273138 128405263, 503273302 128405129, 503273874 128404863, 503274120 128404829, 503275142 128404429, 503276779 128403929, 503278702 128403363, 503280746 128403329, 503286801 128403763)"
6,533936,44C000,0,4-32-26-8-6641641,"LINESTRING (503286023 128407796, 503295758 128407696, 503298212 128407696, 503303366 128407663, 503309093 128407929, 503310361 128408229, 503310769 128408696, 503311056 128409329, 503311915 128411663)"
7,533936,44C000,0,4-32-26-8-6641644,"LINESTRING (503460854 128355773, 503465190 128355439, 503472430 128355273, 503473985 128355573, 503479875 128355407, 503483147 128355240, 503484579 128354874, 503490306 128354774, 503490838 128354774, 503491493 128355074, 503494070 128355474, 503495501 128355640, 503497137 128355640, 503499060 128355374, 503501105 128354974, 503505973 128352975, 503507446 128352508, 503508754 128352408, 503510309 128352508, 503511209 128352708, 503512804 128353541, 503513663 128354308, 503514645 128354608, 503517918 128355008, 503519063 128355108, 503520494 128355541, 503521599 128356241, 503523644 128356741, 503524544 128356841, 503527694 128356875, 503528431 128357141, 503528921 128357508, 503529698 128358508, 503530680 128359408, 503531825 128360075, 503533134 128360641, 503534852 128361108, 503535834 128361275, 503536816 128361275, 503538330 128361141)"
8,533936,44C000,0,4-32-26-8-6641647,"LINESTRING (503088370 128314268, 503091846 128315801, 503097369 128318168, 503101704 128320068, 503104199 128321100, 503121870 128328633)"
9,533936,44C000,0,4-32-26-8-6641650,"LINESTRING (503104199 128321100, 503104486 128318901, 503104527 128318034, 503104527 128315801, 503104486 128311302)"
10,533936,44C000,0,4-32-26-8-6641653,"LINESTRING (503145799 128366097, 503135614 128372063)"
11,533936,44C000,0,4-32-26-8-6641656,"LINESTRING (503292118 128374867, 503292322 128374267, 503292690 128373767, 503293795 128372667, 503306885 128359602)"
12,533936,44C000,0,4-32-26-8-6641659,"LINESTRING (503295758 128407696, 503296412 128411663)"
13,533936,44C000,0,4-32-26-8-6641662,"LINESTRING (503418721 128343639, 503420808 128345873, 503421053 128346539, 503420930 128347006, 503420440 128347439)"
14,533936,44C000,0,4-32-26-8-6641665,"LINESTRING (503216360 128406761, 503217424 128406627, 503220164 128405294, 503221309 128404661, 503220205 128402462, 503218733 128400028)"
15,533936,44C000,0,4-32-26-8-6641668,"LINESTRING (503146984 128387894, 503135082 128372996, 503135000 128372829, 503134959 128372663, 503135041 128372396, 503135614 128372063)"
16,533936,44C000,0,4-32-26-8-6641671,"LINESTRING (503151852 128384162, 503148662 128380428, 503153612 128376763)"
17,533936,44C000,0,4-32-26-8-6641674,"LINESTRING (503156802 128372796, 503157007 128372829, 503157375 128372763, 503157743 128372596, 503158480 128371863)"
18,533936,44C000,0,4-32-26-8-6641677,"LINESTRING (503418026 128348939, 503420440 128347439)"
19,533936,44C000,0,4-32-26-545-70876845,"LINESTRING (503268189 128402429, 503282137 128394730, 503286351 128392398)"
20,533936,44C000,0,4-32-26-675-785425,"LINESTRING (503088368 128352364, 503089268 128351897, 503090290 128351464, 503092090 128350964, 503093890 128350697, 503096427 128350464, 503097122 128350497, 503098144 128350597, 503099330 128350897, 503100271 128351364, 503101662 128352130, 503102480 128352464, 503103217 128352630, 503103789 128352664, 503105344 128352564, 503106571 128352430, 503108576 128351997, 503110620 128351564, 503111643 128351397, 503111970 128351430, 503112379 128351397, 503114138 128351130, 503115816 128350830, 503117534 128350697, 503122483 128350265, 503125346 128349998, 503127310 128349665, 503128946 128349465, 503131646 128349165, 503132260 128349065)"
