,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
0,533936,2,1,1,1,0,50,0,10000,
1,533936,3,1,1,1,1,50,0,10000,
2,533936,3,2,1,1,1,50,0,10000,
3,533936,4,1,1,1,0,50,0,10000,
4,533936,4,2,1,1,1,50,0,10000,
5,533936,119,1,1,1,0,40,0,10000,
6,533936,121,1,1,1,0,40,0,10000,
7,533936,122,1,2,1,2,40,0,2292,
8,533936,122,1,2,2,0,40,2292,10000,
9,533936,123,1,1,1,0,40,0,10000,
10,533936,126,1,1,1,1,60,0,10000,
11,533936,128,1,1,1,1,60,0,10000,
12,533936,129,1,1,1,0,60,0,10000,
13,533936,130,1,1,1,0,60,0,10000,
14,533936,131,1,1,1,0,60,0,10000,
15,533936,132,1,1,1,0,60,0,10000,
16,533936,133,1,1,1,0,30,0,10000,
17,533936,133,2,1,1,0,30,0,10000,
18,533936,135,1,1,1,0,60,0,10000,
19,533936,136,1,1,1,1,60,0,10000,
20,533936,141,1,1,1,0,60,0,10000,
21,533936,142,1,1,1,1,60,0,10000,
22,533936,144,1,1,1,0,60,0,10000,
23,533936,145,1,1,1,0,60,0,10000,
24,533936,146,1,1,1,1,60,0,10000,
25,533936,147,1,1,1,1,60,0,10000,
26,533936,151,1,1,1,1,60,0,10000,
27,533936,153,1,1,1,0,60,0,10000,
28,533936,154,1,1,1,0,60,0,10000,
29,533936,155,1,1,1,0,60,0,10000,
30,533936,157,1,1,1,1,60,0,10000,
31,533936,160,1,1,1,1,60,0,10000,
32,533936,163,1,1,1,0,60,0,10000,
33,533936,165,1,1,1,0,60,0,10000,
34,533936,166,1,1,1,0,60,0,10000,
35,533936,169,1,1,1,0,60,0,10000,
36,533936,170,1,1,1,0,60,0,10000,
37,533936,171,1,1,1,0,60,0,10000,
38,533936,176,1,1,1,0,60,0,10000,
39,533936,181,2,1,1,1,40,0,10000,
40,533936,182,1,1,1,1,50,0,10000,
41,533936,185,1,1,1,1,50,0,10000,
42,533936,186,1,1,1,0,50,0,10000,
43,533936,187,2,1,1,0,50,0,10000,
44,533936,188,2,1,1,1,50,0,10000,
45,533936,189,2,1,1,1,50,0,10000,
46,533936,190,2,1,1,1,50,0,10000,
47,533936,191,1,1,1,1,50,0,10000,
48,533936,191,2,1,1,1,50,0,10000,
49,533936,192,2,1,1,1,50,0,10000,
50,533936,193,2,1,1,0,50,0,10000,
51,533936,194,2,1,1,0,50,0,10000,
52,533936,195,2,1,1,1,50,0,10000,
53,533936,196,2,1,1,1,50,0,10000,
54,533936,197,2,1,1,1,50,0,10000,
55,533936,198,1,1,1,0,50,0,10000,
56,533936,198,2,1,1,0,50,0,10000,
57,533936,199,1,1,1,1,50,0,10000,
58,533936,199,2,1,1,1,50,0,10000,
59,533936,200,1,1,1,0,50,0,10000,
60,533936,200,2,1,1,1,50,0,10000,
61,533936,201,1,1,1,1,40,0,10000,
62,533936,201,2,1,1,1,40,0,10000,
63,533936,206,1,1,1,0,50,0,10000,
64,533936,206,2,1,1,1,50,0,10000,
65,533936,207,1,1,1,1,50,0,10000,
66,533936,207,2,1,1,1,50,0,10000,
67,533936,209,2,1,1,0,50,0,10000,
68,533936,210,2,1,1,1,50,0,10000,
69,533936,211,1,1,1,1,50,0,10000,
70,533936,211,2,1,1,1,50,0,10000,
71,533936,212,1,1,1,0,50,0,10000,
72,533936,212,2,1,1,1,50,0,10000,
73,533936,213,1,1,1,1,50,0,10000,
74,533936,213,2,1,1,1,50,0,10000,
75,533936,214,1,1,1,0,50,0,10000,
76,533936,214,2,1,1,0,50,0,10000,
77,533936,215,1,1,1,1,60,0,10000,
78,533936,216,1,1,1,0,40,0,10000,
79,533936,216,2,1,1,0,40,0,10000,
80,533936,248,1,1,1,0,40,0,10000,
81,533936,248,2,1,1,1,40,0,10000,
82,533936,263,1,1,1,1,50,0,10000,
83,533936,263,2,1,1,1,50,0,10000,
84,533936,264,1,1,1,1,50,0,10000,
85,533936,264,2,1,1,1,50,0,10000,
86,533936,265,1,1,1,1,50,0,10000,
87,533936,266,1,1,1,0,50,0,10000,
88,533936,266,2,1,1,0,50,0,10000,
89,533936,267,1,1,1,0,50,0,10000,
90,533936,267,2,1,1,0,50,0,10000,
91,533936,272,1,1,1,0,60,0,10000,
92,533936,274,1,1,1,0,40,0,10000,
93,533936,279,1,1,1,0,50,0,10000,
94,533936,279,2,1,1,1,50,0,10000,
95,533936,282,1,1,1,1,50,0,10000,
96,533936,283,1,1,1,0,50,0,10000,
97,533936,284,1,1,1,0,50,0,10000,
98,533936,285,1,1,1,1,50,0,10000,
99,533936,286,1,1,1,1,50,0,10000,
100,533936,287,1,1,1,1,50,0,10000,
101,533936,288,1,1,1,1,50,0,10000,
102,533936,289,1,1,1,1,50,0,10000,
103,533936,289,2,1,1,1,50,0,10000,
