,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,geometry
0,533936,2,1,1,1,50,503169381,128112030,
1,533936,119,1,1,1,40,503097965,128187074,
2,533936,121,1,1,1,40,503098068,128186367,
3,533936,122,1,1,1,40,503479024,128326227,
4,533936,123,1,1,1,40,503461416,128330501,
5,533936,129,1,1,1,60,503386372,128330306,
6,533936,130,1,1,1,60,503333726,128320354,
7,533936,132,1,1,1,60,503393896,128327910,
8,533936,133,1,1,1,30,503110143,128181761,
9,533936,133,2,1,1,30,503109934,128182391,
10,533936,135,1,1,1,60,503379303,128329597,
11,533936,153,1,1,1,60,503224164,128274569,
12,533936,155,1,1,1,60,503120832,128146705,
13,533936,163,1,1,1,60,503176342,128246910,
14,533936,165,1,1,1,60,503497626,128322007,
15,533936,169,1,1,1,60,503524765,128315281,
16,533936,170,1,1,1,60,503322258,128319798,
17,533936,186,1,1,1,50,503138302,128401312,
18,533936,187,2,1,1,50,503092122,128220020,
19,533936,193,2,1,1,50,503092128,128210641,
20,533936,194,2,1,1,50,503091903,128208874,
21,533936,198,1,2,1,50,503090006,128194158,
22,533936,198,1,2,2,50,503090300,128197665,
23,533936,198,2,3,1,50,503090949,128197459,
24,533936,198,2,3,2,50,503090683,128194295,
25,533936,198,2,3,3,50,503090728,128194290,
26,533936,200,1,2,1,50,503089035,128186085,
27,533936,200,1,2,2,50,503089494,128188857,
28,533936,206,1,1,1,50,503093387,128406432,
29,533936,209,2,1,1,50,503096308,128410383,
30,533936,212,1,1,1,50,503089509,128397839,
31,533936,214,1,1,1,50,503089744,128225797,
32,533936,214,2,1,1,50,503089465,128228095,
33,533936,216,1,1,1,40,503091125,128185258,
34,533936,216,2,1,1,40,503090544,128185725,
35,533936,248,1,1,1,40,503112480,128336833,
36,533936,266,1,1,1,50,503148570,128411502,
37,533936,266,2,1,1,50,503148567,128410744,
38,533936,267,1,1,1,50,503127836,128330261,
39,533936,267,2,1,1,50,503128285,128330927,
40,533936,272,1,1,1,60,503512807,128319728,
41,533936,274,1,1,1,40,503134370,128396673,
42,533936,279,1,1,1,50,503094491,128311213,
43,533936,283,1,1,1,50,503123156,128324573,
44,533936,284,1,1,1,50,503119185,128316564,
45,533936,295,1,1,1,50,503299605,128403851,
46,533936,296,1,1,1,50,503299683,128403109,
47,533936,312,1,1,1,50,503323356,128340855,
48,533936,314,1,1,1,50,503109355,128294546,
49,533936,315,1,1,1,50,503111804,128299360,
50,533936,316,1,1,1,50,503110170,128298756,
51,533936,318,1,1,1,50,503116978,128309609,
52,533936,328,1,1,1,50,503298454,128403939,
53,533936,333,1,1,1,50,503312494,128368022,
54,533936,339,1,1,1,50,503298218,128396212,
55,533936,345,1,3,1,50,503143707,128384293,
56,533936,345,1,3,2,50,503142923,128383319,
57,533936,345,1,3,3,50,503146628,128388103,
58,533936,352,1,1,1,50,503136586,128375436,
59,533936,355,1,1,1,50,503309849,128371651,
60,533936,356,1,1,1,50,503313108,128368558,
61,533936,357,1,1,1,50,503301119,128385159,
62,533936,363,1,1,1,50,503322194,128344583,
63,533936,368,1,1,1,50,503324022,128337294,
