,meshcode,fromlinkno,tolinkno,snodeno,tnodeno,enodeno,day,shour,ehour,sdate,edate,cartype,carwait,carthaba,carthigh,geometry
0,533936,6,1432,78,767,58,011111000,0800,2000,0101,1231,0,0,0,0,
1,533936,12,835,223,212,791,100000000,0000,2400,0101,1231,0,0,0,0,
2,533936,117,855,2370,819,2371,100000000,0000,2400,0101,1231,0,0,0,0,
3,533936,119,4201,3520,3519,3523,100000000,0000,2400,0101,1231,0,0,0,0,
4,533936,120,119,3521,3520,3519,100000000,0000,2400,0101,1231,0,0,0,0,
5,533936,120,5974,3521,3520,4824,100000000,0000,2400,0101,1231,0,0,0,0,
6,533936,130,7648,533,129,5970,100000000,0000,2400,0101,1231,0,0,0,0,
7,533936,133,3916,725,808,4234,100000000,0000,2400,0101,1231,0,0,0,0,
8,533936,162,1049,114,3923,3924,100000000,0000,2400,0101,1231,0,0,0,0,
9,533936,170,7290,4412,116,5752,100000000,0000,2400,0101,1231,0,0,0,0,
10,533936,170,7930,116,4412,5732,100000000,0000,2400,0101,1231,0,0,0,0,
11,533936,178,7233,98,110,5682,100000000,0000,2400,0101,1231,0,0,0,0,
12,533936,180,633,117,118,2064,100000000,0800,2000,0101,1231,0,0,0,0,
13,533936,181,6104,120,121,4879,100000000,0000,2400,0101,1231,0,0,0,0,
14,533936,181,6111,121,120,4879,100000000,0000,2400,0101,1231,0,0,0,0,
15,533936,182,265,124,125,626,000000111,1200,1700,1001,0331,0,0,0,0,
16,533936,182,265,124,125,626,000000111,1200,1800,0401,0930,0,0,0,0,
17,533936,182,1635,125,124,636,011111100,2200,2400,0101,1231,0,0,0,0,
18,533936,182,1635,125,124,636,001111110,0000,0100,0101,1231,0,0,0,0,
19,533936,184,1438,420,421,2052,100000000,0000,2400,0101,1231,0,0,0,0,
20,533936,185,182,422,124,125,000000111,1200,1700,1001,0331,0,0,0,0,
21,533936,185,182,422,124,125,000000111,1200,1800,0401,0930,0,0,0,0,
22,533936,185,1635,422,124,636,011111100,2200,2400,0101,1231,0,0,0,0,
23,533936,185,1635,422,124,636,001111110,0000,0100,0101,1231,0,0,0,0,
24,533936,185,1801,124,422,2068,100000000,0800,2000,0101,1231,0,0,0,0,
25,533936,185,1801,124,422,2068,011111100,2200,2400,0101,1231,0,0,0,0,
26,533936,185,1801,124,422,2068,001111110,0000,0100,0101,1231,0,0,0,0,
27,533936,186,1801,119,422,2068,011111100,2200,2400,0101,1231,0,0,0,0,
28,533936,186,1801,119,422,2068,001111110,0000,0100,0101,1231,0,0,0,0,
29,533936,186,1802,119,422,2874,100000000,0800,2000,0101,1231,0,0,0,0,
30,533936,186,8510,422,119,6478,100000000,0800,2000,0101,1231,0,0,0,0,
31,533936,187,4849,444,443,797,100000000,0000,2400,0101,1231,0,0,0,0,
32,533936,191,2742,748,747,2752,100000000,0000,2400,0101,1231,0,0,0,0,
33,533936,199,5658,807,2403,19,100000000,0000,2400,0101,1231,0,0,0,0,
34,533936,202,9291,2528,419,2843,100000000,0000,2400,0101,1231,0,0,0,0,
35,533936,205,2711,2048,2530,2717,100000000,0800,2000,0101,1231,0,0,0,0,
36,533936,205,3678,2048,2530,2716,100000000,0800,2000,0101,1231,0,0,0,0,
37,533936,206,5023,1814,746,1824,100000000,0000,2400,0101,1231,0,0,0,0,
38,533936,211,3591,2603,2621,4549,100000000,0800,2000,0101,1231,0,0,0,0,
39,533936,212,3514,2621,1811,48,100000000,0000,2400,0101,1231,0,0,0,0,
40,533936,215,5943,126,3517,4828,100000000,0000,2400,0101,1231,0,0,0,0,
41,533936,219,9291,375,2843,419,100000000,0000,2400,0101,1231,0,0,0,0,
42,533936,222,1438,2723,2052,421,100000000,0000,2400,0101,1231,0,0,0,0,
43,533936,226,3678,2808,2716,2530,100000000,0800,2000,0101,1231,0,0,0,0,
44,533936,230,1227,2029,685,686,100000000,0000,2400,0101,1231,0,0,0,0,
45,533936,234,1227,1912,686,685,100000000,0000,2400,0101,1231,0,0,0,0,
46,533936,236,3680,2027,2698,2699,100000000,0800,2000,0101,1231,0,0,0,0,
47,533936,237,3680,2691,2699,2698,100000000,0800,2000,0101,1231,0,0,0,0,
48,533936,238,2703,2698,2692,2691,100000000,0000,2400,0101,1231,0,0,0,0,
49,533936,239,2703,2614,2691,2692,100000000,0000,2400,0101,1231,0,0,0,0,
50,533936,240,1439,2692,1431,2614,100000000,0000,2400,0101,1231,0,0,0,0,
51,533936,243,5124,1427,2656,2655,100000000,0000,2400,0101,1231,0,0,0,0,
52,533936,244,5116,2656,2647,2646,100000000,0800,2000,0101,1231,0,0,0,0,
53,533936,244,5712,2656,2647,2648,100000000,0800,2000,0101,1231,0,0,0,0,
54,533936,247,5124,2646,2655,2656,100000000,0000,2400,0101,1231,0,0,0,0,
55,533936,248,6104,2413,121,4879,100000000,0000,2400,0101,1231,0,0,0,0,
56,533936,249,181,1417,121,120,100000000,0000,2400,0101,1231,0,0,0,0,
57,533936,252,181,1380,120,121,100000000,0000,2400,0101,1231,0,0,0,0,
58,533936,256,670,1374,2423,2424,100000000,0000,2400,0101,1231,0,0,0,0,
59,533936,258,670,1382,2424,2423,100000000,0000,2400,0101,1231,0,0,0,0,
60,533936,260,2332,2415,1388,1387,100000000,0000,2400,0101,1231,0,0,0,0,
61,533936,261,2454,43,2415,2416,100000000,0000,2400,0101,1231,0,0,0,0,
62,533936,262,2454,1387,2416,2415,100000000,0000,2400,0101,1231,0,0,0,0,
63,533936,264,2392,3724,1811,1810,100000000,0000,2400,0101,1231,0,0,0,0,
64,533936,265,182,626,125,124,000000111,1200,1700,1001,0331,0,0,0,0,
65,533936,265,182,626,125,124,000000111,1200,1800,0401,0930,0,0,0,0,
66,533936,265,266,125,626,4591,000000111,1200,1700,1001,0331,0,0,0,0,
67,533936,265,266,125,626,4591,000000111,1200,1800,0401,0930,0,0,0,0,
68,533936,265,1665,125,626,2620,011111100,2200,2400,0101,1231,0,0,0,0,
69,533936,265,1665,125,626,2620,001111110,0000,0100,0101,1231,0,0,0,0,
70,533936,266,265,4591,626,125,000000111,1200,1700,1001,0331,0,0,0,0,
71,533936,266,265,4591,626,125,000000111,1200,1800,0401,0930,0,0,0,0,
72,533936,266,1665,4591,626,2620,011111100,2200,2400,0101,1231,0,0,0,0,
73,533936,266,1665,4591,626,2620,001111110,0000,0100,0101,1231,0,0,0,0,
