,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,533936,5,1,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503511658 128392770, 503511126 128391203, 503507035 128391536, 503506299 128391803, 503501758 128392170, 503500082 128392570, 503494436 128393002, 503494477 128393169, 503493945 128393235, 503493904 128393035, 503492963 128393135, 503492922 128393002, 503492391 128393069, 503492595 128394202, 503492513 128395002, 503492759 128396835, 503492882 128397235, 503493127 128397635, 503493291 128398202, 503493577 128398869, 503493863 128399402, 503496072 128402001, 503499508 128405368, 503499753 128405401, 503503394 128402669, 503508549 128398669, 503512516 128395503, 503512270 128394503, 503511658 128392770))"
1,533936,5,2,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503488995 128411667, 503489445 128411600, 503489609 128411667, 503490304 128411667, 503490059 128411500, 503492063 128411167, 503499099 128405834, 503499099 128405701, 503496236 128402968, 503496032 128402701, 503495868 128402601, 503494722 128401434, 503493741 128400301, 503493332 128399702, 503492841 128398769, 503492268 128397435, 503491941 128395002, 503491695 128394435, 503491572 128393369, 503491409 128393269, 503484210 128393835, 503482737 128393769, 503475415 128394335, 503475252 128394502, 503476151 128396501, 503476028 128396701, 503476478 128397334, 503476478 128397568, 503477705 128399868, 503478401 128400868, 503478851 128401834, 503479014 128402401, 503483922 128411667, 503488995 128411667))"
2,533936,5,3,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503118638 128345998, 503118884 128344098, 503118966 128341899, 503118679 128341432, 503117820 128340266, 503116634 128338866, 503114180 128336632, 503113362 128336932, 503112462 128337066, 503112176 128337499, 503114547 128343631, 503114875 128345931, 503115734 128350764, 503116102 128350797, 503119170 128350565, 503122524 128350231, 503122034 128348498, 503121338 128346731, 503118597 128346631, 503118638 128345998))"
3,533936,5,4,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503109230 128337766, 503107676 128338199, 503101336 128340431, 503100886 128340331, 503097818 128340598, 503097736 128340665, 503099126 128349297, 503100967 128349864, 503101335 128350297, 503102848 128350930, 503103339 128351030, 503103871 128351030, 503106612 128350897, 503108739 128350630, 503109107 128350364, 503110007 128350064, 503110497 128349964, 503113688 128349631, 503114016 128349265, 503113525 128346698, 503113320 128345065, 503113075 128343731, 503110826 128337832, 503110744 128337666, 503110335 128337466, 503109230 128337766))"
4,533936,5,5,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503088370 128315534, 503090209 128316301, 503101458 128321167, 503104036 128321567, 503105018 128321867, 503113321 128325433, 503111889 128322434, 503108127 128315001, 503107922 128314901, 503106695 128314868, 503103177 128314934, 503102399 128314834, 503093891 128311101, 503093564 128311134, 503091029 128311901, 503088942 128312601, 503088533 128312634, 503088370 128312701, 503088370 128315534))"
5,533936,5,6,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503491409 128392102, 503491327 128391003, 503491450 128390436, 503491123 128387436, 503490837 128385803, 503490469 128385570, 503489119 128385770, 503487728 128386136, 503486869 128386436, 503485846 128386936, 503485437 128387203, 503484333 128387270, 503477828 128391269, 503474679 128393102, 503474556 128393469, 503474638 128393669, 503478728 128393335, 503479096 128393269, 503480692 128393202, 503482573 128393035, 503484128 128392702, 503487851 128392435, 503491409 128392102))"
6,533936,5,7,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503510717 128390536, 503510962 128389404, 503510390 128383071, 503509735 128382671, 503491901 128385336, 503491614 128385670, 503491737 128386736, 503491696 128387370, 503492022 128390070, 503492350 128392135, 503492922 128392069, 503493168 128391869, 503493045 128390670, 503493822 128390570, 503494272 128390603, 503494395 128391836, 503499877 128391403, 503500900 128391470, 503501022 128391370, 503501800 128391470, 503506299 128391070, 503506708 128390903, 503510717 128390536))"
7,533936,5,8,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503088373 128219945, 503090991 128220679, 503091318 128220412, 503091563 128216213, 503091277 128215846, 503088374 128214880, 503088373 128219945))"
8,533936,5,9,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503088374 128200515, 503089233 128200715, 503090174 128200915, 503090337 128200815, 503090460 128200715, 503090337 128198882, 503089560 128192083, 503088906 128185517, 503088579 128185250, 503088375 128185217, 503088374 128200515))"
9,533936,5,10,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((503088374 128214213, 503088578 128214280, 503091195 128215180, 503091523 128214980, 503090664 128201947, 503090296 128201581, 503088374 128201114, 503088374 128214213))"
