,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,533936,1,1,22F300,,,,,0,0,4-32-11-8-6642405,,"POLYGON ((503242297 128288841, 503240907 128292208, 503241479 128292575, 503242461 128292975, 503242993 128293175, 503243934 128293441, 503244711 128293608, 503245366 128293708, 503246307 128293741, 503247738 128290375, 503246961 128289975, 503246266 128289675, 503245038 128289275, 503244711 128289208, 503244179 128289075, 503243279 128288941, 503242788 128288875, 503242297 128288841))"
1,533936,1,2,22F300,,,,,0,0,4-32-11-8-6642410,,"POLYGON ((503092381 128241343, 503091399 128241077, 503090949 128240977, 503089967 128240677, 503089231 128242343, 503090172 128242643, 503090131 128242743, 503090622 128242910, 503090581 128243076, 503091644 128243342, 503091972 128242477, 503092094 128242177, 503092381 128241343))"
2,533936,1,3,22F300,,,,,0,0,4-32-11-8-6642415,,"POLYGON ((503093853 128239710, 503093485 128240643, 503092953 128241943, 503092176 128243842, 503093485 128244209, 503093894 128243243, 503094262 128242310, 503094631 128241377, 503095162 128240043, 503093853 128239710))"
3,533936,1,4,22F300,,,,,0,0,4-32-11-8-6642420,,"POLYGON ((503095203 128243377, 503095572 128242710, 503096553 128240910, 503095612 128240577, 503094631 128242410, 503095367 128242677, 503095285 128242777, 503094631 128242577, 503094385 128243110, 503095203 128243377))"
4,533936,1,5,22F300,,,,,0,0,4-32-11-8-6642425,,"POLYGON ((503095408 128244742, 503096144 128245042, 503096553 128245209, 503097372 128245542, 503097453 128245409, 503097617 128245476, 503098190 128244510, 503098558 128244677, 503098803 128244310, 503098558 128244210, 503098476 128244310, 503097249 128243743, 503097167 128243543, 503096881 128243377, 503096553 128243277, 503096349 128243210, 503095408 128244742))"
5,533936,1,6,22F300,,,,,0,0,4-32-11-8-6642430,,"POLYGON ((503099949 128241977, 503099785 128241910, 503099867 128241843, 503099744 128241777, 503099826 128241677, 503099049 128241343, 503099008 128241443, 503098844 128241377, 503098762 128241477, 503098681 128241443, 503098517 128241377, 503098435 128241477, 503097658 128242643, 503099376 128243510, 503099581 128243310, 503099744 128243110, 503099744 128242843, 503099622 128242677, 503099540 128242610, 503099949 128241977))"
6,533936,1,7,22F300,,,,,0,0,4-32-11-8-6642435,,"POLYGON ((503100644 128241543, 503100685 128241477, 503100767 128241510, 503100767 128241477, 503100890 128241510, 503101053 128241177, 503101135 128241210, 503101585 128240110, 503101749 128240177, 503101994 128239710, 503101749 128239643, 503101503 128239543, 503101585 128239377, 503099662 128238810, 503099581 128239043, 503099212 128238943, 503099090 128239210, 503098885 128239177, 503098803 128239377, 503098967 128239410, 503098844 128239643, 503099253 128239777, 503099212 128239843, 503099499 128239943, 503100194 128240177, 503100440 128240243, 503100153 128240843, 503098844 128240477, 503098803 128240610, 503098190 128240443, 503098108 128240643, 503098067 128240643, 503098026 128240743, 503099826 128241277, 503099908 128241177, 503100112 128241243, 503100072 128241343, 503100644 128241543))"
7,533936,1,8,22F300,,,,,0,0,4-32-11-8-6642440,,"POLYGON ((503101381 128237510, 503101381 128237444, 503101544 128237478, 503101626 128237278, 503101708 128237244, 503101749 128237211, 503101708 128237111, 503102035 128236344, 503101912 128236311, 503101912 128236244, 503100644 128235844, 503100440 128235911, 503100317 128236111, 503100072 128236044, 503099744 128236844, 503099990 128236911, 503099949 128237011, 503100194 128237078, 503100153 128237143, 503101381 128237510))"
8,533936,1,9,22F300,,,,,0,0,4-32-11-8-6642445,,"POLYGON ((503097331 128235444, 503096799 128235278, 503096676 128235578, 503097208 128235744, 503097576 128235844, 503097658 128235778, 503097903 128235844, 503097862 128235944, 503098272 128236044, 503098394 128235744, 503098681 128235078, 503097658 128234744, 503097617 128234811, 503097331 128235444))"
9,533936,1,10,22F300,,,,,0,0,4-32-11-8-6642450,,"POLYGON ((503093199 128233611, 503092626 128234978, 503093935 128235344, 503094017 128235111, 503094222 128234644, 503094917 128234844, 503094590 128235643, 503094712 128235677, 503094672 128235843, 503095408 128236043, 503095449 128235910, 503095612 128235977, 503096267 128234511, 503095203 128234211, 503093199 128233611))"
