,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,533936,2,1,44A000,,,,,0,0,4-32-26-8-6641680,,"POLYGON ((503324811 128159027, 503328616 128153828, 503323953 128151328, 503320148 128156495, 503320926 128156928, 503321458 128156295, 503321539 128156361, 503321008 128156995, 503324811 128159027))"
1,533936,2,2,44A000,,,,,0,0,4-32-26-8-6641684,,"POLYGON ((503319658 128156228, 503323462 128151062, 503318839 128148496, 503314953 128153761, 503315771 128154195, 503316262 128153561, 503316344 128153595, 503315894 128154228, 503318226 128155528, 503318553 128155628, 503319658 128156228))"
2,533936,2,3,438000,,,,,0,2630,4-32-26-8-6641700,,"POLYGON ((503458316 128395534, 503458439 128397234, 503458766 128401933, 503459461 128411666, 503464738 128411666, 503464656 128410766, 503464288 128404433, 503464002 128400001, 503463674 128396068, 503463634 128395501, 503463593 128395101, 503463552 128394801, 503463512 128393868, 503462898 128385302, 503462407 128378470, 503461875 128370704, 503457172 128377736, 503457254 128377903, 503457254 128378236, 503457336 128379070, 503457416 128380203, 503457498 128381603, 503457621 128383003, 503457662 128384069, 503457785 128385402, 503457866 128386469, 503457948 128388035, 503458071 128389469, 503458153 128390869, 503458275 128392401, 503458398 128393934, 503458398 128394268, 503458275 128395101, 503458316 128395534))"
3,533936,2,4,438000,,,,,0,2631,4-32-26-8-6641704,,"POLYGON ((503200244 128386663, 503199303 128386029, 503198608 128385529, 503197912 128385063, 503197217 128384629, 503197135 128384429, 503197135 128384263, 503197135 128384196, 503197217 128383963, 503197217 128383929, 503196930 128383729, 503196848 128383796, 503196767 128383796, 503196685 128383829, 503196603 128383863, 503196317 128383863, 503196235 128383863, 503196071 128383796, 503195662 128383496, 503195008 128383029, 503194312 128382496, 503193454 128381896, 503192718 128381396, 503191736 128380629, 503188545 128378429, 503180691 128373097, 503180814 128372964, 503180282 128372597, 503180200 128372497, 503179055 128371597, 503178196 128370997, 503178237 128370930, 503177910 128370697, 503177828 128370797, 503176805 128370097, 503170711 128374896, 503173205 128376596, 503176437 128378763, 503176887 128378429, 503181019 128381963, 503180569 128382296, 503181591 128383163, 503181141 128383596, 503181673 128383963, 503184168 128385762, 503184495 128385495, 503185640 128386362, 503186090 128386695, 503185886 128386862, 503186295 128387095, 503187522 128387762, 503187727 128387562, 503192267 128389895, 503195703 128391662, 503198689 128392862, 503201225 128395395, 503201347 128395362, 503202329 128396328, 503202247 128396395, 503205152 128398895, 503206666 128401361, 503207442 128402694, 503208792 128405561, 503209528 128406961, 503211656 128411126, 503211778 128411393, 503211860 128411660, 503218159 128411661, 503217955 128411394, 503217668 128410961, 503217259 128409994, 503216237 128407561, 503216278 128407161, 503216360 128406761, 503216196 128406294, 503214519 128402361, 503214151 128401462, 503213946 128400228, 503213824 128399962, 503213169 128398628, 503213046 128398495, 503207320 128392395, 503205397 128390329, 503204211 128389496, 503201144 128387263, 503200244 128386663))"
4,533936,2,5,44A000,,,,,0,0,4-32-26-8-6641728,,"POLYGON ((503149071 128374929, 503149030 128374963, 503148948 128375029, 503148907 128375129, 503148948 128375196, 503149071 128375263, 503149357 128375129, 503149521 128375229, 503149807 128375263, 503149971 128375329, 503150257 128375629, 503150625 128375629, 503151116 128375729, 503151689 128375529, 503151852 128375529, 503152425 128375496, 503152671 128375396, 503152875 128375429, 503153162 128375529, 503153366 128375563, 503153571 128375563, 503153693 128375563, 503153939 128375463, 503154348 128375396, 503154512 128375463, 503154634 128375596, 503154798 128375663, 503155125 128375763, 503155330 128375863, 503155493 128375929, 503155657 128376029, 503156025 128376263, 503156107 128376496, 503156312 128376563, 503156434 128376596, 503156639 128376563, 503156721 128376496, 503156802 128376429, 503156884 128376363, 503156925 128376196, 503157007 128376063, 503157048 128375996, 503157171 128375863, 503157252 128375796, 503157457 128375696, 503157580 128375629, 503157662 128375529, 503157702 128375329, 503157743 128375129, 503157784 128374829, 503157580 128374696, 503157539 128374596, 503157539 128374429, 503157416 128374396, 503157089 128374596, 503157007 128374663, 503156843 128374929, 503156721 128374996, 503156598 128375063, 503156516 128375063, 503156393 128375029, 503155821 128374963, 503155698 128374896, 503155575 128374696, 503155493 128374663, 503155371 128374596, 503155166 128374563, 503154921 128374529, 503154266 128374563, 503154062 128374563, 503153939 128374496, 503153693 128374329, 503153366 128374329, 503152793 128374296, 503152262 128374296, 503152180 128374263, 503151975 128374229, 503151689 128374429, 503151525 128374496, 503151402 128374496, 503151280 128374463, 503151116 128374363, 503150993 128374296, 503150830 128374296, 503150380 128374129, 503149971 128374163, 503149807 128374196, 503149275 128374229, 503149316 128374329, 503149357 128374429, 503149357 128374563, 503149316 128374629, 503149316 128374729, 503149275 128374763, 503149193 128374863, 503149071 128374929))"
5,533936,2,6,44A000,,,,,0,0,4-32-26-8-6641732,,"POLYGON ((503138640 128373063, 503138558 128373029, 503138435 128373029, 503137903 128373129, 503137822 128373129, 503137249 128373329, 503137208 128373363, 503136758 128373496, 503136635 128373595, 503136553 128373628, 503136431 128373728, 503136431 128373862, 503136472 128373928, 503136676 128374162, 503137208 128374728, 503137413 128374962, 503137658 128375295, 503137822 128375428, 503138026 128375462, 503138640 128375562, 503138803 128375595, 503138885 128375628, 503139335 128375462, 503139417 128375428, 503139499 128375395, 503139949 128375062, 503139990 128374962, 503140153 128374862, 503140276 128374795, 503140399 128374762, 503140603 128374628, 503140685 128374529, 503140603 128374363, 503140399 128374096, 503140113 128373763, 503139744 128373396, 503139703 128373363, 503139335 128373363, 503138967 128373429, 503138763 128373463, 503138558 128373463, 503138353 128373463, 503138272 128373396, 503138272 128373363, 503138313 128373263, 503138394 128373229, 503138640 128373163, 503138640 128373063))"
6,533936,2,7,44A000,,,,,0,0,4-32-26-8-6641736,,"POLYGON ((503147885 128371396, 503147844 128371263, 503147640 128371029, 503147231 128370596, 503147108 128370429, 503147026 128370296, 503146985 128370196, 503146985 128370129, 503147026 128370096, 503147026 128370029, 503147067 128369963, 503147149 128369896, 503147313 128369829, 503147435 128369763, 503147558 128369763, 503148213 128369563, 503148785 128369329, 503148867 128369363, 503149153 128369829, 503149481 128370296, 503149563 128370496, 503149644 128370629, 503149726 128370729, 503149808 128370829, 503149889 128370896, 503150012 128370963, 503150134 128370996, 503150298 128371029, 503150789 128370929, 503150789 128370996, 503150748 128371096, 503150707 128371229, 503150707 128371329, 503150789 128371496, 503150952 128371629, 503150993 128371663, 503151116 128371729, 503151443 128371863, 503151893 128372063, 503152098 128372096, 503152221 128372129, 503152302 128372129, 503152466 128372063, 503152793 128371863, 503152916 128371796, 503153039 128371863, 503153080 128371963, 503153162 128372063, 503153121 128372229, 503153121 128372296, 503153162 128372429, 503153162 128372496, 503153284 128372563, 503153448 128372596, 503153530 128372629, 503153857 128372663, 503154143 128372729, 503154307 128372763, 503154430 128372796, 503154512 128372829, 503154716 128372929, 503154839 128372996, 503154962 128373096, 503155125 128373196, 503155289 128373296, 503155452 128373363, 503155575 128373396, 503155698 128373396, 503155821 128373396, 503156025 128373329, 503156107 128373296, 503156189 128373263, 503156352 128373163, 503156434 128373063, 503156557 128373029, 503156680 128372963, 503156802 128372796, 503156680 128372496, 503156434 128372129, 503156312 128372029, 503156189 128371896, 503156025 128371829, 503155902 128371796, 503155657 128371763, 503155452 128371729, 503155248 128371696, 503155043 128371663, 503154798 128371596, 503154307 128371463, 503153980 128371196, 503153816 128371096, 503153734 128371029, 503153652 128370963, 503153571 128370896, 503153448 128370863, 503153366 128370829, 503153243 128370796, 503153162 128370829, 503153039 128370863, 503152916 128370963, 503152834 128371029, 503152752 128371096, 503152630 128371196, 503152384 128371296, 503152221 128371329, 503152057 128371296, 503151852 128371229, 503151730 128371129, 503151689 128370763, 503151730 128370663, 503151852 128370563, 503152016 128370463, 503152016 128370363, 503151975 128370196, 503151934 128370163, 503151893 128370096, 503151852 128370029, 503151771 128369963, 503151607 128369863, 503150993 128369629, 503150707 128369396, 503149890 128368929, 503149481 128368696, 503149276 128368663, 503149072 128368729, 503148867 128368696, 503148703 128368696, 503148581 128368763, 503148499 128368863, 503148376 128368929, 503148253 128369029, 503148131 128369063, 503147967 128369129, 503147844 128369163, 503147231 128369296, 503147067 128369363, 503146863 128369429, 503146699 128369463, 503146535 128369463, 503146413 128369429, 503146249 128369396, 503146167 128369329, 503146126 128369296, 503146003 128369129, 503145963 128368996, 503145881 128368896, 503145758 128368729, 503145676 128368629, 503145553 128368529, 503145390 128368429, 503145308 128368396, 503145185 128368396, 503145063 128368363, 503144735 128368396, 503144122 128368629, 503143999 128368629, 503143876 128368629, 503143753 128368663, 503143590 128368729, 503143508 128368796, 503143385 128368896, 503143344 128368963, 503143303 128369063, 503143303 128369129, 503143385 128369296, 503143426 128369396, 503143426 128369463, 503143344 128369563, 503143263 128369629, 503143181 128369663, 503142976 128369663, 503142853 128369663, 503142731 128369796, 503142608 128369829, 503142444 128369896, 503142403 128369929, 503142322 128369963, 503142281 128369996, 503142281 128370029, 503142281 128370063, 503142403 128370096, 503142485 128370129, 503142403 128370196, 503142281 128370296, 503141790 128370496, 503141626 128370663, 503141544 128370929, 503141544 128371063, 503141626 128371229, 503141708 128371329, 503141790 128371396, 503141913 128371529, 503142076 128371529, 503142281 128371529, 503142363 128371496, 503142526 128371429, 503142649 128371429, 503142772 128371463, 503142894 128371496, 503142935 128371629, 503142894 128371763, 503142567 128371996, 503142485 128372163, 503142444 128372229, 503142444 128372329, 503142444 128372429, 503142444 128372496, 503142485 128372663, 503142526 128372729, 503142608 128372829, 503142772 128372896, 503142976 128372996, 503143099 128373129, 503143222 128373229, 503143303 128373296, 503143467 128373496, 503143672 128373729, 503143713 128373829, 503143876 128374029, 503143917 128374163, 503143999 128374396, 503144326 128374363, 503144572 128374263, 503144613 128374263, 503144653 128374029, 503144735 128373863, 503144776 128373796, 503144940 128373696, 503145063 128373629, 503145144 128373563, 503145308 128373463, 503145431 128373363, 503145553 128373329, 503145799 128373229, 503146003 128373163, 503146167 128373063, 503146331 128372929, 503146617 128372763, 503146781 128372663, 503146903 128372596, 503147067 128372529, 503147190 128372496, 503147435 128372463, 503147722 128372363, 503147926 128372296, 503148049 128372163, 503148049 128371996, 503148008 128371896, 503147926 128371829, 503147763 128371863, 503147763 128371763, 503147926 128371696, 503147926 128371629, 503147926 128371496, 503147885 128371396))"
7,533936,2,8,44B000,,,,,0,0,4-32-26-8-6641740,,"POLYGON ((503208426 128342034, 503208630 128342034, 503209980 128342934, 503211208 128343734, 503212517 128344601, 503220861 128350267, 503221066 128350400, 503221434 128350633, 503223070 128351733, 503223397 128351967, 503235218 128359900, 503239145 128362533, 503238941 128364466, 503238286 128370132, 503238286 128370266, 503238245 128371099, 503238573 128372165, 503237755 128378465, 503237264 128382397, 503237059 128383830, 503243808 128379131, 503243726 128378965, 503244299 128374131, 503244544 128372699, 503245117 128372766, 503245363 128371566, 503245240 128371532, 503245404 128370732, 503245485 128370366, 503245322 128370332, 503246385 128362967, 503246794 128360400, 503247081 128360000, 503246835 128359833, 503246876 128359533, 503247449 128358733, 503247040 128358433, 503247081 128357800, 503247204 128357633, 503247408 128357700, 503247531 128357733, 503248063 128357033, 503247940 128356967, 503247817 128356967, 503247285 128356600, 503247408 128355768, 503252685 128350568, 503242827 128343902, 503241682 128344002, 503240618 128343269, 503235219 128339635, 503234196 128338935, 503232846 128338035, 503231783 128338202, 503219267 128329736, 503218285 128329136, 503208427 128322436, 503207813 128323003, 503203231 128319870, 503203477 128319636, 503201473 128318270, 503201800 128317936, 503194069 128312704, 503193579 128312971, 503182042 128325769, 503191410 128332102, 503203109 128340001, 503206422 128342234, 503208426 128342034))"
8,533936,2,9,425000,,,,,0,2632,4-32-26-8-6641744,,"POLYGON ((503457172 128377736, 503461875 128370704, 503460854 128355773, 503460077 128346040, 503459627 128339341, 503459546 128338041, 503458973 128330209, 503458973 128329609, 503458851 128328309, 503458810 128327542, 503458769 128326777, 503457869 128314511, 503457910 128314111, 503458115 128313578, 503427599 128316243, 503428090 128322476, 503428703 128330175, 503428867 128332108, 503428908 128332408, 503429725 128338174, 503430461 128346039, 503431075 128353173, 503433569 128353106, 503433774 128355538, 503433283 128355572, 503433365 128356838, 503433938 128357338, 503434060 128358638, 503434347 128362272, 503435614 128378503, 503436964 128396100, 503436923 128397033, 503436923 128397567, 503437045 128397567, 503437945 128407466, 503438190 128410932, 503438231 128411666, 503456066 128411666, 503454962 128395968, 503455330 128395934, 503455330 128395801, 503454962 128395501, 503454921 128395368, 503454839 128394568, 503454675 128392001, 503454553 128389769, 503454430 128388235, 503454226 128384569, 503455454 128381370, 503455331 128380636, 503453940 128380703, 503453776 128377370, 503455945 128377236, 503456067 128377236, 503456272 128377270, 503456395 128377303, 503456681 128377403, 503457172 128377736))"
9,533936,2,10,44A000,,,,,0,0,4-32-26-8-6641748,,"POLYGON ((503530151 128305147, 503529169 128305247, 503528228 128305381, 503527901 128305414, 503526837 128305547, 503526060 128305714, 503525405 128305814, 503525078 128305847, 503524464 128305847, 503524178 128305847, 503523483 128305814, 503523155 128305814, 503522705 128305881, 503522337 128305914, 503522255 128305914, 503522214 128305914, 503521969 128305747, 503521723 128305581, 503521438 128305347, 503521193 128305181, 503520947 128305081, 503520661 128305014, 503520415 128304947, 503519965 128305081, 503519147 128305214, 503518820 128305314, 503518329 128305414, 503518411 128305614, 503518861 128305514, 503519106 128305547, 503519188 128305614, 503519393 128305814, 503519802 128306214, 503519924 128306314, 503520211 128306481, 503520374 128306547, 503520538 128306514, 503520661 128306414, 503520988 128306181, 503521110 128306081, 503521233 128306014, 503521273 128305981, 503521355 128305947, 503521519 128306014, 503521601 128306047, 503521601 128306147, 503521478 128306581, 503521478 128306647, 503521478 128306947, 503521560 128307247, 503521683 128307413, 503521887 128307646, 503521887 128307746, 503521805 128307880, 503521683 128307913, 503521314 128307813, 503520864 128307646, 503520783 128307646, 503520742 128307746, 503520823 128307846, 503521355 128308146, 503521519 128308280, 503521683 128308446, 503521805 128308613, 503521969 128308780, 503522092 128308880, 503522214 128308946, 503522378 128309013, 503522501 128309013, 503522746 128309046, 503522951 128309046, 503523155 128309013, 503523401 128308946, 503523483 128308913, 503523687 128308813, 503523810 128308713, 503523933 128308580, 503524014 128308446, 503524055 128308280, 503524096 128308080, 503524055 128307946, 503523933 128307614, 503523646 128307081, 503523646 128306947, 503523769 128306747, 503523933 128306681, 503524055 128306647, 503524955 128306781, 503525283 128306814, 503525733 128306847, 503526060 128306881, 503526387 128306914, 503526673 128306914, 503526960 128306881, 503527164 128306881, 503527369 128306847, 503527492 128306881, 503527614 128306914, 503527983 128307081, 503528146 128307181, 503528351 128307214, 503528514 128307247, 503528719 128307247, 503528801 128307114, 503528760 128307014, 503528719 128306881, 503528637 128306714, 503528719 128306647, 503528883 128306647, 503529128 128306647, 503529414 128306647, 503529987 128306614, 503530110 128306581, 503530110 128306414, 503529987 128306281, 503529783 128306147, 503529619 128306047, 503529660 128305947, 503529864 128305781, 503530233 128305581, 503530519 128305481, 503530683 128305314, 503530683 128305114, 503530355 128305114, 503530151 128305147))"
