,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,533936,1,91,182100,,,,,0,0,4-32-24-5-9292392,,"POLYGON ((503538328 128388872, 503535669 128389038, 503535751 128389705, 503538328 128389538, 503538328 128388872))"
1,533936,1,92,122100,,,,,0,0,4-32-24-8-6401769,,"POLYGON ((503125837 128362163, 503126942 128361964, 503125469 128356497, 503124487 128356664, 503125837 128362163))"
2,533936,1,93,192100,,,,,0,0,4-32-24-8-6401779,,"POLYGON ((503124365 128358397, 503123505 128358464, 503123996 128360964, 503124937 128360864, 503124365 128358397))"
3,533936,1,94,182100,,,,,0,0,4-32-24-8-6401784,,"POLYGON ((503488996 128392602, 503489037 128393202, 503496522 128392603, 503496441 128391970, 503488996 128392602))"
4,533936,1,95,132100,,,,,0,0,4-32-24-8-6401789,,"POLYGON ((503380680 128326440, 503380803 128325874, 503373480 128325140, 503373398 128325774, 503380680 128326440))"
5,533936,1,96,192100,,,,,0,0,4-32-24-8-6401794,,"POLYGON ((503204586 128222683, 503206918 128223983, 503207123 128223749, 503204791 128222449, 503204586 128222683))"
6,533936,1,97,132100,,,,,0,0,4-32-24-8-6401799,,"POLYGON ((503341572 128372934, 503344149 128370434, 503343535 128370001, 503340917 128372534, 503341572 128372934))"
7,533936,1,98,172100,,,,,0,0,4-32-24-8-6401804,,"POLYGON ((503290933 128306141, 503295229 128307708, 503295474 128307275, 503291179 128305675, 503290933 128306141))"
8,533936,1,99,192100,,,,,0,0,4-32-24-8-6401809,,"POLYGON ((503182087 128238513, 503184010 128236080, 503183765 128235946, 503181842 128238380, 503182087 128238513))"
9,533936,1,100,192100,,,,,0,0,4-32-24-8-6401814,,"POLYGON ((503255429 128285709, 503257228 128283343, 503256534 128282977, 503254693 128285309, 503255429 128285709))"
10,533936,1,101,192100,,,,,0,0,4-32-24-8-6401819,,"POLYGON ((503132953 128397193, 503137167 128394860, 503136594 128394226, 503132053 128396760, 503132381 128397326, 503132217 128397893, 503132585 128397926, 503132953 128397193))"
11,533936,1,102,192100,,,,,0,0,4-32-24-8-6401824,,"POLYGON ((503131892 128335500, 503133037 128338399, 503133569 128338266, 503132342 128335400, 503131892 128335500))"
12,533936,1,103,192100,,,,,0,0,4-32-24-8-6401829,,"POLYGON ((503127966 128311302, 503128579 128311335, 503128579 128309303, 503127967 128309303, 503127966 128311302))"
13,533936,1,104,192100,,,,,0,0,4-32-24-8-6401834,,"POLYGON ((503089195 128143855, 503089604 128143855, 503089522 128140189, 503089072 128140222, 503089195 128143855))"
14,533936,1,105,192100,,,,,0,0,4-32-24-8-6401839,,"POLYGON ((503101748 128244010, 503104202 128240310, 503103671 128240077, 503101175 128243743, 503101748 128244010))"
15,533936,1,106,192100,,,,,0,0,4-32-24-8-6401844,,"POLYGON ((503142323 128353731, 503143591 128355265, 503143835 128355165, 503142527 128353598, 503142323 128353731))"
16,533936,1,107,192100,,,,,0,0,4-32-24-8-6401849,,"POLYGON ((503201679 128266842, 503204461 128268342, 503204706 128268042, 503201924 128266542, 503201679 128266842))"
17,533936,1,108,192100,,,,,0,0,4-32-24-8-6401854,,"POLYGON ((503175418 128252678, 503178527 128254377, 503178895 128253977, 503175786 128252278, 503175418 128252678))"
18,533936,1,109,192100,,,,,0,0,4-32-24-8-6401859,,"POLYGON ((503211089 128248545, 503213911 128250112, 503214238 128249712, 503211416 128248179, 503211089 128248545))"
19,533936,1,110,192100,,,,,0,0,4-32-24-8-6401864,,"POLYGON ((503246512 128267778, 503249989 128269678, 503250317 128269278, 503246880 128267344, 503246512 128267778))"
20,533936,1,111,122100,,,,,0,0,4-32-24-8-6401869,,"POLYGON ((503128699 128402192, 503129885 128402259, 503130540 128396560, 503128944 128396426, 503128413 128401092, 503128781 128401125, 503128699 128402192))"
21,533936,1,112,132100,,,,,0,0,4-32-24-8-6401874,,"POLYGON ((503498162 128321411, 503505893 128318712, 503505647 128318245, 503497916 128320944, 503498162 128321411))"
22,533936,1,113,122100,,,,,0,0,4-32-24-8-6401879,,"POLYGON ((503090537 128325167, 503092337 128325967, 503092541 128325600, 503093400 128325967, 503093891 128325200, 503089146 128323033, 503088614 128323767, 503090741 128324800, 503090537 128325167))"
23,533936,1,114,192100,,,,,0,0,4-32-24-201-2780699,,"POLYGON ((503135326 128385627, 503134958 128385894, 503136226 128387327, 503136635 128387061, 503135326 128385627))"
24,533936,1,115,192100,,,,,0,0,4-32-24-635-20292820,,"POLYGON ((503238984 128304773, 503239434 128305006, 503241070 128303006, 503240620 128302806, 503238984 128304773))"
25,533936,1,116,192100,,,,,0,0,4-32-24-635-20292823,,"POLYGON ((503229207 128325403, 503229534 128325103, 503227284 128323537, 503226997 128323870, 503229207 128325403))"
26,533936,1,117,192100,,,,,0,0,4-32-24-635-20292826,,"POLYGON ((503242950 128334703, 503245241 128336236, 503245568 128335903, 503243277 128334370, 503242950 128334703))"
27,533936,1,118,192100,,,,,0,0,4-32-24-635-20292829,,"POLYGON ((503264425 128354601, 503264957 128354134, 503262748 128352501, 503262257 128352968, 503264425 128354601))"
