,meshcode,linkno,snodeno,enodeno,railtype,ktentype,ktenzax,ktenzay,geometry
0,533936,138,2497,2495,2,2,503130376,128391693,
1,533936,201,2413,1439,2,2,503113567,128335999,
2,533936,291,745,744,4,2,503101420,128276739,
3,533936,648,649,648,2,2,503129231,128403325,
4,533936,660,714,713,4,2,503114348,128238544,
5,533936,827,710,721,4,2,503116638,128259475,
6,533936,828,711,722,4,2,503116310,128253342,
7,533936,924,3290,1036,12,2,503491941,128392669,
8,533936,1233,720,721,4,2,503115983,128262308,
9,533936,1243,723,712,4,2,503115942,128247410,
10,533936,1245,298,404,7,2,503289421,128305308,
11,533936,1399,3233,454,12,2,503511740,128390970,
12,533936,1506,538,4328,3,2,503372416,128325407,
13,533936,1506,538,4328,12,2,503372457,128325207,
14,533936,1526,3511,4551,4,3,503132964,128142524,
15,533936,1526,3511,4551,4,3,503143150,128141957,
16,533936,1530,4558,683,2,2,503126696,128363329,
17,533936,1607,1134,2247,12,2,503506585,128391403,
18,533936,1616,1331,2430,4,2,503096183,128282905,
19,533936,1895,3341,1133,12,2,503501309,128391870,
20,533936,1897,1141,1132,12,2,503494600,128392435,
21,533936,1964,2290,2816,2,2,503130049,128393993,
22,533936,2135,129,555,7,2,503326358,128317574,
23,533936,2144,254,258,3,2,503338259,128375834,
24,533936,2310,1222,1223,12,2,503537346,128389272,
25,533936,2412,2071,2072,2,2,503131480,128410391,
26,533936,2467,1330,2429,4,2,503094792,128284338,
27,533936,2469,1333,2431,4,2,503099865,128278806,
28,533936,2532,2481,2482,7,2,503423712,128323842,
29,533936,3190,3163,3117,4,1,503370246,128404531,
30,533936,3249,1193,1195,12,2,503519593,128390304,
31,533936,3407,1192,1194,12,2,503523111,128390037,
32,533936,3675,3292,1124,12,2,503482860,128393402,
33,533936,3691,554,130,7,2,503325744,128317374,
34,533936,3915,4232,570,3,2,503340958,128373101,
35,533936,4032,568,4463,3,2,503346154,128367335,
36,533936,4093,2651,2277,2,2,503120275,128343565,
37,533936,4110,4573,2429,4,2,503094547,128284638,
38,533936,4173,3139,3140,12,2,503416960,128399600,
39,533936,4204,482,4114,12,2,503358670,128389266,
40,533936,4205,4114,3118,4,1,503362433,128388400,
41,533936,4838,4461,4460,4,1,503352084,128385200,
42,533936,5075,1333,744,4,2,503100765,128277639,
43,533936,5895,2236,2242,12,2,503474270,128394069,
44,533936,5972,4806,3220,12,2,503471693,128394269,
45,533936,6301,5003,5015,3,2,503358876,128327474,
46,533936,6320,5050,127,3,2,503519555,128313646,
47,533936,6340,5073,4341,12,2,503431441,128397800,
48,533936,6390,4255,5134,4,2,503104365,128272873,
49,533936,6545,3896,5204,3,2,503415163,128329508,
50,533936,6545,3896,5204,7,2,503415286,128329041,
51,533936,6550,5211,3896,7,2,503414345,128329041,
52,533936,6550,5211,3896,3,2,503414468,128329475,
53,533936,6587,568,5188,3,2,503346849,128366202,
54,533936,6732,5298,5020,3,2,503365626,128325440,
55,533936,6810,4769,5320,12,2,503467479,128394601,
56,533936,7083,5497,5514,4,1,503141226,128156755,
57,533936,7129,5531,2290,2,2,503129803,128395926,
58,533936,7207,5641,5214,4,1,503129567,128186885,
59,533936,7219,3645,5661,4,2,503113202,128221780,
60,533936,7230,6586,723,4,2,503115901,128247043,
61,533936,7795,6136,5972,3,2,503364522,128325674,
62,533936,7892,5918,5917,4,2,503101829,128276206,
63,533936,7978,5589,5847,2,2,503129394,128405359,
64,533936,8014,5918,3606,4,2,503102238,128275706,
65,533936,8235,6257,5974,3,2,503359449,128327207,
66,533936,8396,6282,2873,2,2,503130458,128390993,
67,533936,8428,6383,6652,4,2,503121958,128198616,
68,533936,8428,6383,6652,4,2,503122367,128199516,
69,533936,8489,5730,298,7,2,503289748,128305441,
70,533936,8521,3468,6710,4,3,503121099,128200283,
71,533936,8521,3468,6710,4,3,503122203,128199816,
72,533936,8774,6599,5186,2,2,503130909,128382094,
73,533936,8851,5186,6516,2,2,503130909,128382327,
74,533936,8925,6730,6493,4,2,503120158,128202015,
75,533936,8925,6730,6493,4,2,503120649,128202748,
76,533936,8949,5671,6385,4,2,503114225,128238011,
77,533936,9116,6672,6297,2,2,503129231,128402892,
78,533936,9251,6720,6400,12,2,503371966,128325174,
79,533936,9251,6720,6400,3,2,503371966,128325374,
80,533936,9295,6696,6023,2,2,503130663,128389394,
81,533936,9297,6279,6633,2,2,503130744,128388894,
82,533936,9299,2860,6768,2,2,503130785,128388427,
