,meshcode,linkno,geometry
0,533936,842,
1,533936,996,
2,533936,1256,
3,533936,1428,
4,533936,1573,
5,533936,1583,
6,533936,1585,
7,533936,1608,
8,533936,1609,
9,533936,1667,
10,533936,1668,
11,533936,1669,
12,533936,1735,
13,533936,1791,
14,533936,1792,
15,533936,1793,
16,533936,1797,
17,533936,1809,
18,533936,1810,
19,533936,1811,
20,533936,1817,
21,533936,1826,
22,533936,1827,
23,533936,1828,
24,533936,1829,
25,533936,1831,
26,533936,1832,
27,533936,1840,
28,533936,1841,
29,533936,1842,
30,533936,1843,
31,533936,1850,
32,533936,1859,
33,533936,1860,
34,533936,1861,
35,533936,1862,
36,533936,1863,
37,533936,1866,
38,533936,1867,
39,533936,1875,
40,533936,1903,
41,533936,1905,
42,533936,1906,
43,533936,1907,
44,533936,1908,
45,533936,1909,
46,533936,1910,
47,533936,1911,
48,533936,1912,
49,533936,1913,
50,533936,1914,
51,533936,1915,
52,533936,1917,
53,533936,1920,
54,533936,1925,
55,533936,1929,
56,533936,1942,
57,533936,1951,
58,533936,1969,
59,533936,1999,
60,533936,2005,
61,533936,2006,
62,533936,2007,
63,533936,2008,
64,533936,2012,
65,533936,2013,
66,533936,2016,
67,533936,2017,
68,533936,2018,
69,533936,2019,
70,533936,2029,
71,533936,2030,
72,533936,2031,
73,533936,2032,
74,533936,2042,
75,533936,2043,
76,533936,2044,
77,533936,2045,
78,533936,2049,
79,533936,2050,
80,533936,2051,
81,533936,2055,
82,533936,2062,
83,533936,2065,
84,533936,2066,
85,533936,2083,
86,533936,2141,
87,533936,2208,
88,533936,2209,
89,533936,2210,
90,533936,2211,
91,533936,2213,
92,533936,2218,
93,533936,2219,
94,533936,2221,
95,533936,2222,
96,533936,2223,
97,533936,2224,
98,533936,2225,
99,533936,2226,
100,533936,2227,
101,533936,2228,
102,533936,2229,
103,533936,2230,
104,533936,2232,
105,533936,2233,
106,533936,2235,
107,533936,2236,
108,533936,2237,
109,533936,2239,
110,533936,2240,
111,533936,2241,
112,533936,2243,
113,533936,2244,
114,533936,2249,
115,533936,2250,
116,533936,2251,
117,533936,2253,
118,533936,2254,
119,533936,2256,
120,533936,2257,
121,533936,2260,
122,533936,2261,
123,533936,2262,
124,533936,2263,
125,533936,2264,
126,533936,2265,
127,533936,2266,
128,533936,2267,
129,533936,2268,
130,533936,2271,
131,533936,2272,
132,533936,2273,
133,533936,2275,
134,533936,2276,
135,533936,2277,
136,533936,2279,
137,533936,2281,
138,533936,2282,
139,533936,2283,
140,533936,2291,
141,533936,2295,
142,533936,2296,
143,533936,2297,
144,533936,2298,
145,533936,2299,
146,533936,2301,
147,533936,2302,
148,533936,2303,
149,533936,2305,
150,533936,2306,
151,533936,2307,
152,533936,2308,
153,533936,2309,
154,533936,2311,
155,533936,2313,
156,533936,2315,
157,533936,2318,
158,533936,2319,
159,533936,2320,
160,533936,2321,
161,533936,2322,
162,533936,2325,
163,533936,2326,
164,533936,2328,
165,533936,2329,
166,533936,2333,
167,533936,2334,
168,533936,2335,
169,533936,2336,
170,533936,2337,
171,533936,2338,
172,533936,2342,
173,533936,2343,
174,533936,2344,
175,533936,2345,
176,533936,2348,
177,533936,2350,
178,533936,2351,
179,533936,2352,
180,533936,2353,
181,533936,2354,
182,533936,2357,
183,533936,2360,
184,533936,2361,
185,533936,2362,
186,533936,2364,
187,533936,2374,
188,533936,2375,
189,533936,2376,
190,533936,2377,
191,533936,2378,
192,533936,2379,
193,533936,2386,
194,533936,2391,
195,533936,2392,
196,533936,2393,
197,533936,2394,
198,533936,2396,
199,533936,2397,
200,533936,2398,
201,533936,2400,
202,533936,2401,
203,533936,2402,
204,533936,2403,
205,533936,2405,
206,533936,2406,
207,533936,2407,
208,533936,2408,
209,533936,2409,
210,533936,2411,
211,533936,2413,
212,533936,2414,
213,533936,2416,
214,533936,2417,
215,533936,2421,
