,meshcode,linkno,lanesu,planesu,mlanesu,fukuin,geometry
0,533936,1,1,0,0,700,
1,533936,2,5,5,0,0,
2,533936,3,6,4,2,0,
3,533936,4,5,2,3,0,
4,533936,117,1,0,0,700,
5,533936,118,2,2,0,0,
6,533936,119,2,2,0,0,
7,533936,120,1,0,0,463,
8,533936,121,1,0,0,419,
9,533936,122,1,0,0,385,
10,533936,123,1,0,0,558,
11,533936,124,1,0,0,482,
12,533936,125,2,2,0,0,
13,533936,127,2,2,0,0,
14,533936,128,3,3,0,0,
15,533936,129,2,2,0,0,
16,533936,130,2,2,0,0,
17,533936,131,2,2,0,0,
18,533936,132,2,2,0,0,
19,533936,133,2,1,1,0,
20,533936,134,3,3,0,0,
21,533936,135,2,2,0,0,
22,533936,136,3,3,0,0,
23,533936,137,3,3,0,0,
24,533936,138,2,2,0,0,
25,533936,139,4,4,0,0,
26,533936,140,6,6,0,0,
27,533936,141,4,4,0,0,
28,533936,142,2,2,0,0,
29,533936,143,3,3,0,0,
30,533936,144,4,4,0,0,
31,533936,145,2,2,0,0,
32,533936,146,2,2,0,0,
33,533936,147,2,2,0,0,
34,533936,148,4,4,0,0,
35,533936,149,3,3,0,0,
36,533936,150,3,3,0,0,
37,533936,152,2,2,0,0,
38,533936,153,4,4,0,0,
39,533936,154,2,2,0,0,
40,533936,155,2,2,0,0,
41,533936,156,2,2,0,0,
42,533936,157,2,2,0,0,
43,533936,158,2,2,0,0,
44,533936,159,2,2,0,0,
45,533936,160,3,3,0,0,
46,533936,161,1,0,0,700,
47,533936,163,2,2,0,0,
48,533936,165,2,2,0,0,
49,533936,166,2,2,0,0,
50,533936,168,2,2,0,0,
51,533936,169,1,0,0,681,
52,533936,170,2,2,0,0,
53,533936,171,3,3,0,0,
54,533936,172,2,2,0,0,
55,533936,173,2,2,0,0,
56,533936,174,2,2,0,0,
57,533936,175,2,2,0,0,
58,533936,176,3,3,0,0,
59,533936,177,1,0,0,380,
60,533936,178,1,0,0,-1,
61,533936,180,5,5,0,0,
62,533936,182,4,2,2,0,
63,533936,183,6,6,0,0,
64,533936,184,5,5,0,0,
65,533936,185,5,2,3,0,
66,533936,186,5,2,3,0,
67,533936,187,4,2,2,0,
68,533936,188,6,3,3,0,
69,533936,189,6,4,2,0,
70,533936,190,5,3,2,0,
71,533936,191,5,3,2,0,
72,533936,192,5,2,3,0,
73,533936,193,5,2,3,0,
74,533936,194,6,3,3,0,
75,533936,195,5,2,3,0,
76,533936,196,5,2,3,0,
77,533936,197,6,2,4,0,
78,533936,198,4,2,2,0,
79,533936,199,5,3,2,0,
80,533936,200,6,3,3,0,
81,533936,201,8,4,4,0,
82,533936,202,4,4,0,0,
83,533936,203,4,4,0,0,
84,533936,204,4,4,0,0,
85,533936,205,4,4,0,0,
