,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,533936,031214,117,2370,819,1,4,116,4-33-21-8-6439870,"LINESTRING (503117541 128178951, 503117500 128180751)"
1,533936,032114,118,2370,2371,1,4,117,4-33-21-8-6439889,"LINESTRING (503117541 128178951, 503117050 128179818, 503116763 128180151, 503116395 128180451, 503115986 128180818)"
2,533936,031514,119,3520,3519,1,4,118,4-33-21-8-6439910,"LINESTRING (503092955 128185850, 503093078 128186017, 503093324 128186084, 503095328 128186450, 503098110 128186884, 503098764 128186917)"
3,533936,031514,120,3521,3520,1,4,119,4-33-21-8-6439931,"LINESTRING (503094060 128185817, 503093405 128185717, 503093201 128185717, 503092955 128185850)"
4,533936,031514,121,3523,3521,1,4,120,4-33-21-8-6439952,"LINESTRING (503098724 128186450, 503098233 128186484, 503095696 128186084, 503094060 128185817)"
5,533936,031114,122,3902,3506,1,4,121,4-33-21-8-6440031,"LINESTRING (503484254 128325843, 503480776 128326143, 503477913 128326343, 503466787 128327010, 503462450 128327243, 503461837 128327310, 503461632 128327377, 503461468 128327477)"
6,533936,031114,123,3506,3985,1,4,122,4-33-21-8-6440086,"LINESTRING (503461468 128327477, 503461387 128327642, 503461346 128327809, 503461346 128328242, 503461509 128330042, 503461673 128331142)"
7,533936,031514,124,4362,3842,1,4,123,4-33-21-8-6440202,"LINESTRING (503478854 128328577, 503480040 128328710, 503482086 128328643, 503484662 128328510)"
8,533936,032214,125,108,109,1,4,124,4-33-21-8-6440244,"LINESTRING (503117379 128133857, 503117379 128142556)"
9,533936,032414,126,129,130,1,4,125,4-33-21-8-6440371,"LINESTRING (503326276 128318074, 503325662 128317907)"
10,533936,032214,127,415,416,1,4,126,4-33-21-8-6440488,"LINESTRING (503117338 128144023, 503117337 128151455)"
11,533936,032514,128,418,7,1,4,127,4-33-21-8-6440538,"LINESTRING (503120653 128113160, 503120653 128111695)"
12,533936,032614,129,423,424,1,4,128,4-33-21-8-6440563,"LINESTRING (503387183 128330307, 503388574 128330440, 503392705 128330807)"
13,533936,032214,130,533,129,1,4,129,4-33-21-8-6440588,"LINESTRING (503343087 128323307, 503341697 128322974, 503340347 128322640, 503339160 128322307, 503335275 128321074, 503326276 128318074)"
14,533936,032614,131,534,535,1,4,130,4-33-21-8-6440613,"LINESTRING (503389474 128327674, 503381170 128326907)"
15,533936,032614,132,94,534,1,4,131,4-33-21-8-6440638,"LINESTRING (503398637 128328507, 503389474 128327674)"
16,533936,032114,133,725,808,0,4,132,4-33-21-8-6440754,"LINESTRING (503110423 128182851, 503110177 128182418, 503110054 128181951, 503110013 128181085, 503109973 128179651)"
17,533936,032114,134,2371,725,1,4,133,4-33-21-8-6440830,"LINESTRING (503115986 128180818, 503110423 128182851)"
18,533936,032614,135,112,423,1,4,134,4-33-21-8-6440922,"LINESTRING (503378471 128329407, 503387183 128330307)"
19,533936,032614,136,2485,2484,1,4,135,4-33-21-8-6440972,"LINESTRING (503402196 128331740, 503406081 128332107)"
20,533936,032214,137,2495,2496,1,5,136,4-33-21-8-6440997,"LINESTRING (503131031 128392526, 503131522 128393060)"
21,533936,032214,138,2497,2495,1,5,137,4-33-21-8-6441014,"LINESTRING (503129844 128391026, 503130703 128392093, 503131031 128392526)"
22,533936,033214,139,2498,2294,1,5,138,4-33-21-8-6441056,"LINESTRING (503127636 128388427, 503127923 128388827)"
23,533936,033214,140,376,2498,1,5,139,4-33-21-8-6441081,"LINESTRING (503126654 128387261, 503127636 128388427)"
24,533936,032214,141,3489,2345,1,4,140,4-33-21-8-6441156,"LINESTRING (503226877 128275809, 503229863 128277409)"
25,533936,032214,142,2468,3490,1,4,141,4-33-21-8-6441181,"LINESTRING (503231622 128275242, 503227654 128273076)"
26,533936,032614,143,3507,127,1,4,142,4-33-21-8-6441206,"LINESTRING (503522337 128313113, 503519923 128313980)"
27,533936,032214,144,3550,2468,1,4,143,4-33-21-8-6441256,"LINESTRING (503239598 128279576, 503235671 128277409, 503231622 128275242)"
28,533936,032514,145,6,3656,1,4,144,4-33-21-8-6441404,"LINESTRING (503117339 128111694, 503117339 128114860)"
29,533936,032614,146,3698,2485,1,4,145,4-33-21-8-6441454,"LINESTRING (503400642 128331574, 503402196 128331740)"
30,533936,032614,147,424,3698,1,4,146,4-33-21-8-6441479,"LINESTRING (503392705 128330807, 503400642 128331574)"
31,533936,032214,148,2496,117,1,5,147,4-33-21-8-6441556,"LINESTRING (503131522 128393060, 503132708 128394626)"
32,533936,032214,149,3711,375,1,5,148,4-33-21-8-6441623,"LINESTRING (503128332 128388261, 503127145 128387027)"
33,533936,032214,150,2416,41,1,5,149,4-33-21-8-6441648,"LINESTRING (503089105 128328099, 503088369 128327732)"
34,533936,032414,151,116,224,1,4,150,4-33-21-8-6441673,"LINESTRING (503325089 128320573, 503326029 128320873)"
35,533936,032614,152,3694,3507,1,4,151,4-33-21-8-6441715,"LINESTRING (503527123 128311446, 503522337 128313113)"
36,533936,032214,153,3784,3489,1,4,152,4-33-21-8-6441782,"LINESTRING (503222622 128273676, 503224627 128274676, 503226877 128275809)"
37,533936,032214,154,3838,417,1,4,153,4-33-21-8-6441861,"LINESTRING (503120692 128143590, 503120652 128142456, 503120611 128135024)"
38,533936,032214,155,107,3838,1,4,154,4-33-21-8-6441888,"LINESTRING (503120610 128154889, 503120651 128151589, 503120692 128143590)"
39,533936,032614,156,3842,3538,1,4,155,4-33-21-8-6442013,"LINESTRING (503484662 128328510, 503486462 128328210, 503487485 128328077, 503489530 128327577)"
40,533936,032614,157,3896,240,1,4,156,4-33-21-8-6442088,"LINESTRING (503414918 128330041, 503414304 128330041)"
41,533936,032214,158,3900,415,1,4,157,4-33-21-8-6442130,"LINESTRING (503117338 128143590, 503117338 128144023)"
42,533936,032214,159,109,3900,1,4,158,4-33-21-8-6442149,"LINESTRING (503117379 128142556, 503117338 128143590)"
43,533936,032614,160,3895,3901,1,4,159,4-33-21-8-6442174,"LINESTRING (503414672 128332707, 503415286 128332674)"
44,533936,032214,161,3915,3911,1,4,160,4-33-21-8-6442224,"LINESTRING (503182291 128251178, 503184132 128252511)"
45,533936,032414,162,114,3923,1,4,161,4-33-21-8-6442249,"LINESTRING (503175624 128246212, 503175992 128246445)"
46,533936,032214,163,3923,3915,1,4,162,4-33-21-8-6442266,"LINESTRING (503175992 128246445, 503179795 128249344, 503182291 128251178)"
47,533936,032414,164,3924,3848,1,4,163,4-33-21-8-6442291,"LINESTRING (503177751 128244245, 503177342 128243979)"
48,533936,032614,165,3505,4013,1,4,164,4-33-21-8-6442354,"LINESTRING (503512724 128316612, 503494971 128323111, 503493621 128323611, 503492435 128324011, 503490185 128324678, 503488507 128325077)"
49,533936,032614,166,4013,3902,1,4,165,4-33-21-8-6442371,"LINESTRING (503488507 128325077, 503486994 128325377, 503485807 128325610, 503484949 128325743, 503484254 128325843)"
50,533936,031414,167,3860,3864,1,4,166,4-33-21-8-6442396,"LINESTRING (503254079 128287176, 503253425 128286809)"
51,533936,032214,168,3483,4356,1,4,167,4-33-21-8-6442588,"LINESTRING (503208101 128265643, 503212437 128268042)"
52,533936,031614,169,3518,4361,1,4,168,4-33-21-8-6442613,"LINESTRING (503524342 128315180, 503526960 128314213)"
53,533936,032214,170,4412,116,1,4,169,4-33-21-8-6442705,"LINESTRING (503317276 128318074, 503320508 128319140, 503325089 128320573)"
54,533936,032224,171,3980,4486,1,4,170,4-33-21-8-6442724,"LINESTRING (503463637 128329576, 503465887 128329442)"
55,533936,032224,172,4364,4505,1,4,171,4-33-21-8-6442787,"LINESTRING (503522992 128315313, 503524996 128314580)"
56,533936,032224,173,4511,4727,1,4,172,4-33-21-8-6442802,"LINESTRING (503525978 128314213, 503532441 128311880, 503538332 128309647)"
57,533936,032224,174,4505,4511,1,4,173,4-33-21-8-6442825,"LINESTRING (503524996 128314580, 503525978 128314213)"
58,533936,032614,175,127,4566,1,4,174,4-33-21-8-6442840,"LINESTRING (503519923 128313980, 503516733 128315145)"
59,533936,032224,176,4723,4567,1,4,175,4-33-21-8-6442901,"LINESTRING (503538332 128307614, 503537595 128307881)"
60,533936,031514,177,3902,4569,1,4,176,4-33-21-8-6442928,"LINESTRING (503484254 128325843, 503483149 128326077, 503481881 128326243, 503480858 128326343, 503477176 128326610, 503472963 128326910, 503471696 128327110)"
61,533936,031214,178,98,110,1,4,177,4-33-21-8-6442970,"LINESTRING (503190963 128256343, 503193131 128257443)"
62,533936,032414,179,110,113,1,4,178,4-33-21-8-6442995,"LINESTRING (503193131 128257443, 503194030 128257943)"
63,533936,033214,180,117,118,1,5,179,4-33-21-8-6443029,"LINESTRING (503132708 128394626, 503133731 128396193)"
64,533936,033414,181,120,121,0,3,180,4-33-21-8-6443054,"LINESTRING (503110826 128336832, 503111480 128336632)"
65,533936,033114,182,124,125,0,5,181,4-33-21-8-6443103,"LINESTRING (503140439 128403459, 503143916 128406759)"
66,533936,033214,183,419,376,1,5,182,4-33-21-8-6443130,"LINESTRING (503124650 128384861, 503126654 128387261)"
67,533936,033214,184,420,421,1,5,183,4-33-21-8-6443155,"LINESTRING (503118105 128375595, 503118187 128376795)"
68,533936,033114,185,422,124,0,5,184,4-33-21-8-6443180,"LINESTRING (503139252 128401992, 503140439 128403459)"
69,533936,033114,186,119,422,0,5,185,4-33-21-8-6443212,"LINESTRING (503137902 128400460, 503139252 128401992)"
70,533936,033114,187,443,444,0,4,186,4-33-21-8-6443239,"LINESTRING (503091891 128217846, 503091768 128221145)"
71,533936,033114,188,445,446,0,4,187,4-33-21-8-6443266,"LINESTRING (503091809 128212346, 503092054 128215713)"
72,533936,033114,189,447,448,0,4,188,4-33-21-8-6443293,"LINESTRING (503090746 128198448, 503091033 128201348)"
73,533936,033114,190,746,665,0,6,189,4-33-21-8-6443320,"LINESTRING (503093643 128406358, 503094379 128407858)"
74,533936,033114,191,747,748,0,6,190,4-33-21-8-6443347,"LINESTRING (503092375 128403591, 503092661 128404258)"
75,533936,033114,192,446,443,0,4,191,4-33-21-8-6443404,"LINESTRING (503092054 128215713, 503091891 128217846)"
76,533936,033114,193,2399,445,0,4,192,4-33-21-8-6443431,"LINESTRING (503091646 128209814, 503091809 128212346)"
77,533936,033114,194,2400,2399,0,4,193,4-33-21-8-6443458,"LINESTRING (503091524 128207247, 503091646 128209814)"
78,533936,033114,195,2401,2400,0,4,194,4-33-21-8-6443485,"LINESTRING (503091401 128206047, 503091524 128207247)"
79,533936,033114,196,2402,2401,0,4,195,4-33-21-8-6443512,"LINESTRING (503091319 128204881, 503091401 128206047)"
80,533936,033114,197,448,2402,0,4,196,4-33-21-8-6443539,"LINESTRING (503091033 128201348, 503091319 128204881)"
81,533936,033114,198,2403,447,0,4,197,4-33-21-8-6443566,"LINESTRING (503090051 128192183, 503090746 128198448)"
