,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,533936,082114,278,131,132,0,0,0,4-33-21-8-6446179,"LINESTRING (503291136 128391531, 503291504 128391031, 503292650 128383966, 503292936 128382699)"
1,533936,083114,394,131,177,0,0,0,4-33-21-8-6450986,"LINESTRING (503291136 128391531, 503298539 128391365)"
2,533936,083414,533,177,762,0,0,0,4-33-21-8-6455966,"LINESTRING (503298539 128391365, 503299399 128391365)"
3,533936,082214,810,555,553,1,2,0,4-33-21-8-6466989,"LINESTRING (503326480 128316640, 503326971 128312741, 503326808 128311808)"
4,533936,082214,997,553,554,1,2,0,4-33-21-8-6471196,"LINESTRING (503326808 128311808, 503326521 128312675, 503325867 128316474)"
5,533936,081114,1536,201,200,0,0,0,4-33-21-8-6485694,"LINESTRING (503352616 128393732, 503340304 128392832)"
6,533936,081114,1537,210,211,0,0,0,4-33-21-8-6485705,"LINESTRING (503259843 128389364, 503266103 128394230)"
7,533936,081114,1538,4328,237,1,0,0,4-33-21-8-6485716,"LINESTRING (503372580 128324007, 503372784 128323707, 503372907 128323474, 503372989 128323207, 503373398 128320508)"
8,533936,082114,1539,275,276,0,0,0,4-33-21-8-6485760,"LINESTRING (503230191 128247113, 503235264 128249880)"
9,533936,081114,1540,279,280,0,0,0,4-33-21-8-6485771,"LINESTRING (503241564 128233116, 503246637 128235848)"
10,533936,081114,1541,286,287,0,0,0,4-33-21-8-6485804,"LINESTRING (503238741 128236582, 503243814 128239348)"
11,533936,081114,1542,288,289,0,0,0,4-33-21-8-6485815,"LINESTRING (503244469 128229649, 503249460 128232283)"
12,533936,081114,1543,325,326,1,0,0,4-33-21-8-6485889,"LINESTRING (503154020 128410692, 503150256 128407859)"
13,533936,081114,1544,349,348,1,0,0,4-33-21-8-6485908,"LINESTRING (503126656 128318201, 503126616 128321734)"
14,533936,081114,1545,352,353,0,0,0,4-33-21-8-6485927,"LINESTRING (503118068 128304070, 503121994 128304036)"
15,533936,081114,1546,364,365,0,0,0,4-33-21-8-6485949,"LINESTRING (503134187 128238411, 503128010 128238178)"
16,533936,081114,1547,379,380,1,0,0,4-33-21-8-6485979,"LINESTRING (503137248 128411358, 503138434 128410524)"
