,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,533936,021223,5,82,4592,1,6,4,4-33-21-8-6434476,"LINESTRING (503131726 128408858, 503133321 128411658)"
1,533936,021523,6,78,767,1,6,5,4-33-21-8-6434558,"LINESTRING (503097368 128350830, 503096549 128350730, 503095649 128350730, 503093727 128350930, 503092336 128351064, 503091354 128351197, 503090577 128351264, 503090208 128351330, 503089840 128351330, 503089513 128351264, 503089227 128351064, 503089104 128350797, 503088981 128350464)"
2,533936,021523,7,4766,82,1,6,6,4-33-21-8-6434577,"LINESTRING (503131522 128405325, 503130990 128405625, 503130826 128405792, 503130663 128406192, 503130622 128406459, 503130867 128407225, 503131153 128407992, 503131440 128408459, 503131726 128408858)"
3,533936,021523,8,770,771,1,6,7,4-33-21-8-6434594,"LINESTRING (503139089 128403325, 503140071 128403159, 503141012 128402892, 503142852 128402226, 503143466 128401926, 503143875 128401660, 503144325 128401393, 503144734 128401193, 503145143 128401026)"
4,533936,021513,9,89,322,1,6,8,4-33-21-8-6434611,"LINESTRING (503163019 128401193, 503163019 128401693, 503163060 128402093, 503163060 128402393, 503163060 128402560, 503163100 128402760, 503163141 128403060, 503163223 128403393, 503163346 128403693, 503163510 128403960, 503163714 128404193, 503164246 128404693, 503164491 128404926, 503164737 128405226, 503164900 128405460, 503165269 128405993)"
5,533936,021523,10,85,788,1,6,9,4-33-21-8-6434649,"LINESTRING (503108087 128294137, 503108700 128294937, 503109028 128295471, 503110459 128298071, 503110868 128298903, 503111031 128299270, 503111154 128299603, 503111318 128300136, 503111358 128300470, 503111522 128301270)"
6,533936,022523,11,789,790,1,6,10,4-33-21-8-6434668,"LINESTRING (503115695 128307702, 503115163 128307003, 503114918 128306636, 503114549 128305936, 503114099 128305103, 503113854 128304670, 503113322 128303570, 503112913 128302736, 503112749 128302203, 503112586 128301636, 503112545 128301036)"
7,533936,021523,12,223,212,1,6,11,4-33-21-8-6434687,"LINESTRING (503310648 128370101, 503309543 128371033, 503308029 128372500, 503307579 128372967, 503307375 128373133, 503307008 128373433, 503306639 128373700, 503306271 128373967, 503305903 128374133, 503305576 128374200, 503305208 128374233, 503304676 128374267, 503295840 128373467)"
8,533936,021513,13,424,96,1,6,12,4-33-21-8-6434709,"LINESTRING (503392705 128330807, 503394751 128330707, 503396510 128330640, 503398064 128330640)"
9,533936,021513,14,3581,99,1,6,13,4-33-21-8-6434870,"LINESTRING (503503029 128320878, 503500206 128321978, 503498612 128322578, 503492925 128324611, 503490144 128325510, 503487403 128326410)"
10,533936,021523,15,3582,102,1,6,14,4-33-21-8-6434908,"LINESTRING (503528228 128313046, 503533668 128311113, 503535509 128310281, 503536941 128309547)"
11,533936,021513,16,3518,3582,1,6,15,4-33-21-8-6434927,"LINESTRING (503524342 128315180, 503524873 128314780, 503525078 128314613, 503525446 128314280, 503525814 128313980, 503526101 128313880, 503528228 128313046)"
12,533936,021723,17,3593,3592,1,1,16,4-33-21-8-6434946,"LINESTRING (503127393 128318701, 503127475 128320634, 503127556 128322634)"
13,533936,021723,18,3555,3594,1,1,17,4-33-21-8-6434965,"LINESTRING (503127761 128314402, 503127597 128315002, 503127516 128315469, 503127434 128316735, 503127393 128317801)"
14,533936,021723,19,3593,3600,1,1,18,4-33-21-8-6434984,"LINESTRING (503127393 128318701, 503127066 128319034, 503126902 128319368, 503126861 128320734, 503126943 128321001, 503127066 128321101, 503127311 128321168)"
15,533936,021723,20,3601,3594,1,1,19,4-33-21-8-6435001,"LINESTRING (503127066 128315235, 503126902 128315402, 503126861 128317135, 503126943 128317335, 503127066 128317535, 503127393 128317801)"
16,533936,021723,21,3602,3593,1,1,20,4-33-21-8-6435018,"LINESTRING (503127393 128318234, 503127393 128318701)"
17,533936,021723,22,3594,3602,1,1,21,4-33-21-8-6435035,"LINESTRING (503127393 128317801, 503127393 128318234)"
18,533936,021523,23,3631,81,1,6,22,4-33-21-8-6435052,"LINESTRING (503142484 128399726, 503142812 128400226, 503142934 128400460, 503143057 128400693, 503143057 128400926, 503142975 128401160, 503142812 128401360, 503142566 128401493, 503140316 128402392, 503139007 128402892, 503137943 128403425)"
19,533936,021723,24,3600,3642,1,1,23,4-33-21-8-6435069,"LINESTRING (503127311 128321168, 503127761 128321168, 503127884 128321068, 503127966 128320934, 503127966 128320034)"
20,533936,021723,25,3642,3643,1,1,24,4-33-21-8-6435086,"LINESTRING (503127966 128320034, 503128006 128315502)"
21,533936,021723,26,3643,3601,1,1,25,4-33-21-8-6435103,"LINESTRING (503128006 128315502, 503127884 128315302, 503127720 128315169, 503127475 128315135, 503127270 128315135, 503127066 128315235)"
22,533936,021513,27,3768,4621,1,6,26,4-33-21-8-6435158,"LINESTRING (503172509 128411559, 503172631 128411659)"
23,533936,021513,28,3769,3639,1,6,27,4-33-21-8-6435177,"LINESTRING (503163960 128400326, 503163755 128400026, 503163550 128399793, 503163305 128399593, 503162650 128399093, 503161832 128398460, 503161097 128397960, 503160688 128397660, 503160074 128397161, 503157374 128395094, 503156024 128393761, 503155615 128393427)"
24,533936,021523,29,741,3778,1,6,28,4-33-21-8-6435215,"LINESTRING (503113527 128305103, 503114181 128306103, 503114590 128306770, 503114958 128307270, 503115368 128307902, 503115613 128308269, 503115858 128308669)"
25,533936,021523,30,3778,86,1,6,29,4-33-21-8-6435234,"LINESTRING (503115858 128308669, 503116512 128309835, 503117085 128310969, 503117617 128312035, 503118067 128313035, 503118271 128313502, 503118557 128314102, 503118803 128314735)"
26,533936,021523,31,3779,106,1,6,30,4-33-21-8-6435253,"LINESTRING (503108373 128293804, 503107964 128293071, 503107187 128291571, 503106450 128290171, 503106287 128289837, 503106000 128289304, 503105469 128288272, 503105305 128287805, 503105059 128287005)"
27,533936,021523,32,3609,3779,1,6,31,4-33-21-8-6435272,"LINESTRING (503110091 128296237, 503109764 128295771, 503109314 128295171, 503108823 128294437, 503108373 128293804)"
28,533936,021513,33,3552,3785,1,6,32,4-33-21-8-6435386,"LINESTRING (503202415 128280508, 503202006 128280875, 503201024 128282107, 503200901 128282274, 503200492 128282774, 503200001 128283307)"
