,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,533936,043214,2,5620,16,1,2,1,7-33-21-412-9138848,"LINESTRING (503170395 128113229, 503168718 128111697)"
1,533936,043114,4,76,6327,0,2,3,7-33-21-9-41728507,"LINESTRING (503088371 128295203, 503088533 128295670)"
2,533936,041114,273,3627,3628,1,2,272,4-33-21-8-6445862,"LINESTRING (503147680 128399793, 503147025 128399293, 503146862 128399093, 503146739 128398793, 503146657 128398460, 503146657 128398160)"
3,533936,041114,274,118,3573,1,2,273,4-33-21-8-6445908,"LINESTRING (503133731 128396193, 503134508 128396660)"
4,533936,041114,275,2064,3573,1,2,274,4-33-21-8-6445923,"LINESTRING (503134385 128395860, 503134426 128396260, 503134426 128396326, 503134426 128396393, 503134508 128396660)"
5,533936,041114,276,3835,3845,1,2,275,4-33-21-8-6446035,"LINESTRING (503147843 128400326, 503149765 128401393, 503150338 128401726)"
6,533936,041114,277,4265,6037,1,2,276,4-33-21-8-6446156,"LINESTRING (503305167 128374633, 503305289 128374767, 503305412 128374933, 503305494 128375133, 503305576 128375367)"
7,533936,043114,279,168,169,0,2,277,4-33-21-8-6446202,"LINESTRING (503093687 128310502, 503095528 128311368)"
8,533936,042214,280,225,224,1,2,278,4-33-21-8-6446249,"LINESTRING (503325211 128327339, 503325620 128324406, 503326029 128320873)"
9,533936,042214,281,224,129,1,2,279,4-33-21-8-6446278,"LINESTRING (503326029 128320873, 503326276 128318074)"
10,533936,042214,282,369,370,1,2,280,4-33-21-8-6446305,"LINESTRING (503136064 128361664, 503136104 128366863)"
11,533936,042214,283,372,373,1,2,281,4-33-21-8-6446353,"LINESTRING (503121911 128321734, 503123384 128324668)"
12,533936,042214,284,374,372,1,2,282,4-33-21-8-6446380,"LINESTRING (503118271 128314502, 503119335 128316468, 503121911 128321734)"
13,533936,042214,285,530,531,1,2,283,4-33-21-8-6446457,"LINESTRING (503318625 128362902, 503319361 128361769, 503319770 128361135)"
14,533936,042214,286,406,532,1,2,284,4-33-21-8-6446484,"LINESTRING (503321734 128351203, 503322184 128347870)"
15,533936,042214,287,509,522,1,2,285,4-33-21-8-6446592,"LINESTRING (503306762 128374633, 503307293 128374033, 503307743 128373533, 503308193 128373133)"
16,533936,042214,288,148,792,1,2,286,4-33-21-8-6446646,"LINESTRING (503300830 128409929, 503300912 128409496, 503300830 128408729)"
17,533936,043114,289,169,1349,0,2,287,4-33-21-8-6446700,"LINESTRING (503095528 128311368, 503099291 128313001)"
18,533936,042214,290,373,2421,1,2,288,4-33-21-8-6446729,"LINESTRING (503123384 128324668, 503123916 128325733)"
19,533936,042214,291,745,744,1,2,289,4-33-21-8-6446785,"LINESTRING (503101092 128273073, 503101501 128277573)"
20,533936,042214,292,788,741,1,2,290,4-33-21-8-6446812,"LINESTRING (503111522 128301270, 503112299 128302770, 503113036 128304170, 503113527 128305103)"
21,533936,042214,293,792,2960,1,2,291,4-33-21-8-6446914,"LINESTRING (503300830 128408729, 503299726 128406496)"
22,533936,042214,294,2960,1523,1,2,292,4-33-21-8-6446941,"LINESTRING (503299726 128406496, 503299521 128405129)"
23,533936,042214,295,1523,2961,1,2,293,4-33-21-8-6446968,"LINESTRING (503299521 128405129, 503299480 128403497)"
24,533936,042214,296,2961,2962,1,2,294,4-33-21-8-6446995,"LINESTRING (503299480 128403497, 503299439 128401130)"
25,533936,042214,297,1511,2963,1,2,295,4-33-21-8-6447022,"LINESTRING (503299439 128398497, 503299317 128396264)"
26,533936,042214,298,2963,763,1,2,296,4-33-21-8-6447049,"LINESTRING (503299317 128396264, 503299317 128394398)"
27,533936,042214,299,3452,5623,1,2,297,4-33-21-8-6447103,"LINESTRING (503172358 128119262, 503172603 128118262, 503172726 128117829, 503172808 128117296, 503172808 128116929, 503172767 128116229, 503172726 128115762)"
28,533936,042514,300,3533,3532,1,2,298,4-33-21-8-6447172,"LINESTRING (503237673 128371332, 503234236 128370998, 503233418 128370865, 503232723 128370698, 503232150 128370531)"
29,533936,042514,301,3534,3535,1,2,299,4-33-21-8-6447199,"LINESTRING (503228592 128369199, 503231251 128370965, 503231577 128371098)"
30,533936,042514,302,3535,3536,1,2,300,4-33-21-8-6447226,"LINESTRING (503231577 128371098, 503232436 128371398, 503233050 128371498, 503233705 128371565, 503237591 128371865)"
31,533936,042514,303,3567,431,1,2,301,4-33-21-8-6447253,"LINESTRING (503154347 128404660, 503153692 128403760)"
32,533936,042614,304,2549,3569,1,2,302,4-33-21-8-6447293,"LINESTRING (503154020 128404926, 503155574 128406192)"
33,533936,041514,305,3847,3567,1,2,303,4-33-21-8-6447318,"LINESTRING (503153120 128404093, 503154347 128404660)"
34,533936,042614,306,3570,4617,1,2,304,4-33-21-8-6447341,"LINESTRING (503161219 128411025, 503161832 128411659)"
35,533936,042614,307,4615,3571,1,2,305,4-33-21-8-6447391,"LINESTRING (503162855 128411659, 503161873 128410459)"
36,533936,042614,308,2876,629,1,2,306,4-33-21-8-6447416,"LINESTRING (503156351 128405792, 503154674 128404426)"
37,533936,042614,309,629,431,1,2,307,4-33-21-8-6447441,"LINESTRING (503154674 128404426, 503153692 128403760)"
38,533936,042214,310,4921,2552,1,2,308,4-33-21-8-6447466,"LINESTRING (503145798 128399860, 503146248 128399926, 503146657 128400060, 503146984 128400226, 503150215 128401926)"
39,533936,042114,311,3573,3572,1,2,309,4-33-21-8-6447491,"LINESTRING (503134508 128396660, 503136675 128399293)"
40,533936,042214,312,529,3596,1,2,310,4-33-21-8-6447506,"LINESTRING (503322961 128342371, 503323248 128340637)"
41,533936,042214,313,3608,3607,1,2,311,4-33-21-8-6447560,"LINESTRING (503108414 128292904, 503106737 128289637)"
42,533936,042214,314,3609,3608,1,2,312,4-33-21-8-6447587,"LINESTRING (503110091 128296237, 503108414 128292904)"
43,533936,042214,315,790,3609,1,2,313,4-33-21-8-6447614,"LINESTRING (503112545 128301036, 503111808 128299570, 503111031 128298037, 503110091 128296237)"
44,533936,042214,316,701,788,1,2,314,4-33-21-8-6447641,"LINESTRING (503109150 128296571, 503111522 128301270)"
45,533936,042214,317,383,3610,1,2,315,4-33-21-8-6447668,"LINESTRING (503115081 128305936, 503114468 128304770)"
46,533936,042214,318,3611,383,1,2,316,4-33-21-8-6447695,"LINESTRING (503117780 128311302, 503117330 128310469, 503117003 128309802, 503116268 128308335, 503115081 128305936)"
47,533936,042214,319,3612,3611,1,2,317,4-33-21-8-6447722,"LINESTRING (503119376 128314502, 503117780 128311302)"
48,533936,043214,320,3613,350,1,2,318,4-33-21-8-6447776,"LINESTRING (503122852 128321734, 503121871 128319634)"
49,533936,042214,321,3614,3613,1,2,319,4-33-21-8-6447803,"LINESTRING (503124202 128324401, 503122852 128321734)"
50,533936,042214,322,3615,3614,1,2,320,4-33-21-8-6447830,"LINESTRING (503124734 128325467, 503124202 128324401)"
51,533936,041114,323,2856,6630,1,2,321,4-33-21-8-6447899,"LINESTRING (503137004 128356564, 503137086 128354465, 503137086 128352598, 503137127 128351865)"
52,533936,043214,324,3620,3619,1,4,322,4-33-21-8-6447953,"LINESTRING (503148498 128391494, 503148171 128389827)"
53,533936,042214,325,3626,3628,1,4,323,4-33-21-8-6448055,"LINESTRING (503146084 128399326, 503146657 128398160)"
54,533936,042214,326,2991,148,1,2,324,4-33-21-8-6448074,"LINESTRING (503300053 128408696, 503300830 128409929)"
55,533936,042214,327,1526,2991,1,2,325,4-33-21-8-6448093,"LINESTRING (503299071 128406496, 503300053 128408696)"
