,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,533936,091112,2236,899,900,0,0,0,4-33-21-8-6499254,"LINESTRING (503368531 128323074, 503368817 128321141)"
1,533936,091112,2237,903,904,0,0,0,4-33-21-8-6499272,"LINESTRING (503367876 128319775, 503368245 128317041)"
2,533936,091112,2541,2490,2479,0,0,0,4-33-21-8-6504526,"LINESTRING (503364072 128320674, 503364399 128318408)"
3,533936,091112,2542,900,549,0,0,0,4-33-21-8-6504535,"LINESTRING (503368817 128321141, 503368981 128320075)"
4,533936,091112,2543,900,2491,0,0,0,4-33-21-8-6504544,"LINESTRING (503368817 128321141, 503366199 128320874)"
5,533936,091112,2544,2478,2491,0,0,0,4-33-21-8-6504553,"LINESTRING (503366281 128319175, 503366322 128319708, 503366199 128320874)"
6,533936,091112,2545,902,904,0,0,0,4-33-21-8-6504562,"LINESTRING (503366404 128316875, 503368245 128317041)"
7,533936,091112,2546,2478,902,0,0,0,4-33-21-8-6504580,"LINESTRING (503366281 128319175, 503366240 128318375, 503366404 128316875)"
8,533936,091112,3708,899,3760,0,0,0,4-33-21-8-6525474,"LINESTRING (503368531 128323074, 503363826 128322574)"
9,533936,091112,3709,2491,2490,0,0,0,4-33-21-8-6525483,"LINESTRING (503366199 128320874, 503364072 128320674)"
10,533936,091112,3710,3760,2490,0,0,0,4-33-21-8-6525492,"LINESTRING (503363826 128322574, 503364072 128320674)"
11,533936,091112,3711,2490,3761,0,0,0,4-33-21-8-6525501,"LINESTRING (503364072 128320674, 503361863 128320474)"
12,533936,091112,3712,3760,3762,0,0,0,4-33-21-8-6525510,"LINESTRING (503363826 128322574, 503361617 128322374)"
13,533936,091112,4212,958,955,0,0,0,4-33-21-8-6538528,"LINESTRING (503418351 128406466, 503418310 128406032, 503418269 128405899)"
14,533936,091112,4213,977,978,0,0,0,4-33-21-8-6538546,"LINESTRING (503408083 128411431, 503407633 128410498)"
15,533936,091112,4214,1227,1226,1,0,0,4-33-21-8-6538555,"LINESTRING (503536447 128380206, 503537142 128381239)"
16,533936,091112,4215,1375,1376,0,0,0,4-33-21-8-6538582,"LINESTRING (503100599 128331566, 503099577 128332866)"
17,533936,091112,4216,1406,1407,0,0,0,4-33-21-8-6538618,"LINESTRING (503103707 128342531, 503105957 128342431, 503106039 128343998)"
18,533936,091112,4217,1458,1459,0,0,0,4-33-21-8-6538681,"LINESTRING (503271952 128357068, 503270561 128358468)"
19,533936,091112,4218,1476,1477,0,0,0,4-33-21-8-6538690,"LINESTRING (503299195 128358835, 503300218 128359468)"
20,533936,091112,4219,1478,1477,0,0,0,4-33-21-8-6538699,"LINESTRING (503301239 128358402, 503300218 128359468)"
21,533936,091112,4220,1535,1536,0,0,0,4-33-21-8-6538762,"LINESTRING (503292690 128408296, 503292690 128409029)"
22,533936,091112,4221,1538,1546,0,0,0,4-33-21-8-6538771,"LINESTRING (503284755 128394664, 503284673 128395597)"
23,533936,091112,4222,1549,1550,0,0,0,4-33-21-8-6538780,"LINESTRING (503284428 128397397, 503283487 128397297)"
24,533936,091112,4223,1550,1547,0,0,0,4-33-21-8-6538789,"LINESTRING (503283487 128397297, 503283405 128398130)"
25,533936,091112,4224,507,1580,0,0,0,4-33-21-8-6538825,"LINESTRING (503281360 128405329, 503280787 128405329, 503279355 128405496)"
26,533936,091112,4225,1579,1580,0,0,0,4-33-21-8-6538834,"LINESTRING (503279191 128404696, 503279355 128405496)"
27,533936,091112,4226,1589,1590,0,0,0,4-33-21-8-6538843,"LINESTRING (503274365 128407963, 503274856 128408795)"
28,533936,091112,4227,1838,1839,0,0,0,4-33-21-8-6539284,"LINESTRING (503101537 128407258, 503102805 128406791)"
29,533936,091112,4229,1883,1884,0,0,0,4-33-21-8-6539338,"LINESTRING (503107755 128404424, 503108451 128404224)"
30,533936,091112,4230,1887,1888,0,0,0,4-33-21-8-6539356,"LINESTRING (503109268 128407458, 503110741 128406958)"
31,533936,091112,4231,1916,1917,0,0,0,4-33-21-8-6539446,"LINESTRING (503109516 128369195, 503111806 128369262)"
32,533936,091112,4232,1945,1946,0,0,0,4-33-21-8-6539491,"LINESTRING (503113196 128382327, 503113524 128382961)"
33,533936,091112,4233,1955,1956,0,0,0,4-33-21-8-6539509,"LINESTRING (503118433 128386694, 503120027 128386161)"
34,533936,091112,4234,1973,1974,0,0,0,4-33-21-8-6539563,"LINESTRING (503117204 128396060, 503117982 128395760, 503118554 128395593)"
35,533936,091112,4235,1985,1986,1,0,0,4-33-21-8-6539581,"LINESTRING (503120927 128395893, 503122645 128395260)"
36,533936,091112,4236,1995,5213,0,0,0,4-33-21-8-6539599,"LINESTRING (503115691 128396392, 503113646 128397025)"
37,533936,091112,4237,2004,2005,0,0,0,4-33-21-8-6539635,"LINESTRING (503124976 128399525, 503124118 128399825)"
38,533936,091112,4238,2029,2030,0,0,0,4-33-21-8-6539680,"LINESTRING (503117451 128366629, 503119415 128366396)"
39,533936,091112,4239,2122,2123,1,0,0,4-33-21-8-6539779,"LINESTRING (503180976 128408426, 503181589 128408926, 503182203 128409860)"
40,533936,091112,4240,2149,2152,0,0,0,4-33-21-8-6539815,"LINESTRING (503188217 128399294, 503189485 128398161)"
41,533936,091112,4241,2283,2284,0,0,0,4-33-21-8-6539923,"LINESTRING (503119291 128388560, 503120968 128387994)"
42,533936,091112,4242,2450,1403,0,0,0,4-33-21-8-6540085,"LINESTRING (503102277 128332266, 503101786 128333066, 503101540 128333432)"
43,533936,091112,4243,1406,2644,0,0,0,4-33-21-8-6540103,"LINESTRING (503103707 128342531, 503103830 128343631)"
44,533936,091112,4244,2639,1409,1,0,0,4-33-21-8-6540112,"LINESTRING (503099740 128345265, 503099208 128342365)"
45,533936,091112,4245,1425,2650,0,0,0,4-33-21-8-6540130,"LINESTRING (503114426 128339066, 503114834 128338899, 503114997 128338799, 503115202 128338699, 503115366 128338599, 503115529 128338466, 503115775 128338232)"
46,533936,091112,4246,2776,1850,1,0,0,4-33-21-8-6540193,"LINESTRING (503104483 128392826, 503103052 128393259)"
47,533936,091112,4247,1860,2776,1,0,0,4-33-21-8-6540202,"LINESTRING (503105833 128392426, 503104483 128392826)"
48,533936,091112,4248,2732,1862,1,0,0,4-33-21-8-6540211,"LINESTRING (503108615 128391593, 503107224 128392026)"
49,533936,091112,4249,1877,2571,0,0,0,4-33-21-8-6540220,"LINESTRING (503111192 128401192, 503111437 128401692, 503111723 128402159)"
50,533936,091112,4250,2802,1894,1,0,0,4-33-21-8-6540247,"LINESTRING (503126367 128406625, 503125917 128405725)"
51,533936,091112,4251,1917,1920,1,0,0,4-33-21-8-6540256,"LINESTRING (503111806 128369262, 503111725 128370128)"
52,533936,091112,4252,2832,2598,0,0,0,4-33-21-8-6540283,"LINESTRING (503111110 128383861, 503112583 128383394)"
53,533936,091112,4253,1947,2741,0,0,0,4-33-21-8-6540292,"LINESTRING (503113728 128383461, 503114383 128384894)"
54,533936,091112,4254,1958,2607,0,0,0,4-33-21-8-6540328,"LINESTRING (503116633 128389626, 503117082 128390593)"
55,533936,091112,4255,1960,2606,0,0,0,4-33-21-8-6540355,"LINESTRING (503117614 128389326, 503118023 128390260)"
