,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
0,533936,0,10,2358,1254,1,0,503168268,128113462,503168104,128113393,
1,533936,0,10,2358,1254,2,0,503168268,128113462,503168206,128113536,
2,533936,0,47,2439,1998,1,0,503088656,128312801,503088645,128312897,
3,533936,0,122,1369,5080,1,0,503116920,128333332,503116904,128333339,
4,533936,0,128,4467,4037,1,0,503352005,128327139,503352012,128327146,
5,533936,0,135,1856,2630,1,0,503099902,128396059,503099870,128396131,
6,533936,0,136,5455,7036,1,0,503098552,128395625,503098470,128395659,
7,533936,0,153,1012,4865,1,0,503481551,128409133,503481558,128409124,
8,533936,0,163,1467,5259,1,0,503289950,128370567,503289919,128370607,
9,533936,0,169,1346,2321,1,0,503095405,128311834,503095356,128311818,
10,533936,0,172,272,2092,1,0,503286638,128320306,503286629,128320210,
11,533936,0,189,1155,2298,1,0,503516075,128405102,503516055,128405089,
12,533936,0,197,196,2073,1,0,503330814,128392465,503330820,128392455,
13,533936,0,197,479,2115,1,0,503330486,128391666,503330456,128391730,
14,533936,0,199,198,2074,1,0,503335558,128392832,503335545,128392898,
15,533936,0,199,480,2116,1,0,503335396,128392066,503335372,128392114,
16,533936,0,207,206,2077,1,0,503297885,128394398,503297875,128394437,
17,533936,0,211,210,1537,1,0,503265734,128394097,503265632,128394001,
18,533936,0,213,4035,3794,1,0,503298335,128371700,503298326,128371671,
19,533936,0,216,1458,6624,1,0,503273261,128358001,503273393,128357864,
20,533936,0,216,1460,6637,1,0,503274202,128358634,503274201,128358614,
21,533936,0,217,4261,3934,1,0,503281360,128355034,503281354,128355017,
22,533936,0,217,4261,3934,2,0,503281360,128355034,503281431,128355179,
23,533936,0,218,4406,4001,1,0,503287169,128349535,503287204,128349502,
24,533936,0,226,234,2082,1,0,503346197,128321774,503346177,128321800,
25,533936,0,227,558,1604,1,0,503353109,128322840,503353123,128322825,
26,533936,0,228,229,2079,1,0,503319772,128311675,503319794,128311685,
27,533936,0,229,228,2079,1,0,503319076,128313807,503319070,128313792,
28,533936,0,230,231,2080,1,0,503333475,128318407,503333431,128318398,
29,533936,0,231,235,2084,1,0,503334702,128315974,503334811,128315983,
30,533936,0,232,233,2081,1,0,503340347,128320607,503340361,128320441,
31,533936,0,233,234,2083,1,0,503341492,128319174,503341423,128319163,
32,533936,0,234,233,2083,1,0,503346033,128319907,503346180,128319929,
33,533936,0,234,556,2141,1,0,503347465,128319740,503347454,128319746,
34,533936,0,235,231,2084,1,0,503340306,128316907,503340460,128316930,
35,533936,0,235,560,2142,1,0,503341901,128316674,503341811,128316658,
36,533936,0,237,4328,1538,1,0,503373521,128321108,503373385,128321059,
37,533936,0,243,244,2085,1,0,503408005,128317042,503408128,128317084,
38,533936,0,245,246,2086,1,0,503407351,128310577,503407310,128310634,
39,533936,0,247,2470,6754,1,0,503362314,128302977,503362651,128303022,
40,533936,0,249,250,2088,1,0,503388206,128325740,503388192,128325770,
41,533936,0,250,249,2088,1,0,503389024,128322608,503388959,128322520,
42,533936,0,251,252,2089,1,0,503399005,128326908,503399045,128326698,
43,533936,0,252,251,2089,1,0,503399946,128323541,503399823,128323526,
44,533936,0,254,4462,4029,1,0,503338996,128375601,503339048,128375641,
45,533936,0,254,4462,4029,2,0,503338996,128375601,503338969,128375602,
46,533936,0,255,256,789,1,0,503334659,128368668,503334690,128368650,
47,533936,0,255,876,2227,1,0,503333555,128368268,503333283,128368069,
48,533936,0,256,257,790,1,0,503336705,128370601,503336732,128370622,
49,533936,0,256,571,816,1,0,503337032,128369968,503337014,128369929,
50,533936,0,257,256,790,1,0,503334332,128372634,503334380,128372551,
51,533936,0,258,259,791,1,0,503336500,128374168,503336504,128374145,
52,533936,0,259,256,815,1,0,503338668,128371668,503338624,128371647,
53,533936,0,259,4232,3914,1,0,503339691,128372001,503339676,128371970,
54,533936,0,263,264,1156,1,0,503305126,128345936,503305132,128346025,
55,533936,0,267,2339,5095,1,0,503282997,128324472,503282819,128324364,
56,533936,0,268,6245,8610,1,0,503248515,128304706,503248459,128304749,
57,533936,0,274,405,2152,1,0,503284062,128311640,503284077,128311638,
58,533936,0,295,294,1159,1,0,503300424,128297276,503300384,128297393,
