,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
0,533936,5,1,1,1,0,40,0,10000,
1,533936,6,1,2,1,2,40,0,3362,
2,533936,6,1,2,2,0,40,3362,10000,
3,533936,7,1,1,1,2,40,0,10000,
4,533936,8,1,1,1,2,40,0,10000,
5,533936,9,1,1,1,2,40,0,10000,
6,533936,10,1,2,1,2,40,0,5504,
7,533936,10,1,2,2,0,40,5504,10000,
8,533936,11,1,1,1,2,40,0,10000,
9,533936,12,1,2,1,2,40,0,3084,
10,533936,12,1,2,2,0,40,3084,10000,
11,533936,13,1,1,1,2,40,0,10000,
12,533936,14,1,1,1,2,40,0,10000,
13,533936,15,1,1,1,2,40,0,10000,
14,533936,16,1,1,1,0,40,0,10000,
15,533936,17,1,1,1,2,40,0,10000,
16,533936,18,1,1,1,2,40,0,10000,
17,533936,19,1,1,1,2,40,0,10000,
18,533936,20,1,1,1,2,40,0,10000,
19,533936,21,1,1,1,2,40,0,10000,
20,533936,22,1,1,1,2,40,0,10000,
21,533936,23,1,1,1,2,40,0,10000,
22,533936,24,1,1,1,2,40,0,10000,
23,533936,25,1,1,1,2,40,0,10000,
24,533936,26,1,1,1,2,40,0,10000,
25,533936,27,1,1,1,2,40,0,10000,
26,533936,28,1,1,1,2,40,0,10000,
27,533936,29,1,1,1,2,40,0,10000,
28,533936,30,1,1,1,2,40,0,10000,
29,533936,31,1,1,1,2,40,0,10000,
30,533936,32,1,1,1,2,40,0,10000,
31,533936,33,1,1,1,2,40,0,10000,
32,533936,34,1,1,1,2,50,0,10000,
33,533936,35,1,1,1,2,40,0,10000,
34,533936,36,1,1,1,2,40,0,10000,
35,533936,37,1,1,1,2,50,0,10000,
36,533936,38,1,1,1,2,40,0,10000,
37,533936,39,1,1,1,2,40,0,10000,
38,533936,40,1,1,1,2,40,0,10000,
39,533936,41,1,1,1,2,40,0,10000,
40,533936,42,1,1,1,0,40,0,10000,
41,533936,43,1,1,1,0,40,0,10000,
42,533936,44,1,1,1,2,40,0,10000,
43,533936,45,1,1,1,2,40,0,10000,
44,533936,46,1,1,1,2,30,0,10000,
45,533936,47,1,1,1,2,30,0,10000,
46,533936,48,1,1,1,2,30,0,10000,
47,533936,49,1,1,1,2,30,0,10000,
48,533936,50,1,1,1,2,30,0,10000,
49,533936,51,1,1,1,2,30,0,10000,
50,533936,52,1,1,1,2,30,0,10000,
51,533936,53,1,1,1,2,50,0,10000,
52,533936,54,1,1,1,2,40,0,10000,
53,533936,55,1,1,1,0,50,0,10000,
54,533936,56,1,2,1,0,50,0,8506,
55,533936,56,1,2,2,0,40,8506,10000,
56,533936,57,1,1,1,0,60,0,10000,
57,533936,58,1,1,1,2,40,0,10000,
58,533936,59,1,1,1,0,60,0,10000,
59,533936,60,1,1,1,0,70,0,10000,
60,533936,61,1,2,1,0,40,0,7776,
61,533936,61,1,2,2,0,50,7776,10000,
62,533936,62,1,1,1,2,50,0,10000,
63,533936,63,1,1,1,0,70,0,10000,
64,533936,64,1,1,1,2,40,0,10000,
65,533936,65,1,1,1,2,50,0,10000,
66,533936,66,1,1,1,2,40,0,10000,
67,533936,67,1,1,1,0,80,0,10000,
68,533936,68,1,1,1,0,80,0,10000,
69,533936,69,1,2,1,2,60,0,1244,
70,533936,69,1,2,2,0,60,1244,10000,
71,533936,70,1,1,1,2,60,0,10000,
72,533936,71,1,2,1,2,50,0,2277,
73,533936,71,1,2,2,0,50,2277,10000,
74,533936,72,1,1,1,0,60,0,10000,
75,533936,73,1,1,1,2,40,0,10000,
76,533936,74,1,1,1,2,40,0,10000,
77,533936,75,1,1,1,2,40,0,10000,
78,533936,76,1,2,1,2,40,0,4912,
79,533936,76,1,2,2,0,40,4912,10000,
80,533936,77,1,1,1,2,50,0,10000,
81,533936,78,1,1,1,2,50,0,10000,
82,533936,79,1,1,1,0,60,0,10000,
83,533936,80,1,1,1,0,60,0,10000,
84,533936,81,1,2,1,2,40,0,1229,
85,533936,81,1,2,2,0,40,1229,10000,
86,533936,82,1,1,1,0,50,0,10000,
87,533936,83,1,1,1,0,50,0,10000,
88,533936,84,1,1,1,0,60,0,10000,
89,533936,85,1,1,1,0,60,0,10000,
90,533936,86,1,1,1,0,80,0,10000,
91,533936,87,1,1,1,2,80,0,10000,
92,533936,88,1,1,1,2,80,0,10000,
93,533936,89,1,1,1,2,80,0,10000,
94,533936,90,1,1,1,2,80,0,10000,
95,533936,91,1,1,1,0,80,0,10000,
96,533936,92,1,1,1,0,80,0,10000,
97,533936,93,1,1,1,0,80,0,10000,
98,533936,94,1,1,1,0,80,0,10000,
99,533936,95,1,1,1,0,60,0,10000,
100,533936,96,1,1,1,0,60,0,10000,
101,533936,97,1,1,1,0,60,0,10000,
102,533936,98,1,1,1,0,60,0,10000,
103,533936,99,1,1,1,0,60,0,10000,
104,533936,100,1,1,1,0,60,0,10000,
105,533936,101,1,1,1,0,40,0,10000,
106,533936,102,1,1,1,0,50,0,10000,
107,533936,103,1,1,1,2,50,0,10000,
108,533936,104,1,1,1,2,50,0,10000,
109,533936,105,1,1,1,2,50,0,10000,
110,533936,106,1,1,1,2,50,0,10000,
111,533936,107,1,1,1,2,50,0,10000,
112,533936,108,1,1,1,2,30,0,10000,
113,533936,109,1,1,1,2,40,0,10000,
114,533936,110,1,1,1,0,80,0,10000,
115,533936,111,1,1,1,0,80,0,10000,
116,533936,112,1,1,1,0,80,0,10000,
117,533936,113,1,1,1,0,80,0,10000,
118,533936,114,1,1,1,0,80,0,10000,
119,533936,115,1,1,1,0,80,0,10000,
120,533936,116,1,1,1,0,80,0,10000,
121,533936,5864,1,1,1,2,80,0,10000,
122,533936,5869,1,1,1,2,80,0,10000,
123,533936,5992,1,1,1,0,50,0,10000,
124,533936,5998,1,1,1,0,50,0,10000,
125,533936,6032,1,1,1,2,80,0,10000,
126,533936,6037,1,1,1,2,80,0,10000,
127,533936,6042,1,1,1,0,80,0,10000,
128,533936,6052,1,1,1,0,60,0,10000,
129,533936,6062,1,1,1,0,50,0,10000,
130,533936,6175,1,2,1,2,50,0,3333,
131,533936,6175,1,2,2,0,50,3333,10000,
132,533936,6188,1,1,1,0,60,0,10000,
133,533936,6193,1,1,1,0,60,0,10000,
134,533936,6197,1,1,1,0,60,0,10000,
135,533936,6201,1,1,1,0,60,0,10000,
136,533936,6205,1,1,1,0,60,0,10000,
137,533936,6211,1,1,1,0,60,0,10000,
138,533936,6214,1,1,1,0,80,0,10000,
139,533936,6218,1,1,1,2,80,0,10000,
140,533936,6223,1,1,1,0,60,0,10000,
141,533936,6226,1,1,1,0,60,0,10000,
142,533936,6227,1,1,1,2,80,0,10000,
143,533936,6232,1,1,1,2,80,0,10000,
144,533936,6234,1,1,1,0,80,0,10000,
145,533936,6238,1,1,1,2,80,0,10000,
146,533936,6241,1,1,1,0,80,0,10000,
147,533936,6243,1,1,1,2,80,0,10000,
148,533936,6247,1,1,1,0,80,0,10000,
149,533936,6250,1,1,1,2,80,0,10000,
150,533936,6253,1,1,1,0,60,0,10000,
151,533936,6256,1,1,1,0,80,0,10000,
152,533936,6259,1,1,1,0,60,0,10000,
153,533936,6263,1,1,1,0,80,0,10000,
154,533936,6266,1,1,1,0,80,0,10000,
155,533936,6267,1,1,1,0,80,0,10000,
156,533936,6271,1,1,1,0,80,0,10000,
157,533936,6272,1,1,1,0,80,0,10000,
158,533936,6276,1,1,1,0,80,0,10000,
159,533936,6277,1,1,1,2,40,0,10000,
160,533936,6282,1,1,1,0,80,0,10000,
161,533936,6283,1,1,1,2,40,0,10000,
162,533936,6286,1,2,1,2,50,0,1560,
163,533936,6286,1,2,2,0,50,1560,10000,
164,533936,6303,1,1,1,0,70,0,10000,
165,533936,6306,1,1,1,0,70,0,10000,
166,533936,6312,1,1,1,0,70,0,10000,
167,533936,6317,1,2,1,2,40,0,7427,
168,533936,6317,1,2,2,0,40,7427,10000,
169,533936,6329,1,1,1,2,40,0,10000,
170,533936,6357,1,1,1,2,40,0,10000,
171,533936,6363,1,1,1,2,40,0,10000,
172,533936,6369,1,1,1,2,80,0,10000,
173,533936,6375,1,1,1,0,80,0,10000,
174,533936,6383,1,1,1,2,80,0,10000,
175,533936,6388,1,1,1,2,80,0,10000,
176,533936,6404,1,1,1,2,50,0,10000,
177,533936,6409,1,1,1,2,50,0,10000,
178,533936,6412,1,1,1,0,80,0,10000,
179,533936,6420,1,1,1,0,50,0,10000,
180,533936,6426,1,1,1,0,50,0,10000,
181,533936,6431,1,1,1,2,40,0,10000,
182,533936,6434,1,1,1,0,60,0,10000,
183,533936,6438,1,1,1,2,40,0,10000,
184,533936,6441,1,1,1,0,60,0,10000,
185,533936,6448,1,1,1,0,50,0,10000,
186,533936,6453,1,1,1,0,50,0,10000,
187,533936,6465,1,1,1,0,50,0,10000,
188,533936,6469,1,1,1,0,60,0,10000,
189,533936,6470,1,1,1,2,50,0,10000,
190,533936,6474,1,1,1,0,60,0,10000,
191,533936,6475,1,1,1,2,50,0,10000,
192,533936,6477,1,1,1,0,50,0,10000,
193,533936,6478,1,1,1,0,60,0,10000,
194,533936,6479,1,1,1,0,40,0,10000,
195,533936,6484,1,1,1,0,50,0,10000,
196,533936,6485,1,1,1,0,40,0,10000,
197,533936,6488,1,1,1,2,50,0,10000,
198,533936,6494,1,1,1,2,50,0,10000,
199,533936,6495,1,1,1,0,40,0,10000,
200,533936,6502,1,1,1,0,50,0,10000,
