,meshcode,tnodeno,inlinkno,signcnt,signno,signaltype,signalx,signaly,slinetype,slinex,sliney,geometry
0,533936,2,6567,2,1,3,503104767,128110883,0,503106897,128111443,
1,533936,2,6567,2,2,3,503106583,128112000,0,503106897,128111443,
2,533936,9,1248,4,1,3,503106321,128110694,0,503105587,128112484,
3,533936,9,1248,4,2,3,503104856,128112317,0,503105587,128112484,
4,533936,9,1248,4,3,3,503103653,128136331,0,503103676,128136636,
5,533936,9,1248,4,4,3,503103354,128136564,0,503103676,128136636,
6,533936,42,671,2,1,3,503088089,128312704,0,503088412,128312115,
7,533936,42,671,2,2,3,503087491,128312507,0,503088412,128312115,
8,533936,44,833,2,1,3,503089690,128316564,0,503090025,128316340,
9,533936,44,833,2,2,3,503089706,128316259,0,503090025,128316340,
10,533936,65,3589,1,1,3,503087510,128393510,0,503088470,128393126,
11,533936,110,178,3,1,3,503194548,128257833,0,503192497,128257326,
12,533936,110,178,3,2,3,503194396,128258363,0,503192497,128257326,
13,533936,110,178,3,3,3,503193071,128257045,0,503192497,128257326,
14,533936,110,9092,4,1,3,503193254,128257044,0,503193354,128256889,
15,533936,110,9092,4,2,3,503192513,128258007,0,503193354,128256889,
16,533936,110,9092,4,3,3,503193529,128258190,0,503193354,128256889,
17,533936,110,9092,4,4,3,503193065,128258105,0,503193354,128256889,
18,533936,111,1465,2,1,3,503371684,128329376,0,503372017,128329426,
19,533936,111,1465,2,2,3,503372097,128328343,0,503372017,128329426,
20,533936,114,1032,2,1,3,503175302,128246798,0,503175595,128245966,
21,533936,114,1032,2,2,3,503175073,128246706,0,503175595,128245966,
22,533936,115,400,2,1,3,503288654,128308980,0,503288755,128307704,
23,533936,115,400,2,2,3,503288890,128309104,0,503288755,128307704,
24,533936,115,5886,2,1,3,503288379,128308098,0,503288133,128308274,
25,533936,115,5886,2,2,3,503290155,128309104,0,503288133,128308274,
26,533936,116,170,2,1,3,503324568,128320239,0,503324218,128320431,
27,533936,116,170,2,2,3,503326666,128321180,0,503324218,128320431,
28,533936,116,335,2,1,3,503324845,128321053,0,503325011,128320084,
29,533936,116,335,2,2,3,503325232,128321124,0,503325011,128320084,
30,533936,117,148,2,1,3,503132483,128394470,0,503132238,128394268,
31,533936,117,148,2,2,3,503132807,128394486,0,503132238,128394268,
32,533936,117,587,1,1,3,503132967,128394521,0,503132278,128395124,
33,533936,118,180,2,1,3,503133695,128395456,0,503133090,128395624,
34,533936,118,180,2,2,3,503134013,128396775,0,503133090,128395624,
35,533936,118,600,2,1,3,503133527,128396586,0,503133476,128396681,
36,533936,118,600,2,2,3,503134944,128395360,0,503133476,128396681,
37,533936,119,186,2,1,3,503137911,128400770,0,503138908,128401043,
38,533936,119,186,2,2,3,503137418,128399163,0,503138908,128401043,
39,533936,119,641,4,1,3,503136328,128400345,0,503136679,128400922,
40,533936,119,641,4,2,3,503137241,128400649,0,503136679,128400922,
41,533936,119,641,4,3,3,503138970,128400198,0,503136679,128400922,
42,533936,119,641,4,4,3,503138602,128399439,0,503136679,128400922,
43,533936,120,252,3,1,3,503109981,128336519,0,503109722,128336457,
44,533936,120,252,3,2,3,503111019,128337682,0,503109722,128336457,
45,533936,120,252,3,3,3,503111937,128337123,0,503109722,128336457,
46,533936,120,4147,3,1,3,503111837,128336261,0,503110091,128337396,
47,533936,120,4147,3,2,3,503110243,128337274,0,503110091,128337396,
48,533936,120,4147,3,3,3,503112215,128336806,0,503110091,128337396,
49,533936,121,248,3,1,3,503112215,128336806,0,503112021,128336134,
50,533936,121,248,3,2,3,503110243,128337274,0,503112021,128336134,
51,533936,121,248,3,3,3,503109968,128336879,0,503112021,128336134,
52,533936,121,249,1,1,3,503111066,128336161,0,503112038,128337484,
53,533936,122,4123,3,1,3,503117552,128333757,0,503117281,128333127,
54,533936,122,4123,3,2,3,503118071,128333344,0,503117281,128333127,
55,533936,122,4123,3,3,3,503118204,128334536,0,503117281,128333127,
56,533936,122,6429,2,1,3,503118034,128334533,0,503117802,128334816,
57,533936,122,6429,2,2,3,503118511,128333445,0,503117802,128334816,
58,533936,122,6947,1,1,3,503117464,128333801,0,503118566,128333384,
59,533936,123,6427,3,1,3,503126210,128330478,0,503126140,128330474,
60,533936,123,6427,3,2,3,503126659,128330551,0,503126140,128330474,
61,533936,123,6427,3,3,3,503127005,128331803,0,503126140,128330474,
62,533936,123,6943,3,1,3,503126168,128331505,0,503126443,128331533,
63,533936,123,6943,3,2,3,503126062,128331022,0,503126443,128331533,
64,533936,123,6943,3,3,3,503128246,128330886,0,503126443,128331533,
65,533936,124,182,2,1,3,503140628,128403874,0,503141035,128403681,
66,533936,124,182,2,2,3,503140400,128403052,0,503141035,128403681,
67,533936,124,185,2,1,3,503140400,128403052,0,503139806,128403186,
68,533936,124,185,2,2,3,503140628,128403874,0,503139806,128403186,
69,533936,124,1635,1,1,3,503140726,128403217,1,503139993,128403760,
70,533936,124,2171,1,1,3,503139855,128403534,0,503141010,128403074,
71,533936,125,182,2,1,3,503143778,128406360,0,503143396,128406592,
72,533936,125,182,2,2,3,503144034,128407138,0,503143396,128406592,
73,533936,125,265,2,1,3,503144034,128407138,0,503144459,128406891,
74,533936,125,265,2,2,3,503143858,128406392,0,503144459,128406891,
75,533936,125,1561,1,1,3,503143235,128407148,1,503144242,128406380,
76,533936,125,1637,1,1,3,503144372,128406570,0,503143486,128407232,
77,533936,127,143,2,1,3,503521196,128313547,0,503520590,128313607,
78,533936,127,143,2,2,3,503519143,128314394,0,503520590,128313607,
79,533936,127,550,2,1,3,503520029,128313825,0,503520894,128314186,
80,533936,127,550,2,2,3,503520557,128314619,0,503520894,128314186,
81,533936,127,6320,5,1,3,503519540,128313846,0,503519200,128314004,
82,533936,127,6320,5,2,3,503520019,128314742,0,503519200,128314004,
83,533936,127,6320,5,3,3,503520420,128314714,0,503519200,128314004,
84,533936,127,6320,5,4,3,503515023,128314283,0,503515032,128314476,
85,533936,127,6320,5,5,3,503515313,128314328,0,503515032,128314476,
86,533936,129,130,3,1,3,503325022,128317619,0,503326956,128318174,
87,533936,129,130,3,2,3,503326582,128318410,0,503326956,128318174,
88,533936,129,130,3,3,3,503325396,128317969,0,503326956,128318174,
89,533936,129,281,2,1,3,503326102,128317290,0,503326468,128318544,
90,533936,129,281,2,2,3,503326372,128317951,0,503326468,128318544,
91,533936,130,3691,2,1,3,503325975,128317269,0,503325500,128317441,
92,533936,130,3691,2,2,3,503325512,128318061,0,503325500,128317441,
93,533936,130,6199,1,1,3,503326729,128318384,1,503325129,128317898,
94,533936,131,278,2,1,3,503291522,128391771,0,503291333,128390775,
95,533936,131,278,2,2,3,503290426,128391953,0,503291333,128390775,
96,533936,131,394,2,1,3,503291830,128391614,0,503292369,128391198,
97,533936,131,394,2,2,3,503290497,128391439,0,503292369,128391198,
98,533936,131,2076,2,1,3,503291560,128391676,0,503290015,128391658,
99,533936,131,2076,2,2,3,503291830,128391614,0,503290015,128391658,
100,533936,131,6281,3,1,3,503291709,128390808,0,503290798,128392299,
101,533936,131,6281,3,2,3,503290566,128391361,0,503290798,128392299,
102,533936,131,6281,3,3,3,503290426,128391953,0,503290798,128392299,
103,533936,132,278,3,1,3,503292505,128382233,0,503292889,128383756,
104,533936,132,278,3,2,3,503292573,128383082,0,503292889,128383756,
105,533936,132,278,3,3,3,503293817,128382014,0,503292889,128383756,
106,533936,132,1351,2,1,3,503294087,128382829,0,503292224,128382790,
107,533936,132,1351,2,2,3,503293511,128383325,0,503292224,128382790,
108,533936,132,7351,2,1,3,503292300,128382289,0,503294234,128382850,
109,533936,132,7351,2,2,3,503293511,128383325,0,503294234,128382850,
110,533936,132,7840,2,1,3,503293817,128382014,0,503292772,128381703,
111,533936,132,7840,2,2,3,503292573,128383082,0,503292772,128381703,
112,533936,133,378,2,1,3,503102892,128405462,0,503102546,128404716,
