,meshcode,nodeno,stotlinkno,ttoelinkno,snodeno,enodeno,geometry
0,533936,1,6322,7381,5069,4218,
1,533936,78,7308,55,5769,66,
2,533936,80,6514,7502,5181,5790,
3,533936,80,62,7502,91,5790,
4,533936,81,76,6526,3772,5189,
5,533936,81,23,6526,3631,5189,
6,533936,82,6523,5,5189,4592,
7,533936,82,7,5,4766,4592,
8,533936,84,36,56,3791,79,
9,533936,84,78,56,3790,79,
10,533936,85,8017,57,5898,86,
11,533936,86,57,7266,85,5771,
12,533936,86,30,7266,3778,5771,
13,533936,87,6850,7682,5324,5788,
14,533936,87,109,7682,4504,5788,
15,533936,89,5998,8088,3637,6050,
16,533936,90,61,65,79,3480,
17,533936,90,6502,65,5173,3480,
18,533936,92,6479,7803,5158,5984,
19,533936,92,7309,7803,5770,5984,
20,533936,93,7937,115,6137,4007,
21,533936,94,7297,132,5758,534,
22,533936,94,7296,132,5757,534,
23,533936,95,114,7935,4006,5979,
24,533936,95,58,7935,96,5979,
25,533936,96,13,58,424,95,
26,533936,99,91,88,3996,3994,
27,533936,99,14,88,3581,3994,
28,533936,100,67,92,4720,3996,
29,533936,101,7305,93,5766,3997,
30,533936,102,15,68,3582,4717,
31,533936,102,94,68,3997,4717,
32,533936,103,60,6312,408,5062,
33,533936,104,6267,113,3498,4006,
34,533936,105,66,6272,3497,411,
35,533936,105,116,6272,4007,411,
36,533936,106,6188,8220,4954,6216,
37,533936,106,31,8220,3779,6216,
38,533936,107,8518,155,6376,3838,
39,533936,108,8421,125,6063,109,
40,533936,109,125,159,108,3900,
41,533936,110,178,179,98,113,
42,533936,110,9092,5958,6734,4821,
43,533936,111,1465,1187,3765,538,
44,533936,111,9031,7934,6553,5973,
45,533936,111,9202,7934,6663,5973,
46,533936,113,5967,9066,4827,6715,
47,533936,113,7426,5926,5682,4803,
48,533936,113,179,5926,110,4803,
49,533936,114,1032,6077,3848,4890,
50,533936,115,5886,7458,4777,5956,
51,533936,115,400,7276,404,273,
52,533936,116,335,7470,130,5969,
53,533936,116,170,151,4412,224,
54,533936,117,148,180,2496,118,
55,533936,118,600,633,341,2064,
56,533936,118,633,600,2064,341,
57,533936,119,641,527,327,3630,
58,533936,119,186,7850,422,6186,
59,533936,119,8510,186,6478,422,
60,533936,119,7850,186,6186,422,
61,533936,120,181,4147,121,1381,
62,533936,120,252,250,1380,2646,
63,533936,120,4147,181,1381,121,
64,533936,120,6111,4147,4879,1381,
65,533936,121,181,248,120,2413,
66,533936,121,249,251,1417,1379,
67,533936,121,248,181,2413,120,
68,533936,121,6104,248,4879,2413,
69,533936,122,6947,6429,5409,5122,
70,533936,122,6457,4123,5130,689,
71,533936,122,6429,6947,5122,5409,
72,533936,123,6943,6442,5408,5123,
73,533936,123,6442,6943,5123,5408,
74,533936,123,6427,6400,5115,5101,
75,533936,123,6489,6943,5151,5408,
76,533936,124,182,185,125,422,
77,533936,124,185,182,422,125,
78,533936,124,2171,1635,637,636,
79,533936,125,182,265,124,626,
80,533936,125,265,182,626,124,
81,533936,125,1637,1561,639,640,
82,533936,126,6512,215,5167,3517,
83,533936,127,143,175,3507,4566,
84,533936,127,550,6320,3957,5050,
85,533936,127,6320,550,5050,3957,
86,533936,128,8048,8315,6132,6338,
87,533936,129,281,2135,224,555,
88,533936,129,130,126,533,130,
89,533936,130,7279,6199,5970,4981,
90,533936,130,126,6199,129,4981,
91,533936,130,3691,335,554,116,
92,533936,131,2076,394,205,177,
93,533936,131,394,2076,177,205,
94,533936,132,7840,278,5832,131,
95,533936,132,278,7840,131,5832,
96,533936,132,7351,1351,5833,1498,
97,533936,132,1351,7351,1498,5833,
98,533936,133,2582,2581,1880,2568,
99,533936,133,2581,2582,2568,1880,
100,533936,133,378,402,134,426,
101,533936,133,402,378,426,134,
102,533936,135,379,454,136,2502,
103,533936,135,454,379,2502,136,
104,533936,138,544,380,2881,137,
105,533936,138,886,7546,2547,5853,
106,533936,138,7546,886,5853,2547,
107,533936,138,9247,886,6525,2547,
108,533936,140,431,7856,137,5856,
109,533936,140,7547,529,5855,2116,
110,533936,140,8464,529,5596,2116,
111,533936,141,435,9314,2126,6807,
112,533936,141,9248,9324,6300,6819,
113,533936,143,7347,381,2908,142,
114,533936,143,2572,8334,2546,6286,
115,533936,143,8334,2572,6286,2546,
116,533936,143,9179,2572,6562,2546,
117,533936,145,442,6029,2172,4887,
118,533936,145,8546,882,6355,2175,
119,533936,145,9141,882,6518,2175,
120,533936,145,882,8546,2175,6355,
121,533936,146,6354,2205,5104,4642,
122,533936,146,383,382,147,4641,
123,533936,146,382,383,4641,147,
124,533936,146,2205,6354,4642,5104,
125,533936,148,553,576,4051,4428,
126,533936,148,576,553,4428,4051,
127,533936,148,540,288,4661,792,
128,533936,148,326,540,2991,4661,
129,533936,149,556,384,2915,150,
130,533936,149,384,556,150,2915,
131,533936,149,4994,1930,1532,4653,
132,533936,151,7087,478,5500,2216,
133,533936,151,478,7087,2216,5500,
134,533936,154,6097,410,5366,441,
135,533936,154,1821,6851,597,5377,
136,533936,154,6851,1821,5377,597,
137,533936,155,6835,6837,159,4807,
138,533936,155,6645,6841,215,5329,
139,533936,155,6841,6645,5329,215,
140,533936,156,467,6903,1459,5396,
141,533936,156,6903,467,5396,1459,
142,533936,159,387,7676,158,5803,
143,533936,159,6848,6875,5329,5379,
144,533936,159,6875,6835,5379,155,
145,533936,159,6912,6835,5392,155,
