order,polyline,lane,width,length,oneway_code,is_highway,elevation,roadType,speed
OE,"[34.3920931, 132.3863858, 34.3902875, 132.3876981]",2,7.5,233,0,False,"[[34.3920989, 132.3863806, 159.282], [34.3908222, 132.3873136, 160.808], [34.3902922, 132.3877008, 165.112]]",6,40
OE,"[34.3924389, 132.3861342, 34.3920931, 132.3863858]",2,7.5,44,0,False,"[[34.3924375, 132.3861328, 158.86], [34.3920992, 132.3863803, 159.282]]",6,40
OE,"[34.3930136, 132.3857144, 34.3924389, 132.3861342]",2,7.5,74,0,False,"[[34.3930128, 132.3857147, 160.117], [34.3924375, 132.3861325, 158.86]]",6,40
OE,"[34.3924389, 132.3861342, 34.3922711, 132.3854933]",2,7.5,61,0,False,"[[34.3924375, 132.3861328, 158.86], [34.3922739, 132.3855019, 156.773]]",6,-60
OE,"[34.3954844, 132.3846778, 34.3952811, 132.3846778, 34.3946969, 132.3846931, 34.394575, 132.3847006, 34.3944833, 132.3847389, 34.3943003, 132.3848075, 34.3941019, 132.3849294, 34.3935581, 132.3853253, 34.3930136, 132.3857144]",2,7.5,298,0,False,"[[34.3954828, 132.3846792, 166.038], [34.3952775, 132.3846783, 165.499], [34.3947003, 132.3846858, 164.324], [34.3945783, 132.3847056, 163.989], [34.3944847, 132.3847333, 163.845], [34.3943031, 132.3848086, 163.383], [34.3941047, 132.3849253, 162.832], [34.3930139, 132.3857142, 160.117]]",6,40
OE,"[34.3927336, 132.3846244, 34.3930136, 132.3857144]",2,7.5,105,0,False,"[[34.3927342, 132.3846186, 156.435], [34.3930125, 132.3857147, 160.117]]",6,-60
OE,"[34.3979467, 132.3851347, 34.3977428, 132.3849294, 34.3976056, 132.384815, 34.3974833, 132.3847389, 34.3973817, 132.3847006, 34.39699, 132.3846931, 34.3966594, 132.3846778, 34.3963136, 132.3846778, 34.3959728, 132.3846778, 34.3954844, 132.3846778]",2,7.5,285,0,False,"[[34.3979478, 132.3851292, 183.676], [34.3977422, 132.3849294, 181.784], [34.3976033, 132.3848158, 180.63], [34.3974783, 132.3847328, 179.665], [34.3973817, 132.3846972, 178.947], [34.3969953, 132.3846858, 176.311], [34.3966633, 132.3846761, 174.072], [34.3959778, 132.3846769, 169.235], [34.3954836, 132.3846797, 166.038]]",6,40
OE,"[34.3954844, 132.3846778, 34.3954844, 132.3849294, 34.3954847, 132.3855772, 34.3954847, 132.3862256, 34.3954847, 132.3868819]",2,7.5,202,0,False,"[[34.3954828, 132.3846792, 166.038], [34.3954811, 132.3849261, 166.45], [34.3954792, 132.3868819, 174.002]]",6,40
OE,"[34.3954844, 132.3826103, 34.3954844, 132.3835181, 34.3954844, 132.3844183, 34.3954844, 132.3846778]",2,7.5,190,0,False,"[[34.3954828, 132.3826111, 163.267], [34.3954828, 132.3844175, 165.6], [34.3954828, 132.3846789, 166.038]]",6,40
OE,"[34.3983786, 132.3840217, 34.3983736, 132.3842964, 34.3983633, 132.3843419, 34.3983328, 132.3844717, 34.3983175, 132.3845556, 34.3982514, 132.3846931, 34.3980733, 132.3849372, 34.3979467, 132.3851347]",2,7.5,117,0,False,"[[34.3983769, 132.3840189, 187.176], [34.3983722, 132.3842897, 186.359], [34.3983656, 132.3843419, 186.244], [34.3983383, 132.3844739, 185.754], [34.3983125, 132.3845533, 185.519], [34.3982517, 132.3846864, 185.116], [34.3980764, 132.3849394, 183.997], [34.3979492, 132.3851283, 183.676]]",6,-60
OE,"[34.3984756, 132.3856992, 34.3979467, 132.3851347]",2,7.5,78,0,False,"[[34.3984761, 132.3856992, 189.412], [34.3979478, 132.3851294, 183.676]]",6,40
OE,"[34.3979467, 132.3851347, 34.3977992, 132.3853483]",2,7.5,25,0,False,"[[34.3979478, 132.3851292, 183.676], [34.3977981, 132.3853489, 183.777]]",6,-60
OE,"[34.3986892, 132.3859206, 34.3984756, 132.3856992]",2,7.5,31,0,False,"[[34.3986833, 132.3859208, 188.99], [34.3984761, 132.3856994, 189.412]]",6,40
OE,"[34.3990756, 132.3840369, 34.3990194, 132.3840292, 34.3989636, 132.3840522, 34.3988719, 132.3841819, 34.3988517, 132.3842353, 34.3988517, 132.3844411, 34.3988414, 132.3845328, 34.3987803, 132.3847158, 34.3987244, 132.3848533, 34.3985669, 132.3851881, 34.3984756, 132.3856992]",2,7.5,177,0,False,"[[34.3990756, 132.3840369, 194.538], [34.3990164, 132.3840283, 194.827], [34.3989628, 132.3840539, 194.864], [34.398875, 132.3841781, 194.888], [34.3988575, 132.3842367, 195.034], [34.3988558, 132.3844358, 195.407], [34.398845, 132.3845306, 195.528], [34.3987833, 132.3847139, 195.597], [34.3987239, 132.3848536, 195.398], [34.3985644, 132.3851864, 194.062], [34.3984778, 132.3856978, 189.412]]",6,-60
OE,"[34.3990758, 132.3863247, 34.3986892, 132.3859206]",2,7.5,56,0,False,"[[34.3990758, 132.3863247, 184.416], [34.3986836, 132.3859208, 188.99]]",6,40
OE,"[34.3979364, 132.3859281, 34.3986892, 132.3859206]",2,7.5,83,0,False,"[[34.3979403, 132.3859278, 185.611], [34.3986833, 132.3859208, 188.99]]",6,-60
OE,"[34.3998642, 132.3869733, 34.3993556, 132.3865767, 34.3991978, 132.3864544, 34.3990758, 132.3863247]",1,4.0,106,0,False,"[[34.3998628, 132.3869739, 174.982], [34.3993536, 132.3865806, 181.136], [34.3991964, 132.3864517, 182.972], [34.3990761, 132.3863253, 184.416]]",6,40
OE,"[34.3998642, 132.3869733, 34.3996403, 132.3874083]",2,7.5,47,0,False,"[[34.3998628, 132.3869739, 174.982], [34.3996428, 132.3874014, 175.357]]",6,-60
OE,"[34.4007236, 132.3876219, 34.3998642, 132.3869733]",1,4.0,112,0,False,"[[34.4007278, 132.3876194, 165.087], [34.3998628, 132.3869739, 174.982]]",6,40
