order,polyline,lane,width,length,oneway_code,is_highway,elevation,roadType,speed
OE,"[44.179725, 142.3710908, 44.1797758, 142.37074, 44.1798572, 142.3701219, 44.1799031, 142.3697253, 44.1799692, 142.3691225, 44.1800047, 142.3685808, 44.1800353, 142.3681689, 44.1800506, 142.3676119]",2,7.5,280,0,False,"[[44.1797272, 142.3710914, 131.113], [44.1797733, 142.3707392, 132.01], [44.1798564, 142.3701258, 133.51], [44.1799025, 142.3697283, 135.547], [44.1799672, 142.3691264, 137.261], [44.1800039, 142.3685811, 136.543], [44.1800317, 142.3681722, 134.337], [44.18005, 142.3676156, 131.087]]",2,50
OE,"[44.1800861, 142.367055, 44.18032, 142.3677722, 44.180615, 142.3686114, 44.1808847, 142.3694583, 44.180905, 142.3695803, 44.1809558, 142.3702897, 44.1810067, 142.3709917]",1,4.0,335,0,False,"[[44.1800883, 142.3670572, 127.662], [44.1803197, 142.3677733, 127.12], [44.1806158, 142.3686139, 126.525], [44.1808842, 142.3694547, 125.879], [44.1809025, 142.3695797, 125.623], [44.1810044, 142.3709889, 126.638]]",6,-60
OE,"[44.1794858, 142.3674975, 44.1795164, 142.3675356, 44.1795622, 142.3675661, 44.1799692, 142.3676119, 44.1800506, 142.3676119]",1,2.0,64,0,False,"[[44.1794894, 142.3674972, 137.775], [44.1795139, 142.3675344, 137.478], [44.17956, 142.3675683, 136.879], [44.1799672, 142.3676139, 131.5], [44.1800503, 142.3676139, 131.087]]",9,-60
OE,"[44.1800506, 142.3676119, 44.1800861, 142.367055]",2,7.5,44,0,False,"[[44.1800514, 142.3676142, 131.087], [44.1800881, 142.3670575, 127.662]]",2,50
OE,"[44.1800861, 142.367055, 44.1801167, 142.3665208]",2,7.5,42,0,False,"[[44.1800883, 142.3670572, 127.662], [44.1801161, 142.3665236, 125.809]]",2,50
OE,"[44.1801167, 142.3665208, 44.1800353, 142.3665819, 44.1794961, 142.3666506, 44.1792469, 142.3666736, 44.1792164, 142.3666736]",1,2.0,101,0,False,"[[44.1801161, 142.3665233, 125.809], [44.1800331, 142.36658, 126.564], [44.1794961, 142.3666481, 131.384], [44.1792461, 142.3666708, 133.22], [44.1792186, 142.3666708, 133.42]]",9,-60
OE,"[44.1801167, 142.3665208, 44.1836819, 142.3660022]",1,4.0,398,0,False,"[[44.1801161, 142.3665233, 125.809], [44.1836831, 142.3659961, 124.445]]",9,-60
OE,"[44.1801167, 142.3665208, 44.1801522, 142.365735, 44.1801878, 142.3649492, 44.1802183, 142.3641558, 44.1802286, 142.3639422, 44.1802589, 142.3632783, 44.1802894, 142.3626147, 44.18032, 142.3619586, 44.1803556, 142.3613331, 44.1803964, 142.36057, 44.1804067, 142.3598528, 44.1804167, 142.3591356, 44.1804314, 142.3584122, 44.1804364, 142.3578325, 44.1804417, 142.3572603, 44.1804467, 142.356505, 44.1804467, 142.3557497]",2,7.5,862,0,False,"[[44.1801161, 142.3665233, 125.809], [44.1802178, 142.3641597, 129.766], [44.1802269, 142.3639439, 130.149], [44.1803194, 142.3619553, 131.221], [44.1803519, 142.3613356, 133.211], [44.1803922, 142.3605686, 136.204], [44.1804267, 142.3584103, 139.082], [44.1804375, 142.35726, 141.641], [44.1804508, 142.3557572, 140.557]]",2,-60
OE,"[44.1810067, 142.3709917, 44.1805236, 142.3710603, 44.1800403, 142.3711292, 44.1798267, 142.3711367, 44.179725, 142.3710908]",1,4.0,143,0,False,"[[44.181005, 142.3709892, 126.638], [44.1800422, 142.3711253, 129.991], [44.1798306, 142.3711411, 131.0], [44.1797275, 142.3710914, 131.113]]",9,-60
OE,"[44.1797206, 142.3711586, 44.179725, 142.3710908]",2,7.5,5,0,False,"[[44.1797186, 142.3711586, 131.142], [44.1797272, 142.3710917, 131.113]]",2,50
OE,"[44.179405, 142.373615, 44.1797206, 142.3711586]",2,7.5,199,0,False,"[[44.1794036, 142.3736128, 127.783], [44.1797183, 142.3711586, 131.142]]",2,50
OE,"[44.1824106, 142.3707858, 44.1810067, 142.3709917]",1,4.0,156,0,False,"[[44.1824125, 142.3707847, 123.004], [44.1810053, 142.3709892, 126.638]]",9,-60
OE,"[44.1810067, 142.3709917, 44.1810122, 142.3711586]",1,4.0,13,0,False,"[[44.181005, 142.3709892, 126.638], [44.1810142, 142.3711594, 127.005]]",6,-60
OE,"[44.1810122, 142.3711586, 44.1810733, 142.3718908, 44.1811344, 142.3726233, 44.1811903, 142.3733633, 44.1805953, 142.3734472, 44.1800003, 142.3735311, 44.179405, 142.373615]",1,4.0,376,0,False,"[[44.1810147, 142.3711586, 127.005], [44.1811878, 142.3733625, 127.0], [44.1794036, 142.3736128, 127.783]]",6,-60
OE,"[44.1854978, 142.3703281, 44.1850453, 142.3703967, 44.1845975, 142.3704653, 44.1843636, 142.3705033, 44.1840281, 142.3705569, 44.1836922, 142.3706025, 44.1830514, 142.3706942, 44.1824106, 142.3707858]",1,4.0,344,0,False,"[[44.1854997, 142.3703289, 122.892], [44.1845975, 142.3704664, 122.16], [44.1843661, 142.3705003, 122.489], [44.1836903, 142.3706025, 123.899], [44.1824128, 142.3707844, 123.004]]",9,-60
OE,"[44.1728847, 142.3591133, 44.1729508, 142.3592889, 44.1730883, 142.3597619, 44.1731797, 142.3600211, 44.1733119, 142.3603569, 44.1733681, 142.3605553, 44.1734036, 142.3607308, 44.1734239, 142.3608453, 44.1735358, 142.3614097, 44.1736425, 142.3619592, 44.1736833, 142.3621728, 44.1737392, 142.3623558, 44.173785, 142.3624703, 44.1738461, 142.3625008, 44.1739019, 142.3625161, 44.1740242, 142.3625008, 44.1741003, 142.3624931, 44.1741919, 142.362455, 44.1743039, 142.3623786, 44.174365, 142.3622872, 44.1745531, 142.3619972, 44.1746344, 142.3618981, 44.1747361, 142.3617836, 44.1748583, 142.3616919, 44.1749397, 142.3616464, 44.1750414, 142.3616006, 44.1751633, 142.36157, 44.1753467, 142.3615472, 44.1755806, 142.3615472, 44.17584, 142.36157, 44.1759061, 142.3615775, 44.1759772, 142.3616233, 44.1760331, 142.3616919, 44.1760536, 142.3617303, 44.1760789, 142.3618294, 44.1760992, 142.3619208, 44.1761247, 142.3624092, 44.1761908, 142.3627144, 44.1762367, 142.36334, 44.1762825, 142.3639656, 44.1763028, 142.3642478, 44.1763281, 142.3646753, 44.1763486, 142.3649575, 44.1764147, 142.3657967, 44.1764858, 142.3666589, 44.1765061, 142.3668419, 44.1765267, 142.3669183, 44.1765417, 142.3670325]",1,2.0,998,0,False,"[[44.1728856, 142.3591125, 155.653], [44.1729489, 142.3592839, 156.836], [44.1730911, 142.3597614, 159.476], [44.1731781, 142.3600197, 160.965], [44.1733097, 142.3603539, 163.143], [44.1733681, 142.3605581, 164.444], [44.1734072, 142.3607264, 165.505], [44.1734242, 142.3608381, 166.198], [44.1735339, 142.3614119, 169.766], [44.17364, 142.3619533, 173.216], [44.1736792, 142.3621703, 174.619], [44.1737331, 142.3623547, 175.871], [44.1737853, 142.3624664, 176.702], [44.1738481, 142.3624983, 177.276], [44.1739014, 142.3625122, 177.737], [44.1740267, 142.3625044, 178.785], [44.1740947, 142.3624936, 179.347], [44.1741861, 142.3624558, 180.113], [44.1742961, 142.3623731, 181.092], [44.1743636, 142.3622894, 181.778], [44.1745464, 142.3620019, 183.758], [44.1746286, 142.3618933, 184.52], [44.1747361, 142.3617872, 185.36], [44.1748508, 142.3616989, 186.14], [44.1749375, 142.3616472, 186.663], [44.1750358, 142.3616036, 187.194], [44.1751628, 142.36157, 187.795], [44.1753444, 142.3615489, 188.52], [44.1755736, 142.3615439, 189.205], [44.1758333, 142.3615661, 189.672], [44.1759003, 142.3615806, 189.741], [44.1759742, 142.3616261, 189.795], [44.1760297, 142.3616942, 189.82], [44.1760481, 142.3617283, 189.823], [44.1760758, 142.3618306, 189.813], [44.1760942, 142.3619214, 189.785], [44.1761217, 142.3624097, 189.384], [44.1761864, 142.3627164, 188.965], [44.1762814, 142.3639681, 186.747], [44.1763003, 142.3642497, 186.307], [44.1763244, 142.3646678, 185.94], [44.1763433, 142.3649594, 185.92], [44.1764078, 142.3657947, 185.977], [44.1764806, 142.366655, 188.745], [44.1765019, 142.3668367, 189.801], [44.1765158, 142.3669181, 190.278], [44.1765408, 142.3670306, 190.507]]",9,-60
OE,"[44.1793186, 142.3742636, 44.179405, 142.373615]",2,7.5,52,0,False,"[[44.1793219, 142.3742569, 126.657], [44.1794033, 142.3736131, 127.783]]",2,50
OE,"[44.179405, 142.373615, 44.1790492, 142.3736686, 44.1786931, 142.3737144, 44.1783319, 142.37376]",1,4.0,119,0,False,"[[44.1794036, 142.3736128, 127.783], [44.1786869, 142.373715, 126.019], [44.1783306, 142.373755, 126.738]]",6,-60
